Wavelength (nm),Absorbance (AU) 2024-11-12 14:48:53,Absorbance (AU) 2024-11-12 15:03:59,Absorbance (AU) 2024-11-12 15:19:05,Absorbance (AU) 2024-11-12 15:34:11,Absorbance (AU) 2024-11-12 15:49:17,Absorbance (AU) 2024-11-12 16:04:23,Absorbance (AU) 2024-11-12 16:19:29,Absorbance (AU) 2024-11-12 16:34:35,Absorbance (AU) 2024-11-12 16:49:41,Absorbance (AU) 2024-11-12 17:04:47,Absorbance (AU) 2024-11-12 17:19:53,Absorbance (AU) 2024-11-12 17:34:59,Absorbance (AU) 2024-11-12 17:50:05,Absorbance (AU) 2024-11-12 18:05:11,Absorbance (AU) 2024-11-12 18:20:17,Absorbance (AU) 2024-11-12 18:35:23,Absorbance (AU) 2024-11-12 18:50:29,Absorbance (AU) 2024-11-12 19:05:35,Absorbance (AU) 2024-11-12 19:20:41,Absorbance (AU) 2024-11-12 19:35:46,Absorbance (AU) 2024-11-12 19:50:52,Absorbance (AU) 2024-11-12 20:05:58,Absorbance (AU) 2024-11-12 20:21:04,Absorbance (AU) 2024-11-12 20:36:10,Absorbance (AU) 2024-11-12 20:51:16,Absorbance (AU) 2024-11-12 21:06:22,Absorbance (AU) 2024-11-12 21:21:28,Absorbance (AU) 2024-11-12 21:36:34,Absorbance (AU) 2024-11-12 21:51:40,Absorbance (AU) 2024-11-12 22:06:46,Absorbance (AU) 2024-11-12 22:21:52,Absorbance (AU) 2024-11-12 22:36:59,Absorbance (AU) 2024-11-12 22:52:05,Absorbance (AU) 2024-11-12 23:07:11,Absorbance (AU) 2024-11-12 23:22:17,Absorbance (AU) 2024-11-12 23:37:24,Absorbance (AU) 2024-11-12 23:52:29,Absorbance (AU) 2024-11-13 00:07:35,Absorbance (AU) 2024-11-13 00:22:41,Absorbance (AU) 2024-11-13 00:37:47,Absorbance (AU) 2024-11-13 00:52:53,Absorbance (AU) 2024-11-13 01:07:59,Absorbance (AU) 2024-11-13 01:23:05
901.841506,0.03885154131723537,0.030781421878161918,0.03620533475169926,0.03199739089206993,0.04337321458372727,0.03228559563536878,0.046315555825149374,0.04294308767242462,0.03541751474078359,0.03530220244259978,0.05309223613765574,0.07331028689571956,0.07653290666271881,0.08898785523092677,0.08548002261774511,0.09625509908357748,0.09432633272141282,0.1031791662896077,0.11137092956613577,0.09960141012870327,0.10059842166726804,0.09904627689103238,0.09968703225872232,0.1063682207841032,0.10606295807601787,0.09868647131509493,0.09788827215734676,0.1061161410228069,0.12030072913417197,0.12296346447792383,0.12074958045303126,0.12709322478379775,0.11869255320640137,0.13108614938482627,0.10802811237706554,0.12912078818940428,0.12086315584693633,0.1119981341327989,0.11337668195718824,0.11360255815751533,0.11965392231198321,0.12441905989218015,0.12753393432235846
904.394392,0.03186459157795154,0.03697329023807479,0.02977655464302263,0.032475222792260554,0.027716485043195686,0.03568270441837907,0.03470421427707899,0.03598373579787742,0.0372749285865702,0.037096695899494464,0.04870195335195029,0.06609233564967237,0.07677309961639665,0.08660562386912135,0.0842750043587986,0.09225108309523082,0.09322935132249008,0.0983767215075545,0.09617464517944045,0.0869094706463524,0.10125507486698428,0.10253218165087095,0.09552881877658306,0.11017601504998374,0.09368879940708881,0.09900479936862368,0.09533035015243181,0.10966502125647208,0.10031766051425395,0.10890555897366211,0.10409712066068949,0.10725055321801326,0.10943910987725715,0.10075784817107246,0.1243841834217002,0.11035639992414162,0.1105928001006025,0.1090534053974106,0.11161111004677371,0.11416508240032239,0.12358691480081607,0.1103684669087237,0.12249812660420009
905.670145,0.03406221278218377,0.024219549440095165,0.012759717238377813,0.03650626915354629,0.034073344696403156,0.03283673444528628,0.03682477098486169,0.043266296813283374,0.027803095139781204,0.025774000753331163,0.03946919086501931,0.0602975206923773,0.08263985760100666,0.08053341821821636,0.07916789401234313,0.09579314842086269,0.08041297201690091,0.10416919727219746,0.08630776945115912,0.09040148750293406,0.08979658909996126,0.09621191870404514,0.09335649715823746,0.09320534089362888,0.09595373825065452,0.10515098824557477,0.09440479164288022,0.10526950171252988,0.10535315270888947,0.1045705647653329,0.10882906784760896,0.11153249097835718,0.11030742327843471,0.10053572451034558,0.09873981679783476,0.11274296509546415,0.11540024838167699,0.11115366011058929,0.11795964637932876,0.12070694341384859,0.1180670110390739,0.1232838422208725,0.11463472507442898
908.220269,0.03256651280180532,0.012072234288612052,0.03134853692479141,0.026125327330318155,0.03503775247443381,0.018985078835258528,0.02957563428501693,0.04297311675279221,0.028319132488241378,0.026324964197034558,0.029462462992853936,0.06345655961847443,0.07378322702660485,0.07979602311659256,0.08443865108257784,0.06735080439186318,0.08287128948791486,0.0832745708475851,0.0948719769037068,0.08517176355288653,0.08700902754881426,0.08854492924649317,0.08159496738181106,0.0993519697909399,0.08930627545117548,0.09433080507915739,0.09544558662927247,0.09372060001836593,0.09615868864473968,0.09599964380285174,0.10222850421457794,0.11469525768360857,0.09885148494576254,0.09979200554689317,0.11027505707545457,0.1059277825496092,0.10689252633932293,0.11070394159523932,0.10027411834699838,0.11510947016280638,0.10765364010778788,0.10664227840631009,0.11726139666520638
910.768552,0.02576300999311704,0.011481805650765236,0.018602727818774957,0.02075910182841057,0.012394880311988684,0.03137668810801743,0.026766620032748375,0.03470768334420079,0.022329117800146396,0.0266758620844863,0.033171994464452036,0.05932712209356415,0.056552738796869007,0.07096411014501387,0.079910095617258,0.08268805137461566,0.07260923603413319,0.08503814556160186,0.08073127883248449,0.08643612038861652,0.08680625700663072,0.08615327715329267,0.09234484677485129,0.08492375255812425,0.08883057028638715,0.09495799692878511,0.08739444428235109,0.09021692129281801,0.09619357132127897,0.09688229515687088,0.10262496620442858,0.10154928274845312,0.10092544271355505,0.09865929940938348,0.09650366906297121,0.10179766009988385,0.09590494804560243,0.0977074171983755,0.10750683977235714,0.10484137811069584,0.09747969974362362,0.10436851729943164,0.1152608431760972
913.314994,0.019831112184755015,0.020865769734638096,0.017499171548520397,0.025938803892418216,0.006418432980512453,0.021527486641945637,0.01529027126245588,0.022563750473442466,0.018377980081326947,0.02634979670117802,0.036183411943915285,0.05370579095679081,0.07261664886921047,0.06975362347808385,0.07059332159463666,0.07752006224565404,0.07164458277123785,0.08265565714366013,0.0805012535957479,0.0787665911327662,0.08980810449293089,0.08568750202164022,0.08070709787942935,0.08887266536442905,0.08735423590108399,0.10024448341924135,0.07933122418617383,0.09562480787938749,0.09189846343472853,0.0957615881168756,0.0999215000164883,0.08767950616986804,0.10505476423695005,0.09756247472780974,0.09981141274568298,0.10462953268437712,0.09892994791526388,0.10510988285834438,0.1001789375414165,0.10883468649050394,0.10253552673594497,0.11345849343086965,0.10409740021131916
915.859594,0.02451412035664816,0.016090001972108654,0.021776070197666093,0.026225424943117043,0.02733561724694577,0.02433589504573947,0.02110621898155423,0.03185957983026196,0.03487859668705925,0.024463502851929612,0.03438140030025019,0.055673292589452944,0.07673507063941835,0.0862280479140991,0.0781809780261454,0.0749610544078595,0.09029321937504682,0.07764281861989096,0.08497269018401452,0.09033171732404087,0.08567084828354059,0.10111808344309335,0.07619026746433097,0.10099567747222454,0.09210175768928112,0.09372998864209384,0.09245598499191438,0.10170937343351287,0.09561664206961902,0.1025184465802249,0.10956000633116804,0.10404866850577495,0.10125163899018967,0.11132514815368905,0.09914637588682522,0.1060711189776975,0.1097013256261607,0.09836112329758677,0.10343560182347802,0.10598845337578537,0.10127962521652566,0.12128274222910096,0.10202808351919108
918.402353,0.037571762558654555,0.026505033747154783,0.028949930306720106,0.038918089764920706,0.03745340859769938,0.03648191120490832,0.04636213036291227,0.038264599009202,0.04633694975453492,0.03422820329508782,0.05065030419423896,0.061333355707155375,0.08477954335934376,0.08298402228321634,0.08768912768950399,0.08858468623600539,0.08249566470755502,0.09048392019434863,0.09192766422598754,0.08961424450765348,0.09437163385277761,0.09629299473425788,0.10036272932103296,0.09772394043032046,0.10570421132711837,0.12041235627961132,0.09818924501403355,0.10920885163663821,0.1093518990461466,0.10598244853569345,0.10799004598495278,0.11428070892316948,0.09861736838499323,0.1081383420931982,0.10028269773753715,0.11565595479574874,0.10897974396980574,0.11255386892600901,0.10894306542733385,0.10495440063464624,0.10332322852268297,0.1154869032286874,0.10984584280465032
920.943271,0.04315278840355409,0.03334386849983602,0.03990506599218271,0.03976197104088588,0.04411694512512015,0.037772011121767805,0.04976290671222719,0.04538927413140703,0.048773120211136924,0.0378207479495439,0.05696638156504738,0.0811001848196595,0.09631547195190912,0.09683212247810044,0.097749184426723,0.09610963982044138,0.09731362217149893,0.09453763207404182,0.10432509543560142,0.10722088085121428,0.10154726352844665,0.10207647708007857,0.10613658395672922,0.11517201831153606,0.11124103946238209,0.11896732555054708,0.10809360384039313,0.11957570021148262,0.12238045003639283,0.12099574357765445,0.1155235496920266,0.11501169225649872,0.11350945972272726,0.11698292419970054,0.12101062859877151,0.12052888520286956,0.12998195122727121,0.12235705909790238,0.11914959948154834,0.12917726503461446,0.12705261810746174,0.13223917927409434,0.12061975436117608
923.482347,0.06350650861715743,0.058393488723559483,0.06936765295680133,0.06944888748539955,0.06534153535212081,0.06530182634651749,0.07456578084548096,0.05781164493827067,0.06868222847582656,0.06925636520857806,0.07242886536164503,0.10693314543898509,0.10473921600042646,0.1114155511145132,0.11715275672012566,0.1245431407952202,0.12288391121399886,0.1308208388168502,0.12052192681133796,0.12255051522824506,0.1282265897294509,0.13524821923744237,0.13392866102296502,0.1441410402797337,0.13415046169864037,0.1357000896359408,0.1339345455747672,0.14384591617177717,0.13904361272756058,0.14221138312107315,0.14558018057154934,0.1442146039880519,0.14805586528603065,0.1464251743599039,0.13828493105477746,0.14457138553849863,0.14633888382729135,0.14496197492312737,0.1419992280917845,0.14547466715812438,0.1446309313970302,0.1462721433215477,0.14928483585139604
926.019582,0.08775546536437903,0.09014214443034843,0.08791735801647475,0.08671096804977621,0.08499003788097324,0.09232834336698473,0.09136316436626443,0.08234365686136609,0.09088592535796088,0.0938529235844874,0.09977350039996298,0.12110978061060192,0.12784656711328846,0.1402147179818111,0.14786418750935246,0.139463315881282,0.14012808551313755,0.14163177490765647,0.14553722585375534,0.15351414614281922,0.148761149319648,0.15604502031161896,0.15486517756271265,0.15963443009919256,0.16524544769560512,0.15169382639734186,0.14990765908082737,0.16144911849076718,0.16667720163140218,0.1635704069172153,0.16455932017938746,0.16738517414404844,0.16240600801385072,0.16473663954399212,0.17000797830888817,0.16874242513783722,0.16017820665800822,0.16913965833593528,0.171716894469756,0.1703388059600295,0.17421383161911583,0.1693804548019549,0.17319869999443527
928.554976,0.11921401991660736,0.10934819109326854,0.11224008465461291,0.11650960702219389,0.11699029961990298,0.11316782348172152,0.11930115019630291,0.10757032375025555,0.11361519551075257,0.11370477916629984,0.12222412010787599,0.14165031126314445,0.16252612376343575,0.1620803879326869,0.15777790193052676,0.1576705103045847,0.17171496707939976,0.16246655927728548,0.16827090294511954,0.18267830887182823,0.16713800743559912,0.1842074081444241,0.1665588406041434,0.1836620589504941,0.1778897631735685,0.1821417697606392,0.1874749312439077,0.18436475809676653,0.195566826575058,0.19100504987982775,0.18809382672149566,0.19003445089952056,0.18750476592946522,0.19747250809034514,0.19482522233307206,0.20181751452375127,0.1908761228202148,0.19495540956561325,0.19251833420501896,0.19866773206334135,0.1934279259699562,0.18722996488557153,0.18927677637884233
