Wavelength (nm),Absorbance (AU) 2024-11-11 11:38:50,Absorbance (AU) 2024-11-11 11:53:56,Absorbance (AU) 2024-11-11 12:09:02,Absorbance (AU) 2024-11-11 12:24:08,Absorbance (AU) 2024-11-11 12:39:14,Absorbance (AU) 2024-11-11 12:54:20,Absorbance (AU) 2024-11-11 13:09:26,Absorbance (AU) 2024-11-11 13:24:32,Absorbance (AU) 2024-11-11 13:39:38,Absorbance (AU) 2024-11-11 13:54:44,Absorbance (AU) 2024-11-11 14:09:50,Absorbance (AU) 2024-11-11 14:24:56,Absorbance (AU) 2024-11-11 14:40:02,Absorbance (AU) 2024-11-11 14:55:08,Absorbance (AU) 2024-11-11 15:10:14,Absorbance (AU) 2024-11-11 15:25:20,Absorbance (AU) 2024-11-11 15:40:26,Absorbance (AU) 2024-11-11 15:55:32,Absorbance (AU) 2024-11-11 16:10:38,Absorbance (AU) 2024-11-11 16:25:44,Absorbance (AU) 2024-11-11 16:40:50,Absorbance (AU) 2024-11-11 16:55:56,Absorbance (AU) 2024-11-11 17:11:02,Absorbance (AU) 2024-11-11 17:26:08,Absorbance (AU) 2024-11-11 17:41:14,Absorbance (AU) 2024-11-11 17:56:20,Absorbance (AU) 2024-11-11 18:11:26,Absorbance (AU) 2024-11-11 18:26:32,Absorbance (AU) 2024-11-11 18:41:38,Absorbance (AU) 2024-11-11 18:56:44,Absorbance (AU) 2024-11-11 19:11:50,Absorbance (AU) 2024-11-11 19:26:56,Absorbance (AU) 2024-11-11 19:42:02,Absorbance (AU) 2024-11-11 19:57:08,Absorbance (AU) 2024-11-11 20:12:14,Absorbance (AU) 2024-11-11 20:27:20,Absorbance (AU) 2024-11-11 20:42:26,Absorbance (AU) 2024-11-11 20:57:32,Absorbance (AU) 2024-11-11 21:12:38,Absorbance (AU) 2024-11-11 21:27:44,Absorbance (AU) 2024-11-11 21:42:50,Absorbance (AU) 2024-11-11 21:57:56,Absorbance (AU) 2024-11-11 22:13:02,Absorbance (AU) 2024-11-11 22:28:08,Absorbance (AU) 2024-11-11 22:43:13,Absorbance (AU) 2024-11-11 22:58:19,Absorbance (AU) 2024-11-11 23:13:25,Absorbance (AU) 2024-11-11 23:28:31,Absorbance (AU) 2024-11-11 23:43:37,Absorbance (AU) 2024-11-11 23:58:43,Absorbance (AU) 2024-11-12 00:14:05,Absorbance (AU) 2024-11-12 00:29:11,Absorbance (AU) 2024-11-12 00:44:17,Absorbance (AU) 2024-11-12 00:59:23,Absorbance (AU) 2024-11-12 01:14:29,Absorbance (AU) 2024-11-12 01:29:35,Absorbance (AU) 2024-11-12 01:44:41,Absorbance (AU) 2024-11-12 01:59:47,Absorbance (AU) 2024-11-12 02:14:53,Absorbance (AU) 2024-11-12 02:29:59,Absorbance (AU) 2024-11-12 02:45:05,Absorbance (AU) 2024-11-12 03:00:11,Absorbance (AU) 2024-11-12 03:15:17,Absorbance (AU) 2024-11-12 03:30:23,Absorbance (AU) 2024-11-12 03:45:29,Absorbance (AU) 2024-11-12 04:00:35,Absorbance (AU) 2024-11-12 04:15:41,Absorbance (AU) 2024-11-12 04:30:47,Absorbance (AU) 2024-11-12 04:45:53,Absorbance (AU) 2024-11-12 05:00:59,Absorbance (AU) 2024-11-12 05:16:05,Absorbance (AU) 2024-11-12 05:31:11,Absorbance (AU) 2024-11-12 05:46:17,Absorbance (AU) 2024-11-12 06:01:23,Absorbance (AU) 2024-11-12 06:16:29,Absorbance (AU) 2024-11-12 06:31:35,Absorbance (AU) 2024-11-12 06:46:41,Absorbance (AU) 2024-11-12 07:01:47,Absorbance (AU) 2024-11-12 07:16:53,Absorbance (AU) 2024-11-12 07:32:00,Absorbance (AU) 2024-11-12 07:47:06,Absorbance (AU) 2024-11-12 08:02:12,Absorbance (AU) 2024-11-12 08:17:18,Absorbance (AU) 2024-11-12 08:32:24,Absorbance (AU) 2024-11-12 08:47:30,Absorbance (AU) 2024-11-12 09:02:36,Absorbance (AU) 2024-11-12 09:17:42,Absorbance (AU) 2024-11-12 09:32:48,Absorbance (AU) 2024-11-12 09:47:54,Absorbance (AU) 2024-11-12 10:03:00,Absorbance (AU) 2024-11-12 10:18:06,Absorbance (AU) 2024-11-12 10:33:12,Absorbance (AU) 2024-11-12 10:48:18,Absorbance (AU) 2024-11-12 11:03:24,Absorbance (AU) 2024-11-12 11:18:30,Absorbance (AU) 2024-11-12 11:33:36,Absorbance (AU) 2024-11-12 11:48:42,Absorbance (AU) 2024-11-12 12:03:48,Absorbance (AU) 2024-11-12 12:18:55,Absorbance (AU) 2024-11-12 12:34:01,Absorbance (AU) 2024-11-12 12:49:07,Absorbance (AU) 2024-11-12 13:04:13,Absorbance (AU) 2024-11-12 13:19:19,Absorbance (AU) 2024-11-12 13:34:25
1101.45679,0.18052238152667724,0.17597297274830365,0.18045157584017332,0.18305056586201743,0.18364944754598844,0.1881117662560195,0.19101875832159665,0.18416026648815395,0.18746172169201628,0.18096662434761304,0.18048477658079062,0.2172537054128189,0.22766975582348586,0.23363303647510505,0.23837476692371726,0.2390078784541927,0.24256951778149988,0.24631287068262936,0.2520840628487555,0.24726707027024838,0.24690500208982086,0.2448772692283101,0.2466308744356654,0.2576221614429957,0.2579351119076986,0.251320218913052,0.2605651807764973,0.2570756666966217,0.25180144126506704,0.25492826084398484,0.25336260448843256,0.2561500334676587,0.2582865928363332,0.26896164993233096,0.26331615015638166,0.2649535853402704,0.2587507561826953,0.2693066111854466,0.2676599907792722,0.2551670081936326,0.26254746456397776,0.27430959037247304,0.27140664518154517,0.2689034776666592,0.27513666392095215,0.2660030143936574,0.2756671856956071,0.2682125862854644,0.2754194687170603,0.2691564439572466,0.27857980136824295,0.28115452744762104,0.27424810392235666,0.27419416578313177,0.269846527766131,0.2756200089898093,0.2735309649025989,0.2791202307823715,0.2833864904980149,0.27347965856774786,0.2737451401766367,0.27617544027834967,0.2773319552142568,0.281943907439973,0.28413389006251866,0.2840422540627457,0.283242472322907,0.2774263048976196,0.27760628651161345,0.28941281461030993,0.27956699019340725,0.2813977090568224,0.29018019124306077,0.28037767217885784,0.2831420869682239,0.29428016165681736,0.28112292810015244,0.28437498628875835,0.28552667965645007,0.2852066170828109,0.2828294492212656,0.27990258727355166,0.285717805940006,0.2924252400973575,0.2904755977106926,0.28589036089892017,0.2928365357920976,0.29100231124603493,0.2982883470014839,0.2863278366287741,0.2887448454346776,0.29590024940974063,0.29561800536830635,0.2924278805260687,0.2907445225119899,0.2925873808093383,0.2977811565345088,0.29285172029147133,0.29662905548884955,0.29500627432653104,0.30224449716200846,0.289686529216879,0.28903116237126775,0.28860379893143473
1103.861448,0.17903850646264155,0.18724870921428952,0.18698583907774718,0.19689329619947812,0.1844508519382301,0.1885559662915001,0.19261238491483407,0.1969358426988085,0.1872540922059416,0.1839754344020286,0.18611695721657986,0.22136599089459785,0.2458530184438448,0.24266039193387207,0.23838983553912357,0.24606176346088798,0.24282414619771325,0.25552764180063653,0.25475090114252946,0.25376905283999657,0.25582345919711436,0.25301104380895234,0.2569167180480086,0.25371748051161,0.2606035970485296,0.258557355396542,0.25599554446351086,0.2625746494087694,0.264104148756012,0.26431069726691514,0.26751042340303266,0.2608684143415992,0.25863158609195047,0.2621687695372413,0.272643242152867,0.27171784099947965,0.28458346236034676,0.2666048697360016,0.2755295655134223,0.2750487166785384,0.26356754835194773,0.2689698029522493,0.2743854619376362,0.27227903297184514,0.2722876993113908,0.27615856826366497,0.2714142733994299,0.2757039847752291,0.28384759086375916,0.27822358073538367,0.28421680606133576,0.2758748353008014,0.2837259034381498,0.2827051591193182,0.28290093827238466,0.27567758695104516,0.2878647669850733,0.2784868466067802,0.28767578009687195,0.2868209160357404,0.2813106318403287,0.2833162979641821,0.28275222486974655,0.2837082782411243,0.2842689390329926,0.2823248576520478,0.29325322930039893,0.2860810730013507,0.2891617381189864,0.2962821398083527,0.29382655119695217,0.28749819464185095,0.2865520225990362,0.2897080796147361,0.28815936011055493,0.29620459765691176,0.2915942679149049,0.3031374533753542,0.2894187553651217,0.29155957073769023,0.2978037016892954,0.28904506634247507,0.2964255208208273,0.2981803025475568,0.29487228760604983,0.28951129377248197,0.2945739108144042,0.29153079210663735,0.29867086345383975,0.2953941881996563,0.29316314933481996,0.3028344314927454,0.28884942880546133,0.2920180042637265,0.29421041505470313,0.3005675953972701,0.29797974022588997,0.2977146117953976,0.29733620068434274,0.30210984992040096,0.3018087828321255,0.30492995588299415,0.3012998050236942,0.29923009639424636
1106.264265,0.18956068257572098,0.18656144490979987,0.1991791673339529,0.19762232770851293,0.1990553172045627,0.2069887961626637,0.19656492082564075,0.19481804232837752,0.20427036713916152,0.19515504190584676,0.20946967760027504,0.22696092486709576,0.24498653356772077,0.2506934168027793,0.25160589617429324,0.25438351961509753,0.25921205514555,0.26657169581171236,0.25644341764664336,0.2581439192653487,0.26174853375512863,0.2559689195085149,0.2698536291981185,0.2637469476048685,0.2667061999333792,0.26538945044216744,0.27119713394566386,0.2683831349327464,0.2732335441770388,0.26677056444223607,0.2743494566732282,0.2727945309606012,0.270267117056736,0.27662403084906867,0.27107570351740784,0.27421064591682925,0.2686611299452769,0.27452935294758635,0.2824940354648671,0.2818333185356417,0.28723372862706376,0.28398537850326777,0.27708210281567297,0.2779321276905489,0.2759039965589897,0.2901296662446607,0.2780787665554491,0.29060664064522695,0.28127066464632444,0.29231137785381317,0.28647940038607295,0.29462824614818633,0.29114665692788233,0.2825402568273627,0.30059648865934363,0.28665098460466326,0.2922658524268508,0.28936134321973667,0.28993903734202403,0.29590632721657273,0.29190005505027217,0.294630023005663,0.2844729476021903,0.28630179143992107,0.29941237149617356,0.2889616958235511,0.297215538918842,0.3016089534485205,0.29510513715587455,0.29139277867252417,0.2954975612341341,0.2900717047995944,0.2976814488258707,0.2927355722771037,0.30128698527933717,0.29646319947157634,0.298483027229621,0.30509449029073765,0.29296386726133217,0.3013096948352576,0.2977017250728849,0.3043800673963175,0.30329824275042444,0.3099241231284778,0.3062753476731497,0.298775115471546,0.3016710603451688,0.30732190394387543,0.30199989290157303,0.30346283576461686,0.3045858906186436,0.3062984095698753,0.29323624838669343,0.3028252380798863,0.30875058944394995,0.3068763478513955,0.30905562969089945,0.3055281600872503,0.3116247157129622,0.3030384363414491,0.30055774970045795,0.3034500014291691,0.3078990051050753,0.3113733350701706
1108.665241,0.20446615201810628,0.19459490772990887,0.2086045831191169,0.21135352225686088,0.20261695184500347,0.2015296758147953,0.22064016167399284,0.20230334754161172,0.21210044553747373,0.21259158324101704,0.2059396763731838,0.23569423499623562,0.2574863009296238,0.26087505247590104,0.2524062002145504,0.2726462904537821,0.26531662647864374,0.2618457333205399,0.25735195704951863,0.2669499317250105,0.2684209945050385,0.27624578637642117,0.2755089721122056,0.2653419498909367,0.26921352546794186,0.2713109039204464,0.2752854289366893,0.2866016538943886,0.2748214313309506,0.2790000553955996,0.2833947322898119,0.28370966852167107,0.2847702434918696,0.27733159951885383,0.29065093665844854,0.28960950808930797,0.2822278097599617,0.2791865364025203,0.28790148788151537,0.2882228127073929,0.2865960639766036,0.2747956246048057,0.28645902561457376,0.29319642565779264,0.2949642352085025,0.2932852329096943,0.2953572062832195,0.30303506563170124,0.2945051405696346,0.2876942085870832,0.29863747886662956,0.29594077553414444,0.2956992584616139,0.2956156650552645,0.30192186994147246,0.30677582086093996,0.2915302511965782,0.30407619369267,0.3047375766341145,0.29722813201552706,0.309885519185826,0.29829265370939184,0.3030438462919589,0.30487310344183605,0.3042859123854975,0.29989441251716,0.3052690233149396,0.31238300262933416,0.30713705136084074,0.30915983086380605,0.30612736361079235,0.3019910649075795,0.29945666388004827,0.3033667580916208,0.3140854475912387,0.30316776262588646,0.3079667929621764,0.30752959196130764,0.2996932044070472,0.3108552582044589,0.31173844919950416,0.3107847512328632,0.3182551992770101,0.31393336020572393,0.32108360885437226,0.3139474334125579,0.30878636450727553,0.30971037973944,0.3095434545115962,0.3147283335141681,0.3151343210165391,0.31644300872199915,0.31509550566307004,0.3174787896561235,0.3130045503899401,0.3178712992017809,0.3070731875637292,0.3159134097591793,0.31499564949106634,0.31843023208906324,0.30752287105505766,0.31617174306963763,0.32379118812398944,0.32965289483599997
1111.064375,0.21518341765506763,0.21621736191024168,0.21761743355082833,0.21566378781952966,0.22165052722324297,0.2196613127301079,0.2300250252027276,0.2208104626326157,0.21770065868810784,0.22424474701960478,0.22751627538970792,0.24592963456337527,0.2686240042258764,0.26656274262434687,0.27170233511528413,0.27828000329277924,0.27459490488301075,0.27223880703040343,0.2868242549221923,0.2839657160343463,0.2770823609954531,0.2900505764668864,0.292879485207687,0.28224429587940103,0.28110666522583555,0.2954239877011933,0.28784950907917234,0.29204006797692705,0.2870119417395305,0.2915848952536242,0.29475908839127213,0.29429273456376925,0.30239580889944084,0.2940726768015553,0.2885423584685112,0.30426266583300915,0.30178432644502046,0.2925826705201249,0.2984350828335622,0.2965066193932368,0.30403658453011645,0.30612201314446347,0.299296718222541,0.30672168666019267,0.29782444368420347,0.29933682420803176,0.31523189254841066,0.3054123116477545,0.3133242342989277,0.3137268695251703,0.3070301072278181,0.30821622693136447,0.30406009566477965,0.3089863984525816,0.301882500121124,0.30384099737658843,0.31376827806933394,0.3140725421211053,0.3089398485182436,0.31707961044370403,0.3233044643996312,0.3084491862819875,0.3130000616108029,0.31049565605298585,0.31427639133578167,0.3107502199138353,0.3138947067323393,0.31122622342673534,0.3241010554345372,0.318400228955228,0.3095131532657285,0.318652410798765,0.31392033818661524,0.3139535124548298,0.31660330150328936,0.32126232631626134,0.3168084960540229,0.3201961212375966,0.3247639632553866,0.3143602316247734,0.32690220165727607,0.3284332001151718,0.3175578193072307,0.3152086161795908,0.32227648498993944,0.3269764254891372,0.3304157544083662,0.33180540264482167,0.32984547346148535,0.32670849554368964,0.33098920136755716,0.3226608034920381,0.3270589522344978,0.3298003233659225,0.32353181995212843,0.32813378487791234,0.32753730560947014,0.3300057477450792,0.32852784023726855,0.326920317187914,0.3308853433558405,0.32265783939435516,0.3308779853670038,0.3264810272527406
1113.461668,0.22618652049030347,0.22921066769299805,0.22835327654711915,0.22652639525930815,0.23854909952891634,0.23694317698041248,0.2324598434391285,0.24370036502380865,0.2337881107433303,0.23356524637575132,0.23632706622480562,0.2655974829948494,0.28009629294271593,0.28966500867814304,0.29556528409186283,0.2892906334116206,0.28065501830060036,0.3002569845753398,0.28954343842735936,0.3002954663051622,0.30003518319034034,0.2890095077357696,0.2962483454607612,0.2997054311810428,0.30249171787398177,0.30312882464436053,0.3065100448894957,0.2996323795490654,0.3023445182737459,0.31386192113970646,0.3121189507956547,0.3099703184422757,0.31164719493808446,0.3027922336479165,0.3144524153697472,0.3108064749560808,0.3092582405792531,0.3087035390022292,0.3122241020805894,0.3138831543190645,0.322675707376987,0.31655256248769087,0.31685739685033676,0.31323769208875163,0.3195987012910152,0.3175594568622321,0.3227999070508307,0.3256019887255976,0.3188131118830985,0.3188338025398661,0.3228020860897263,0.3198334566944048,0.32224314060343245,0.32236238944611867,0.31941535910495983,0.3262412541497279,0.33165217829141797,0.3253767331764352,0.3208727652709606,0.32919727707575425,0.31898201041753993,0.3228654314347668,0.32965481761146354,0.3323833083567794,0.3313671809316785,0.33144142485156636,0.3253814229455062,0.3370168631595221,0.33446136863496,0.3377166421381467,0.33504182634535884,0.33700101995548154,0.33470329493114415,0.3316222271394997,0.3367008959544097,0.3380156167063635,0.3427830261770964,0.3347645455056319,0.328598188046305,0.339352860729257,0.34300338923576934,0.3358314690395589,0.3352356616978104,0.33589197107479535,0.33089608279156,0.33496079668034784,0.33495621579952994,0.3407512745003237,0.3415186893199278,0.34596858389739904,0.3326620023897601,0.33871782883779994,0.33744065432793685,0.3388714061348557,0.3503405997465828,0.33911382715394733,0.34623546566776503,0.3446783646740286,0.3454708625209104,0.35377312561563706,0.3437456228021245,0.3474942598799192,0.35002520329301734,0.3479240505434992
