Wavelength (nm),Absorbance (AU) 2024-09-12 16:04:38,Absorbance (AU) 2024-09-12 16:19:53,Absorbance (AU) 2024-09-12 16:35:07,Absorbance (AU) 2024-09-12 16:50:21,Absorbance (AU) 2024-09-12 17:05:35,Absorbance (AU) 2024-09-12 17:20:49,Absorbance (AU) 2024-09-12 17:36:04,Absorbance (AU) 2024-09-12 17:51:18,Absorbance (AU) 2024-09-12 18:06:32,Absorbance (AU) 2024-09-12 18:21:46,Absorbance (AU) 2024-09-12 18:37:00,Absorbance (AU) 2024-09-12 18:52:14,Absorbance (AU) 2024-09-12 19:07:29,Absorbance (AU) 2024-09-12 19:22:43,Absorbance (AU) 2024-09-12 19:37:57,Absorbance (AU) 2024-09-12 19:53:11,Absorbance (AU) 2024-09-12 20:08:25,Absorbance (AU) 2024-09-12 20:23:39,Absorbance (AU) 2024-09-12 20:38:54,Absorbance (AU) 2024-09-12 20:54:08,Absorbance (AU) 2024-09-12 21:09:22,Absorbance (AU) 2024-09-12 21:24:36,Absorbance (AU) 2024-09-12 21:39:50,Absorbance (AU) 2024-09-12 21:55:04,Absorbance (AU) 2024-09-12 22:10:19,Absorbance (AU) 2024-09-12 22:25:33,Absorbance (AU) 2024-09-12 22:40:47,Absorbance (AU) 2024-09-12 22:56:01,Absorbance (AU) 2024-09-12 23:11:15,Absorbance (AU) 2024-09-12 23:26:29,Absorbance (AU) 2024-09-12 23:41:44,Absorbance (AU) 2024-09-12 23:56:58,Absorbance (AU) 2024-09-13 00:15:19,Absorbance (AU) 2024-09-13 00:30:33,Absorbance (AU) 2024-09-13 00:45:47,Absorbance (AU) 2024-09-13 01:01:01,Absorbance (AU) 2024-09-13 01:16:15,Absorbance (AU) 2024-09-13 01:31:29,Absorbance (AU) 2024-09-13 01:46:44,Absorbance (AU) 2024-09-13 02:01:58,Absorbance (AU) 2024-09-13 02:17:12,Absorbance (AU) 2024-09-13 02:32:26,Absorbance (AU) 2024-09-13 02:47:40,Absorbance (AU) 2024-09-13 03:02:54,Absorbance (AU) 2024-09-13 03:18:08,Absorbance (AU) 2024-09-13 03:33:23,Absorbance (AU) 2024-09-13 03:48:37,Absorbance (AU) 2024-09-13 04:03:51,Absorbance (AU) 2024-09-13 04:19:05,Absorbance (AU) 2024-09-13 04:34:19,Absorbance (AU) 2024-09-13 04:49:34,Absorbance (AU) 2024-09-13 05:04:48,Absorbance (AU) 2024-09-13 05:20:02,Absorbance (AU) 2024-09-13 05:35:16,Absorbance (AU) 2024-09-13 05:50:30,Absorbance (AU) 2024-09-13 06:05:44,Absorbance (AU) 2024-09-13 06:20:58,Absorbance (AU) 2024-09-13 06:36:13,Absorbance (AU) 2024-09-13 06:51:27,Absorbance (AU) 2024-09-13 07:06:41,Absorbance (AU) 2024-09-13 07:21:55,Absorbance (AU) 2024-09-13 07:37:09,Absorbance (AU) 2024-09-13 07:52:23,Absorbance (AU) 2024-09-13 08:07:37,Absorbance (AU) 2024-09-13 08:22:52,Absorbance (AU) 2024-09-13 08:38:06,Absorbance (AU) 2024-09-13 08:53:20,Absorbance (AU) 2024-09-13 09:08:34,Absorbance (AU) 2024-09-13 09:23:48,Absorbance (AU) 2024-09-13 09:39:02,Absorbance (AU) 2024-09-13 09:54:16,Absorbance (AU) 2024-09-13 10:09:31,Absorbance (AU) 2024-09-13 10:24:45,Absorbance (AU) 2024-09-13 10:39:59,Absorbance (AU) 2024-09-13 10:55:13,Absorbance (AU) 2024-09-13 11:10:27,Absorbance (AU) 2024-09-13 11:25:41,Absorbance (AU) 2024-09-13 11:40:56,Absorbance (AU) 2024-09-13 11:56:10,Absorbance (AU) 2024-09-13 12:11:24,Absorbance (AU) 2024-09-13 12:26:38,Absorbance (AU) 2024-09-13 12:41:52,Absorbance (AU) 2024-09-13 12:57:06,Absorbance (AU) 2024-09-13 13:12:20,Absorbance (AU) 2024-09-13 13:27:35,Absorbance (AU) 2024-09-13 13:42:49,Absorbance (AU) 2024-09-13 13:58:03,Absorbance (AU) 2024-09-13 14:13:17,Absorbance (AU) 2024-09-13 14:28:31,Absorbance (AU) 2024-09-13 14:43:45,Absorbance (AU) 2024-09-13 14:59:00,Absorbance (AU) 2024-09-13 15:14:14,Absorbance (AU) 2024-09-13 15:29:28,Absorbance (AU) 2024-09-13 15:44:42
1007.477338,0.18125779008329282,0.2071702048115125,0.20677609969614877,0.21030338193195913,0.23049675162972258,0.21941189052411172,0.2437379639971314,0.2447239103914373,0.2842155673934467,0.28040622115385216,0.2943890755840654,0.3001432112788103,0.3011446776172664,0.310891559356667,0.30554848027961407,0.30202298566842384,0.30030068514032093,0.3188302216183805,0.326298155674405,0.3223996319577748,0.30900402807145233,0.32767060484688304,0.32829520802699647,0.32886967883486046,0.33862935325016663,0.34419948154650215,0.3389003175833758,0.34005041834895916,0.342489358625712,0.33372712186224535,0.3414426877529832,0.34656490613566543,0.33395115188228697,0.3523596439967583,0.3475275642776471,0.3471002548813888,0.3721164971704856,0.35105090926117977,0.3644074998703983,0.36812730627806295,0.3614823175679976,0.3628684883033117,0.38356731576305264,0.34731447970735474,0.3447867158522364,0.36663320248574466,0.3789979719516532,0.3638545695490603,0.3662139114140241,0.35878119159529936,0.3571844264370178,0.3804924346430533,0.3644980364135242,0.3856127844557864,0.3796065714655341,0.37630598030334694,0.3895312036040416,0.38082083934607064,0.4049844507512219,0.3605662042559128,0.37394352137959785,0.4065582138170476,0.38265906241573794,0.38680021253253144,0.38738287109021075,0.3691797365246926,0.3654350380210576,0.37677836466490594,0.3734743745727936,0.34461084808828124,0.3494156057238622,0.3449951372176508,0.34584533425329705,0.3433089173227161,0.3480742889466119,0.3304962027100998,0.3369659477108245,0.3350832159217285,0.34494440951831584,0.325492515853755,0.3361855879789816,0.3419243142340482,0.34124996776283,0.3281335790839692,0.34405152145613066,0.34235319976462664,0.3342631042465096,0.36109708513040656,0.33080866851804325,0.3469972758175578,0.34773989346345857,0.35172208065226507,0.35346009331119566,0.3451547312569718
1009.952888,0.17681471875263033,0.1965962001775316,0.2039946467228169,0.2233854179314877,0.22021526589759527,0.22723084956909154,0.2514956903085963,0.22911850608866763,0.2738284114053831,0.2883463394189927,0.29484045957805916,0.293629064989724,0.29779441825690645,0.31140372175057895,0.30159859396088357,0.31847532228584075,0.29820592517896305,0.31102826160090663,0.29732681592525423,0.31628609745842634,0.3065858297759656,0.3287585278890313,0.3206363556904744,0.32472614846656095,0.3422608290020604,0.33724192085558363,0.3299369286964303,0.34073293883937394,0.3390413444015872,0.33161446032054553,0.3507796677568209,0.3442392918054478,0.34562007955108964,0.3506148444172088,0.35415747320537494,0.34563823006661654,0.37581046455769906,0.3570992501020057,0.3604335796213736,0.3705532346048957,0.34371976305201857,0.36900952719146995,0.37307396821793487,0.35234702856074274,0.3457369828947892,0.371196386589375,0.3575979611443657,0.35174945763781335,0.368634622209727,0.3745870212645319,0.3610354196180374,0.3742032033986387,0.37103733058302574,0.3728776854908876,0.37181398779752955,0.3761482059456171,0.3733962275221112,0.3782342529329244,0.38565933202518865,0.37424978092571104,0.36530974818882767,0.37526193704691024,0.3678113967761041,0.37754442459732923,0.36342747971627815,0.35836904913234496,0.3599371717721265,0.3818159810817219,0.35064414793153004,0.3375043209355605,0.34785172730140257,0.34709605985137687,0.34084031693995726,0.33978998496245355,0.332365604607105,0.33408189748401124,0.35130579777841653,0.3443781321686008,0.3284959068577291,0.3465962068669955,0.33329441244947916,0.35529292160892967,0.3462365824716148,0.32668514469810017,0.3500591062242151,0.3370978604162177,0.3470268667337203,0.33975687408665745,0.3366110670274634,0.34624893399217727,0.32427702139501013,0.3392740187660879,0.34544155175991215,0.3488197558178603
1012.426597,0.15992086225026958,0.19211326260074776,0.19976241951117155,0.19484455772745174,0.19846861489294162,0.19423487601215314,0.23921040368347493,0.2361440118627387,0.27012988538028343,0.2661170677158765,0.2804882364955602,0.30129064196900773,0.2911021319648123,0.288343563170951,0.28892122279894095,0.30356461764508275,0.29193665867819363,0.3014428998966138,0.29116765513505727,0.29646348444761866,0.30048894499017953,0.31794882005453157,0.31050797883218706,0.3104311202859694,0.33305650188645164,0.3266351557950909,0.3211647633228577,0.3168573219613479,0.3112476169611123,0.3173108845735669,0.32415965007026937,0.32257840876366617,0.3237691861750698,0.332691733845673,0.3404659326804354,0.34768386175572524,0.36511362244973766,0.3438117408719579,0.35219409876338076,0.35118469579754724,0.339766913628982,0.3793027027187501,0.35897728971800336,0.3465378131627315,0.3322548504161338,0.3603622797171721,0.35633150894101917,0.34348263153270797,0.3595203985000173,0.3481020608392673,0.3476257207791232,0.35986424253904126,0.36089775707738847,0.3631543227317544,0.3602378627592381,0.3639981476132503,0.3614621776324732,0.3664280224620459,0.3661547030433182,0.34896543738172775,0.3472621896740942,0.3714537267909043,0.36566655066963694,0.3765457445046717,0.36178297048661495,0.34779065696545686,0.3647512530953704,0.36456403430372236,0.34922263679126575,0.3146102000866904,0.3121725182591394,0.3165868246319386,0.3271545821026676,0.32896454107204043,0.3296926098053674,0.32202648734695116,0.3356588012120325,0.3239984112542006,0.332141693034922,0.3199115081161001,0.3255146983426399,0.3292491788065371,0.32375755913663656,0.31874134434273094,0.3209865647375786,0.317702585996531,0.3272639069209106,0.3186478239527532,0.3291798489818161,0.3320029080639853,0.3177238801261669,0.328714436645732,0.34850868710015126,0.31971875657465954
1014.898464,0.1543121620543681,0.16684292529795197,0.18193410745202196,0.18338770441994504,0.1855309703866029,0.19531395238435825,0.22706194436204646,0.21214777294265139,0.24123375608477796,0.24887741212591336,0.2552046836625347,0.26268744267615296,0.26790731181454414,0.2817123608865522,0.2868153558320137,0.2814561737695595,0.29854460382629455,0.2858702126513501,0.2828197218074416,0.29571358727677205,0.28216728539723024,0.2825465908070843,0.3043542579989716,0.3018256827926661,0.3162661475364357,0.32019955815034334,0.3183318998842824,0.3143196314134577,0.31328448318336116,0.3280985957788613,0.3145730201176361,0.32856090788692166,0.30405703051357674,0.31813671780570235,0.3157503511051658,0.3194619262449004,0.3414767850181412,0.30744907614922884,0.3332988919863103,0.33777574601994875,0.33053455958202915,0.34990520139355025,0.3510608438869622,0.33543742742323296,0.3266665145126133,0.3498214009755691,0.3345968162738295,0.32731551960146615,0.3416974945200432,0.3515522700700702,0.33310730303899677,0.3337017749403493,0.33916825155047586,0.3418518233863868,0.3407037073252888,0.35169015240472634,0.35557459741537634,0.33464922882604214,0.3541283546756382,0.3368460385372791,0.3392667362063009,0.3511360518100711,0.34997761520874326,0.3537283569214806,0.3683853865302915,0.3479193238999909,0.3375700662543377,0.34304156214667325,0.3383879290744208,0.3113934374345093,0.3148718963390073,0.3027820015316738,0.3092295574972643,0.3084963132601848,0.30624787687113,0.30644310925408985,0.30944544929113416,0.30330957650958723,0.3091372673250644,0.3113316961647728,0.306535849296076,0.3130790349285082,0.3242442041090141,0.32391082479377065,0.30749443515370295,0.3198298848316537,0.320966662144844,0.3138187562636006,0.3123120191459791,0.3205434394022976,0.3146442176748485,0.32734435085314706,0.3164508174543696,0.3118424842889401
1017.36849,0.14481007664113196,0.16781215789343093,0.17891002304892664,0.1806272234109228,0.186965861357713,0.1834321319392469,0.21735752951734127,0.20926484897032402,0.2594071656475386,0.24766230012748797,0.26564124655223176,0.26733039973392747,0.2808057242248064,0.27033782565535236,0.26366039667793395,0.2899808913456076,0.2747002570814898,0.2759814238982894,0.271834988254016,0.2927567133885984,0.28707365795221645,0.27584015251341415,0.2887955248871482,0.31398613421413907,0.31396048520221,0.3094491348933856,0.2977770653520251,0.31252349494630777,0.2982462294348359,0.29122796107881277,0.3162056688869173,0.3164102845394733,0.300924359305629,0.308594717135364,0.3184991562733725,0.32558538329687287,0.322857455040652,0.3141353116184743,0.3250152116309804,0.34960083523007934,0.30875470327829085,0.3388621435361461,0.3335772503696121,0.3298518335715032,0.3213539359182318,0.3430674467084663,0.33980342534033153,0.3328291907043259,0.32518867518948125,0.3428097257111661,0.3346582027421339,0.3346125710893446,0.34154860622577926,0.34864258753140204,0.3363880751408029,0.3322180882938559,0.33701423086759325,0.3427182101108815,0.33741805310321993,0.33046246502489274,0.32334858529242355,0.356126025679565,0.3474100032194443,0.3416186800487333,0.35634073206184624,0.3296902367889371,0.33692982467683086,0.34646641997962285,0.32262808463240883,0.2960848406140256,0.30606862683878006,0.3050276915865313,0.3064573760895546,0.3053194132704211,0.3039841053893163,0.3178463005870096,0.31582987907030746,0.3143039455049936,0.32112357711170364,0.3211147467529842,0.31307408993125985,0.3041327425782715,0.31566581664167953,0.3074011770456997,0.305043345767428,0.3185335277499967,0.3081829165914872,0.3067558770222322,0.3097742144346618,0.3118163058853308,0.2955172698923304,0.2999134316694658,0.32240110941338707,0.3240377713061025
1019.836674,0.14053656119785554,0.1633246090711752,0.16904004465607994,0.1688011694988899,0.18372636809923734,0.18496950609863494,0.2115818217654493,0.21993708207267945,0.2515013545289119,0.2360731223554712,0.2561615992004874,0.2523321471048615,0.2519077359627724,0.25896304869676895,0.2537939987639024,0.27330564591783085,0.26924965733205397,0.264871704914922,0.2650459983329488,0.27330285062796844,0.29158089828020817,0.29357898456930953,0.29839021532962184,0.2910736174985753,0.3017095485515856,0.2861381487268431,0.2996912081628646,0.314889688119126,0.29888099261428785,0.2805728307368705,0.3042202506804406,0.28758422761684693,0.29127709240933225,0.29701930687670103,0.3223010291583015,0.3198924129912023,0.33499225430807056,0.31559196618291147,0.3234890035738105,0.320232983884438,0.325319634577897,0.3344579493567908,0.3444386585573301,0.32049583144752514,0.3186051017860773,0.3133103930234985,0.32388258713363854,0.31821230515371396,0.33224800779043806,0.33276037119051,0.3263268803048821,0.33849741730331173,0.32844542429658535,0.33381241488425223,0.34517450662101246,0.33151400850429874,0.35648616128395516,0.34960637570587644,0.3245448592711029,0.3168235998709981,0.3193734889420263,0.35658904368557676,0.33159189688085733,0.34515587302753603,0.3415297300660508,0.3432507110748919,0.31619835198791196,0.3386250892439773,0.32716067455014963,0.30582246813783487,0.300870764361266,0.29123504795861493,0.2910568167376923,0.30213728424385916,0.30274268469501553,0.3054752457904636,0.29442746436103817,0.3110770230277377,0.3095115298418671,0.3114490182513584,0.2881814400621061,0.3074514496120694,0.307079021173655,0.2961821750561021,0.3035862038603802,0.29962186850165323,0.2861366186797393,0.31405403271947036,0.30810887428419986,0.2989955229287373,0.2997888821454082,0.29773179230024766,0.31303861578173925,0.3082819132010899
1022.303017,0.12106234199415569,0.160153137585073,0.15745457973188345,0.15836813551134893,0.1702622568218323,0.1515411822979374,0.20074585842439496,0.19980632127625253,0.227518208351316,0.23521308617046446,0.24002681071963314,0.239448287914582,0.24404511198300172,0.25869299833202014,0.2598898247624096,0.27225641669049383,0.24808485697525945,0.2659228172350037,0.2666509299159102,0.2753696916309419,0.27249773840982316,0.26629096177940986,0.27667092471993304,0.29115048314330005,0.2977123746093995,0.2885356402203133,0.28465459228803774,0.2803131275037922,0.2971142819013019,0.2874902286370533,0.30495126797928307,0.28258588653982447,0.3008517629832379,0.3031760255885039,0.3004101073213382,0.3001499538547513,0.3143942831008254,0.31808386560766433,0.31008072544396553,0.3212968773244179,0.3060336972279899,0.3221473176810286,0.33173963039921633,0.31800081961771315,0.3059254313054855,0.31772584498430945,0.3104452742050393,0.3056348203337149,0.3209107450429981,0.3224961524376499,0.31267390962163616,0.33838083549132175,0.3218279678351372,0.3228747885619997,0.327487155802887,0.3211716760585525,0.3318620059501425,0.3349369898245899,0.3402166294814159,0.31354375110050703,0.29857616183360225,0.32062213375809534,0.325562723381771,0.3325305503495544,0.34765040555411714,0.32254885202596134,0.3085744635518192,0.33158465339711773,0.3183349100550015,0.2837203651973568,0.2915382305750413,0.2952813660510971,0.2916603971141637,0.3055838060011412,0.2919006743532174,0.2898984963759026,0.2867907995982897,0.29717708253188957,0.28752132479363784,0.2941777034037192,0.30346132318160857,0.2906697586688922,0.30099847519993295,0.29223486221205014,0.28232403866618405,0.2937198337561286,0.3039096488537191,0.3019062847809816,0.28742174541952475,0.28729069139294416,0.2884286166760699,0.304220071489683,0.28784503478447443,0.2755606522289443
1024.767519,0.12197694006172952,0.14101484266861436,0.14727650881175297,0.15375452597085018,0.15668379380041378,0.1423396823661649,0.18453986827164337,0.1942689239263454,0.2136463416579082,0.20730749867352927,0.24118820995443818,0.2323290280127751,0.23975274218021578,0.256050700060183,0.23498665385922185,0.2593674687201586,0.2553279001220707,0.24514788914799293,0.24829052354304773,0.2697535375168182,0.24976014730585247,0.2595120441565416,0.2508226162489774,0.2734448602383958,0.26895343897892393,0.27447847412821735,0.2818347118480487,0.28482042482794384,0.2705319468857007,0.28049430499852557,0.28338215554564644,0.2744693426746589,0.27047177816035123,0.29312252196459565,0.29062606292484006,0.28140532755787,0.3086763381335389,0.2908655016814201,0.28881575039430457,0.31601928100418,0.2988487592856274,0.31584897541688556,0.3164145836078115,0.29616902610528795,0.28307560246779223,0.30625543619537837,0.30607144584066787,0.3050411987254621,0.29395808064353496,0.3203445237474889,0.2997700728470071,0.3201356036221483,0.2820187913435863,0.309406184136287,0.3001545301513389,0.30448669776964404,0.3208997176506202,0.31585612419481185,0.3298114092658083,0.3099502737452508,0.3099665691244278,0.3175807317898665,0.319987887395539,0.32742081805267803,0.3255359829185372,0.30378230972968956,0.31019317961071563,0.3084431279014268,0.3126101825858728,0.2820731769441397,0.27614093824091956,0.28368249914470156,0.2835099260597309,0.2898807828872779,0.2815895460758029,0.2740177637979213,0.28732096353392717,0.28315062954370984,0.2821017072208866,0.278440847309189,0.27651327522396135,0.27681346768095516,0.2796866341368267,0.2780821993612094,0.27573895089867506,0.28381960530454786,0.29713308794774523,0.29137335423777966,0.28260465855785494,0.2754224584580618,0.2785371286260095,0.2981525246357591,0.27570222498268193,0.28877989263568876
1027.23018,0.09654546051909824,0.14222895720993572,0.1425668850548368,0.1440222164685896,0.1640504627508376,0.14773325226523615,0.16859800522803547,0.1779275797136685,0.20685501095386816,0.2054954924711738,0.22128335935040366,0.22879442130470315,0.23939395284416357,0.234704741446292,0.22429934717999234,0.2365903145763887,0.23363025364036658,0.2600867576412325,0.237760772513221,0.24120865345276485,0.2507024736408759,0.26407735336466126,0.2698964541851804,0.25848439941415235,0.2779815324213898,0.27885869534172625,0.26390790140421594,0.26667572255466154,0.2718230476381452,0.25494382117191383,0.2768349727570516,0.26884029046811514,0.2650020112313562,0.27925133173245076,0.2828781133299011,0.27206368749210486,0.29329536596241945,0.2761726440883334,0.2969266903276682,0.30235739182178817,0.2791238278725738,0.31356930720460047,0.30269462563007327,0.30021505614227945,0.28641579700316094,0.2990398912986755,0.2871090989496139,0.29622248688644587,0.29790697254373494,0.3137792506395792,0.29471227865524613,0.29612410507979964,0.29898203712479887,0.29977018040918385,0.3026632674755581,0.30878866793533327,0.3161904172291069,0.3120067570041051,0.31172025707421563,0.282254858149468,0.2939520899380173,0.30904050403322075,0.31183389169762804,0.31790109574974046,0.3235120785042772,0.3009481167590479,0.306871827057659,0.2936316840440038,0.2941636022186509,0.26291406716182025,0.2802585272924147,0.276343388723527,0.2684900608947193,0.2746996574223968,0.286405882600516,0.2741661153572159,0.28634750587875923,0.27975890913105134,0.2796716859407969,0.28339789963626705,0.282328689094524,0.26229413119959816,0.28487142565852236,0.28128704035712865,0.2643429203375739,0.2736553138175848,0.2824391987052337,0.2670209705949711,0.27103017311065963,0.26784180692116494,0.27103452149431834,0.26911554614514427,0.27258404296457556,0.2677721078347915
1029.690999,0.09070963534772764,0.14198174660274696,0.12714647458181597,0.14770003257943717,0.14258915155517166,0.13888731632821727,0.17880952413826276,0.16836494412139894,0.17757314188115567,0.20604474517141363,0.21702048098531082,0.21408313283381009,0.2280977571856546,0.23921784445258518,0.22556090829880968,0.23644247181138997,0.24273873565901485,0.2415444339473059,0.23820668875076983,0.2424315986336735,0.2416933453989071,0.24313482008603782,0.2545143732361858,0.23589570513185118,0.27445202114780054,0.2612505572427754,0.2549914955884252,0.26298215438547745,0.26590795887458385,0.2551695918467106,0.2744142327334445,0.27237843432240255,0.26781409354214825,0.25931365592253464,0.2829810096764937,0.26798791847267805,0.29473483961919617,0.2808533751876341,0.28493974728807747,0.29105455090985144,0.27598134359394677,0.3092864206685131,0.30311576528404505,0.2929322163868524,0.28213688494762357,0.2879559575757313,0.3000545434864453,0.2734546120722485,0.3010711003522415,0.2965602431948775,0.2783128377412738,0.3075286856262352,0.2842493723799064,0.31514095199510234,0.2882295293021841,0.30296854501464415,0.310312358360341,0.3064911463346418,0.3142945587327144,0.28911275014211724,0.2873996975136786,0.30892278191970624,0.30535334007166776,0.3107202892655626,0.3118780364026235,0.2987974839979556,0.29368171580392866,0.3017133245466106,0.2784525035585282,0.27496927483399153,0.25921334001762475,0.2674593067301865,0.27114802341422534,0.2725839405776615,0.26202418163926516,0.2628574682439492,0.28144123966154666,0.2670445991776573,0.2708784181975062,0.25314476228811256,0.2618448855255328,0.27415838311095775,0.2647004166150061,0.2673104685247033,0.27546728486846306,0.26723363401696676,0.27351156891286826,0.25546098755149876,0.2707946934525164,0.2619880994151421,0.26851709894337655,0.26415946744672736,0.2752164141814929,0.26602022693778604
