Wavelength (nm),Absorbance (AU) 2024-10-04 00:01:06,Absorbance (AU) 2024-10-04 00:16:12,Absorbance (AU) 2024-10-04 00:31:18,Absorbance (AU) 2024-10-04 00:46:24,Absorbance (AU) 2024-10-04 01:01:30,Absorbance (AU) 2024-10-04 01:16:35,Absorbance (AU) 2024-10-04 01:31:41,Absorbance (AU) 2024-10-04 01:46:47,Absorbance (AU) 2024-10-04 02:01:53,Absorbance (AU) 2024-10-04 02:16:59,Absorbance (AU) 2024-10-04 02:32:05,Absorbance (AU) 2024-10-04 02:47:10,Absorbance (AU) 2024-10-04 03:02:16,Absorbance (AU) 2024-10-04 03:17:22,Absorbance (AU) 2024-10-04 03:32:28,Absorbance (AU) 2024-10-04 03:47:34,Absorbance (AU) 2024-10-04 04:02:40,Absorbance (AU) 2024-10-04 04:17:45,Absorbance (AU) 2024-10-04 04:32:51,Absorbance (AU) 2024-10-04 04:47:57,Absorbance (AU) 2024-10-04 05:03:03,Absorbance (AU) 2024-10-04 05:18:09,Absorbance (AU) 2024-10-04 05:33:14,Absorbance (AU) 2024-10-04 05:48:20,Absorbance (AU) 2024-10-04 06:03:26,Absorbance (AU) 2024-10-04 06:18:32,Absorbance (AU) 2024-10-04 06:33:37,Absorbance (AU) 2024-10-04 06:48:43,Absorbance (AU) 2024-10-04 07:03:49,Absorbance (AU) 2024-10-04 07:18:55,Absorbance (AU) 2024-10-04 07:34:01,Absorbance (AU) 2024-10-04 07:49:07,Absorbance (AU) 2024-10-04 08:04:13,Absorbance (AU) 2024-10-04 08:19:18,Absorbance (AU) 2024-10-04 08:34:24,Absorbance (AU) 2024-10-04 08:49:30,Absorbance (AU) 2024-10-04 09:04:36,Absorbance (AU) 2024-10-04 09:19:42,Absorbance (AU) 2024-10-04 09:34:48,Absorbance (AU) 2024-10-04 09:49:54,Absorbance (AU) 2024-10-04 10:04:59,Absorbance (AU) 2024-10-04 10:20:05,Absorbance (AU) 2024-10-04 10:35:11,Absorbance (AU) 2024-10-04 10:50:17,Absorbance (AU) 2024-10-04 11:05:23,Absorbance (AU) 2024-10-04 11:20:28,Absorbance (AU) 2024-10-04 11:35:34,Absorbance (AU) 2024-10-04 11:50:40,Absorbance (AU) 2024-10-04 12:05:46,Absorbance (AU) 2024-10-04 12:20:52,Absorbance (AU) 2024-10-04 12:35:58,Absorbance (AU) 2024-10-04 12:51:04,Absorbance (AU) 2024-10-04 13:06:10,Absorbance (AU) 2024-10-04 13:21:15,Absorbance (AU) 2024-10-04 13:36:21,Absorbance (AU) 2024-10-04 13:51:27,Absorbance (AU) 2024-10-04 14:06:33,Absorbance (AU) 2024-10-04 14:21:39,Absorbance (AU) 2024-10-04 14:36:45,Absorbance (AU) 2024-10-04 14:51:51,Absorbance (AU) 2024-10-04 15:06:56,Absorbance (AU) 2024-10-04 15:22:02,Absorbance (AU) 2024-10-04 15:37:08,Absorbance (AU) 2024-10-04 15:52:14,Absorbance (AU) 2024-10-04 16:07:20,Absorbance (AU) 2024-10-04 16:22:26,Absorbance (AU) 2024-10-04 16:37:31,Absorbance (AU) 2024-10-04 16:52:37
901.841506,1.657864,1.65876,1.660108,1.666683,1.665087,1.671739,1.667141,1.672664,1.670585,1.678259,1.668974,1.672664,1.681084,1.679434,1.68014,1.672201,1.67197,1.671739,1.684403,1.676854,1.682977,1.67522,1.678259,1.678729,1.682029,1.68274,1.675453,1.674056,1.677556,1.671046,1.682266,1.672433,1.674987,1.667598,1.669434,1.666683,1.672896,1.670124,1.658088,1.665087,1.663043,1.669664,1.668515,1.67336,1.67522,1.644418,1.662591,1.662364,1.66486,1.659658,1.671277,1.665771,1.666912,1.675919,1.667827,1.67662,1.678964,1.669664,1.666912,1.658536,1.675686,1.670124,1.682977,1.681084,1.675453,1.681084,1.688467,1.688467
904.394392,1.649422,1.651949,1.660047,1.655766,1.657046,1.658758,1.667204,1.660262,1.668737,1.666112,1.669616,1.67604,1.671599,1.673592,1.677381,1.670496,1.670276,1.674926,1.672041,1.660262,1.66437,1.673592,1.672705,1.67671,1.677157,1.673148,1.665676,1.667641,1.66633,1.679626,1.668079,1.662852,1.67604,1.666766,1.667204,1.664805,1.660047,1.665022,1.658115,1.661123,1.658758,1.662203,1.661339,1.667422,1.651105,1.646077,1.653853,1.660692,1.660047,1.657901,1.665894,1.658758,1.666112,1.669396,1.661339,1.672041,1.675594,1.66437,1.669836,1.657259,1.671599,1.664153,1.675371,1.67337,1.678053,1.672705,1.675148,1.680527
905.670145,1.646341,1.661916,1.654994,1.651471,1.654162,1.659807,1.661282,1.660228,1.66702,1.668091,1.66852,1.675445,1.667448,1.662127,1.67983,1.671753,1.668091,1.671536,1.673704,1.670026,1.67132,1.66895,1.674138,1.674791,1.670673,1.664673,1.668091,1.667234,1.663186,1.664886,1.673486,1.663823,1.662974,1.665952,1.667234,1.662762,1.654578,1.655827,1.65708,1.658336,1.661071,1.662974,1.657917,1.664035,1.660017,1.635264,1.649411,1.653747,1.652711,1.654162,1.654162,1.655619,1.66702,1.67983,1.656662,1.667877,1.665312,1.667663,1.661071,1.659596,1.661282,1.662974,1.667448,1.670026,1.682039,1.675882,1.678949,1.679169
908.220269,1.642736,1.647988,1.647011,1.64838,1.649164,1.654694,1.6539,1.657686,1.656088,1.654297,1.665358,1.662921,1.661707,1.662111,1.669452,1.661707,1.662516,1.666582,1.664544,1.661505,1.661909,1.665562,1.663123,1.664138,1.6609,1.661101,1.658487,1.659692,1.664341,1.657686,1.667605,1.654495,1.659089,1.660698,1.658888,1.654694,1.656287,1.653701,1.652711,1.658287,1.651328,1.64177,1.653305,1.65549,1.650343,1.637355,1.651131,1.647206,1.654495,1.653305,1.651525,1.653701,1.660295,1.65929,1.654098,1.665358,1.657886,1.666991,1.650146,1.652909,1.658688,1.658688,1.666991,1.670481,1.663123,1.669863,1.669246,1.6711
910.768552,1.640181,1.640548,1.644976,1.650951,1.643125,1.641467,1.652269,1.649262,1.653213,1.653402,1.659494,1.663346,1.662959,1.662959,1.665285,1.655676,1.659494,1.665868,1.656437,1.657581,1.653591,1.662959,1.663927,1.661994,1.66238,1.657581,1.651139,1.653024,1.650575,1.657581,1.662766,1.648513,1.65739,1.64702,1.656628,1.654727,1.646276,1.650012,1.638351,1.645532,1.645347,1.64702,1.6487,1.647953,1.643864,1.635257,1.634895,1.642019,1.647393,1.648513,1.645718,1.649075,1.650012,1.659878,1.656057,1.659111,1.655296,1.654537,1.643864,1.640181,1.654917,1.658728,1.6572,1.661801,1.654537,1.661416,1.673326,1.665091
913.314994,1.643237,1.635562,1.649618,1.638163,1.637642,1.646239,1.648192,1.650333,1.650512,1.64944,1.657729,1.657729,1.649976,1.654106,1.65519,1.647303,1.646239,1.658276,1.651049,1.647303,1.651228,1.657911,1.660467,1.65937,1.645884,1.646239,1.652485,1.653024,1.649976,1.655552,1.651408,1.651228,1.652305,1.652845,1.656458,1.647836,1.646593,1.639382,1.643413,1.64944,1.643413,1.645,1.648014,1.646061,1.643765,1.627681,1.632461,1.632461,1.642182,1.63886,1.650154,1.640605,1.652665,1.655371,1.643413,1.652845,1.653385,1.650333,1.647125,1.644117,1.649618,1.658822,1.655914,1.654647,1.660467,1.65937,1.657911,1.664699
915.859594,1.639099,1.63844,1.634999,1.640915,1.643903,1.643237,1.646074,1.645739,1.650111,1.651634,1.654868,1.658643,1.653334,1.660716,1.658471,1.662625,1.656237,1.651804,1.655895,1.659679,1.657095,1.651634,1.652483,1.656237,1.658299,1.656237,1.658127,1.651974,1.651974,1.653845,1.651634,1.646074,1.648256,1.65028,1.652143,1.646912,1.64407,1.649267,1.643736,1.64108,1.647415,1.64357,1.651634,1.658127,1.640915,1.633858,1.634021,1.644236,1.641246,1.643237,1.650111,1.645907,1.650787,1.660543,1.652993,1.653504,1.654527,1.654868,1.657611,1.643404,1.651295,1.650111,1.658127,1.659679,1.662278,1.660024,1.663496,1.665067
918.402353,1.646398,1.647349,1.649893,1.650851,1.647983,1.650053,1.654221,1.656806,1.652613,1.665315,1.662844,1.660876,1.657292,1.661203,1.66482,1.665646,1.663501,1.660549,1.66449,1.655188,1.662351,1.661695,1.661367,1.65632,1.661367,1.659081,1.66104,1.656644,1.657292,1.666971,1.662844,1.655835,1.657942,1.658267,1.654543,1.648937,1.651811,1.65406,1.648301,1.659406,1.652613,1.650532,1.655673,1.658429,1.653095,1.643246,1.649256,1.646082,1.651331,1.647032,1.64846,1.650532,1.655511,1.663337,1.654704,1.662351,1.659406,1.654382,1.658104,1.650691,1.657292,1.666805,1.667137,1.668467,1.666142,1.664985,1.670803,1.671976
920.943271,1.655788,1.651845,1.660228,1.661152,1.665336,1.655179,1.668933,1.667678,1.671294,1.672876,1.675578,1.672401,1.66596,1.671768,1.677655,1.673828,1.667992,1.676535,1.673828,1.677655,1.675578,1.667678,1.673034,1.675259,1.670348,1.671452,1.667209,1.665181,1.668462,1.679421,1.672717,1.663627,1.668305,1.673669,1.66909,1.666116,1.657467,1.661924,1.658232,1.666428,1.656245,1.656855,1.670348,1.666272,1.666272,1.649136,1.651392,1.656703,1.663317,1.657926,1.66674,1.667053,1.670348,1.670506,1.66596,1.674145,1.672084,1.669719,1.669719,1.657926,1.667053,1.666584,1.678939,1.678939,1.676855,1.676695,1.678457,1.682488
923.482347,1.67969,1.672703,1.679091,1.682999,1.67954,1.683906,1.688776,1.683604,1.684209,1.691847,1.695096,1.692001,1.691847,1.699779,1.703246,1.693391,1.683604,1.697587,1.699622,1.692927,1.696184,1.694165,1.694475,1.691077,1.692927,1.685726,1.693855,1.683906,1.682396,1.695096,1.689388,1.689542,1.688776,1.686334,1.689235,1.682698,1.685726,1.685574,1.676703,1.682094,1.681793,1.68315,1.692464,1.683755,1.679241,1.671525,1.676554,1.676257,1.683604,1.675217,1.677746,1.682547,1.688164,1.688623,1.686334,1.696184,1.693391,1.698995,1.682094,1.685726,1.691385,1.689695,1.698056,1.698995,1.692464,1.695717,1.698212,1.702614
