Wavelength (nm),Absorbance (AU) 2024-10-02 00:00:02,Absorbance (AU) 2024-10-02 00:15:13,Absorbance (AU) 2024-10-02 00:30:24,Absorbance (AU) 2024-10-02 00:45:35,Absorbance (AU) 2024-10-02 01:00:46,Absorbance (AU) 2024-10-02 01:15:57,Absorbance (AU) 2024-10-02 01:31:09,Absorbance (AU) 2024-10-02 01:46:20,Absorbance (AU) 2024-10-02 02:01:32,Absorbance (AU) 2024-10-02 02:16:43,Absorbance (AU) 2024-10-02 02:31:55,Absorbance (AU) 2024-10-02 02:47:07,Absorbance (AU) 2024-10-02 03:02:19,Absorbance (AU) 2024-10-02 03:17:32,Absorbance (AU) 2024-10-02 03:32:44,Absorbance (AU) 2024-10-02 03:47:57,Absorbance (AU) 2024-10-02 04:03:09,Absorbance (AU) 2024-10-02 04:18:22,Absorbance (AU) 2024-10-02 04:33:35,Absorbance (AU) 2024-10-02 04:48:48,Absorbance (AU) 2024-10-02 05:04:01,Absorbance (AU) 2024-10-02 05:19:14,Absorbance (AU) 2024-10-02 05:34:27,Absorbance (AU) 2024-10-02 05:49:40,Absorbance (AU) 2024-10-02 06:04:54,Absorbance (AU) 2024-10-02 06:20:07,Absorbance (AU) 2024-10-02 06:35:21,Absorbance (AU) 2024-10-02 06:50:35,Absorbance (AU) 2024-10-02 07:05:49,Absorbance (AU) 2024-10-02 07:21:03,Absorbance (AU) 2024-10-02 07:36:17,Absorbance (AU) 2024-10-02 07:51:32,Absorbance (AU) 2024-10-02 08:06:46,Absorbance (AU) 2024-10-02 08:22:01,Absorbance (AU) 2024-10-02 08:37:16,Absorbance (AU) 2024-10-02 08:52:31,Absorbance (AU) 2024-10-02 09:07:46,Absorbance (AU) 2024-10-02 09:23:00,Absorbance (AU) 2024-10-02 09:38:16,Absorbance (AU) 2024-10-02 09:53:31,Absorbance (AU) 2024-10-02 10:08:46,Absorbance (AU) 2024-10-02 10:24:02,Absorbance (AU) 2024-10-02 10:39:17,Absorbance (AU) 2024-10-02 10:54:32,Absorbance (AU) 2024-10-02 11:09:48,Absorbance (AU) 2024-10-02 11:25:04,Absorbance (AU) 2024-10-02 11:40:20,Absorbance (AU) 2024-10-02 11:55:36,Absorbance (AU) 2024-10-02 12:10:52,Absorbance (AU) 2024-10-02 12:26:08,Absorbance (AU) 2024-10-02 12:41:25,Absorbance (AU) 2024-10-02 12:56:41,Absorbance (AU) 2024-10-02 13:11:58,Absorbance (AU) 2024-10-02 13:27:15,Absorbance (AU) 2024-10-02 13:42:32,Absorbance (AU) 2024-10-02 13:57:49,Absorbance (AU) 2024-10-02 14:13:07,Absorbance (AU) 2024-10-02 14:28:25,Absorbance (AU) 2024-10-02 14:43:42,Absorbance (AU) 2024-10-02 14:59:00,Absorbance (AU) 2024-10-02 15:14:18,Absorbance (AU) 2024-10-02 15:29:36,Absorbance (AU) 2024-10-02 15:44:54
926.019582,1.731366,1.730578,1.739011,1.733265,1.739654,1.736608,1.73184,1.740459,1.736608,1.740137,1.741266,1.744346,1.737727,1.739332,1.740459,1.740459,1.744508,1.743371,1.745649,1.742722,1.739976,1.74516,1.744834,1.751728,1.745812,1.737727,1.746629,1.747611,1.740137,1.74712,1.746302,1.741105,1.751562,1.746465,1.746302,1.75239,1.751232,1.751232,1.746956,1.745812,1.741105,1.73885,1.746792,1.745649,1.744834,1.749089,1.744021,1.741589,1.737407,1.739332,1.774658,1.774832,1.775356,1.768252,1.770665,1.759911,1.750901,1.758901,1.750901,1.762278,1.756887,1.765852,1.774658
928.554976,1.759928,1.750214,1.755514,1.76279,1.760245,1.751922,1.761516,1.76263,1.756142,1.755828,1.765028,1.773446,1.758031,1.762311,1.764387,1.760404,1.765991,1.762471,1.765831,1.769378,1.766152,1.763907,1.769378,1.771163,1.75977,1.763428,1.764387,1.769378,1.76567,1.763268,1.76744,1.767601,1.773773,1.774591,1.765991,1.773936,1.771977,1.772303,1.774919,1.770351,1.76744,1.765831,1.770838,1.771001,1.761516,1.76744,1.764067,1.765831,1.760404,1.76567,1.792491,1.808848,1.795404,1.801463,1.78875,1.780698,1.776562,1.778047,1.777386,1.786723,1.775576,1.787904,1.802336
931.088528,1.780121,1.779494,1.779494,1.779807,1.789158,1.780906,1.783112,1.787399,1.779337,1.786602,1.788038,1.792212,1.783587,1.791567,1.785806,1.78533,1.797406,1.791245,1.789639,1.792696,1.786284,1.79028,1.79659,1.793828,1.787399,1.788357,1.791567,1.787399,1.79659,1.791728,1.791728,1.79659,1.796916,1.802001,1.792212,1.79659,1.792212,1.796916,1.79012,1.793019,1.783903,1.783903,1.788517,1.789478,1.788038,1.796101,1.79012,1.78533,1.78708,1.786921,1.820887,1.829766,1.820887,1.823826,1.817624,1.802827,1.80598,1.794963,1.801671,1.799697,1.809827,1.814047,1.81677
933.620239,1.80424,1.804871,1.81123,1.81027,1.807245,1.805661,1.805503,1.804871,1.804556,1.808039,1.820455,1.816223,1.812834,1.812513,1.814122,1.814283,1.812995,1.81139,1.815575,1.813478,1.815252,1.82111,1.809312,1.814767,1.808198,1.813156,1.8138,1.814606,1.812834,1.814122,1.823409,1.817846,1.816385,1.818171,1.818822,1.819965,1.817846,1.824564,1.82193,1.81123,1.816385,1.808198,1.812352,1.8138,1.8138,1.812513,1.814606,1.812834,1.808675,1.816061,1.843291,1.853408,1.85112,1.844154,1.837639,1.827048,1.828045,1.82193,1.831723,1.826716,1.83055,1.836449,1.846927
936.150109,1.826319,1.82616,1.827272,1.832232,1.826319,1.831268,1.834329,1.83175,1.832071,1.837412,1.837738,1.845631,1.8353,1.827909,1.830145,1.835462,1.835138,1.844471,1.835624,1.836761,1.837412,1.836111,1.842819,1.838553,1.829665,1.839861,1.845465,1.840517,1.837738,1.834976,1.838064,1.841009,1.84216,1.845134,1.846961,1.840517,1.841009,1.847794,1.853333,1.842984,1.835138,1.83336,1.832232,1.839207,1.842654,1.834329,1.834006,1.834976,1.83888,1.83888,1.867236,1.87944,1.871266,1.869684,1.864454,1.851647,1.8498,1.849632,1.857235,1.856384,1.854517,1.863242,1.871618
938.678137,1.849344,1.852091,1.851767,1.857146,1.854204,1.856818,1.858295,1.851281,1.855836,1.858624,1.861265,1.866764,1.860934,1.857638,1.859448,1.860273,1.860273,1.862758,1.868276,1.857638,1.861762,1.866261,1.860273,1.860438,1.856163,1.862592,1.860934,1.862592,1.85731,1.86309,1.868781,1.867771,1.868276,1.870807,1.874035,1.866094,1.865759,1.869962,1.8766,1.861762,1.858954,1.855999,1.864589,1.86359,1.858624,1.86226,1.863257,1.854204,1.863257,1.856163,1.89143,1.891962,1.895173,1.885787,1.887895,1.870807,1.875572,1.87918,1.870976,1.875743,1.880736,1.882297,1.890189
941.204324,1.875654,1.877651,1.872346,1.884713,1.879322,1.880831,1.873336,1.883359,1.875156,1.876319,1.874328,1.879824,1.874328,1.878318,1.883697,1.88184,1.887433,1.881336,1.884882,1.881672,1.886752,1.888116,1.885901,1.886581,1.879657,1.88016,1.887775,1.872182,1.882515,1.887433,1.888458,1.89103,1.89,1.893272,1.890343,1.893272,1.891719,1.886752,1.892754,1.890687,1.883866,1.889143,1.891891,1.892581,1.889828,1.882515,1.883528,1.882852,1.886241,1.886241,1.907507,1.922779,1.926869,1.905013,1.909297,1.89884,1.887263,1.901651,1.89814,1.908043,1.894657,1.905013,1.91635
943.72867,1.889055,1.893924,1.893418,1.906082,1.893249,1.888554,1.890393,1.894769,1.896804,1.907125,1.902795,1.90817,1.896804,1.89902,1.904176,1.902795,1.904176,1.90159,1.910445,1.906429,1.902967,1.90817,1.902278,1.903312,1.901418,1.898166,1.907473,1.904349,1.902967,1.905908,1.913437,1.89902,1.915207,1.917696,1.912731,1.912907,1.915739,1.916272,1.904695,1.90314,1.897996,1.890393,1.901762,1.910269,1.903657,1.902106,1.900732,1.901418,1.905388,1.900732,1.926707,1.938333,1.934794,1.925979,1.92963,1.918947,1.91734,1.913967,1.920559,1.923622,1.918768,1.930181,1.928715
946.251174,1.903548,1.908641,1.910352,1.914314,1.919711,1.910009,1.911382,1.909325,1.90847,1.915353,1.91121,1.91466,1.912415,1.919011,1.914314,1.918836,1.914314,1.912242,1.923582,1.923405,1.919536,1.923759,1.92429,1.922523,1.91207,1.918661,1.920237,1.921818,1.92642,1.925886,1.927845,1.93089,1.929276,1.932151,1.926242,1.92129,1.926954,1.924644,1.927488,1.921466,1.917788,1.906937,1.918836,1.919886,1.916569,1.924113,1.912242,1.917962,1.92217,1.918661,1.938141,1.952448,1.958536,1.942181,1.937958,1.93161,1.927488,1.928381,1.936317,1.939789,1.936681,1.938507,1.943474
948.771837,1.919099,1.928282,1.928633,1.927058,1.921161,1.928107,1.924273,1.926709,1.92462,1.928983,1.936413,1.938381,1.926186,1.922887,1.924968,1.925142,1.939098,1.933213,1.924794,1.936592,1.940717,1.934633,1.935522,1.93856,1.928282,1.935166,1.9341,1.946705,1.930389,1.937128,1.938201,1.938022,1.934455,1.941799,1.937843,1.945975,1.941619,1.939817,1.939997,1.930565,1.931622,1.929159,1.930741,1.939817,1.932859,1.926709,1.92636,1.93677,1.934988,1.93481,1.953518,1.967666,1.958371,1.950374,1.954633,1.946705,1.947253,1.939817,1.94707,1.947986,1.943791,1.946705,1.955938
951.290658,1.93411,1.93168,1.932546,1.933588,1.932199,1.93047,1.935155,1.938132,1.93168,1.942191,1.946648,1.93954,1.937605,1.929263,1.930124,1.940069,1.945217,1.938835,1.941306,1.944325,1.948083,1.945395,1.93533,1.94611,1.943257,1.944681,1.939011,1.942014,1.949163,1.945753,1.94166,1.945932,1.94486,1.953328,1.945038,1.946289,1.949163,1.948623,1.946827,1.945217,1.933762,1.948443,1.935854,1.94486,1.94486,1.946468,1.939363,1.942901,1.940422,1.938483,1.964571,1.977264,1.971914,1.966254,1.955517,1.945932,1.952056,1.950426,1.952601,1.957716,1.950246,1.963265,1.966067
953.807639,1.937771,1.935195,1.944367,1.938288,1.943668,1.945068,1.941926,1.949293,1.933998,1.944018,1.94947,1.947703,1.94123,1.940536,1.948939,1.942274,1.945243,1.954453,1.953559,1.946647,1.953024,1.950888,1.953381,1.949647,1.94612,1.944018,1.946647,1.942796,1.946823,1.948232,1.953559,1.953917,1.951243,1.958952,1.946296,1.953738,1.947175,1.955708,1.957507,1.956247,1.948586,1.945418,1.951243,1.955349,1.948939,1.955349,1.944018,1.94297,1.94788,1.944367,1.972361,1.983893,1.978751,1.971988,1.964779,1.95859,1.963132,1.96295,1.956607,1.971429,1.953202,1.959133,1.968646
956.322778,1.944309,1.945686,1.943965,1.952115,1.951066,1.952466,1.944309,1.944653,1.951765,1.949672,1.949498,1.954397,1.948455,1.949672,1.948628,1.957222,1.957399,1.948976,1.954045,1.95616,1.952466,1.946204,1.956691,1.954925,1.946895,1.950194,1.955278,1.948281,1.953869,1.942593,1.952115,1.957576,1.955101,1.957045,1.950892,1.958819,1.961851,1.960065,1.962209,1.951591,1.94345,1.944653,1.952816,1.950717,1.953694,1.947415,1.952816,1.95002,1.948802,1.956691,1.975305,1.981816,1.982566,1.969436,1.972177,1.964365,1.963106,1.960243,1.961493,1.963286,1.961672,1.961672,1.969072
958.836075,1.939281,1.947036,1.948741,1.954587,1.957888,1.943479,1.948741,1.951998,1.949425,1.954933,1.950624,1.956843,1.947717,1.953549,1.951826,1.949596,1.950281,1.952342,1.953722,1.960863,1.958062,1.960161,1.956843,1.966164,1.952859,1.953722,1.956147,1.953549,1.958761,1.952859,1.957714,1.960863,1.952687,1.956669,1.954241,1.956669,1.960512,1.956495,1.953722,1.955453,1.947888,1.95217,1.954241,1.955626,1.961566,1.952514,1.952859,1.949083,1.953549,1.960337,1.975145,1.977875,1.97751,1.978607,1.978058,1.964921,1.962623,1.964213,1.970631,1.962623,1.970631,1.975326,1.976053
