Wavelength (nm),Absorbance (AU) 2024-10-08 14:41:34,Absorbance (AU) 2024-10-08 14:56:44,Absorbance (AU) 2024-10-08 15:11:54,Absorbance (AU) 2024-10-08 15:27:03,Absorbance (AU) 2024-10-08 15:42:13,Absorbance (AU) 2024-10-08 15:57:22,Absorbance (AU) 2024-10-08 16:12:32,Absorbance (AU) 2024-10-08 16:27:41,Absorbance (AU) 2024-10-08 16:42:51,Absorbance (AU) 2024-10-08 16:58:00,Absorbance (AU) 2024-10-08 17:13:09,Absorbance (AU) 2024-10-08 17:28:19,Absorbance (AU) 2024-10-08 17:43:28,Absorbance (AU) 2024-10-08 17:58:38,Absorbance (AU) 2024-10-08 18:13:47,Absorbance (AU) 2024-10-08 18:28:57,Absorbance (AU) 2024-10-08 18:44:06,Absorbance (AU) 2024-10-08 18:59:16,Absorbance (AU) 2024-10-08 19:14:25,Absorbance (AU) 2024-10-08 19:29:35,Absorbance (AU) 2024-10-08 19:44:44,Absorbance (AU) 2024-10-08 19:59:54,Absorbance (AU) 2024-10-08 20:15:03,Absorbance (AU) 2024-10-08 20:30:12
1396.45555,2.488416,2.49784,2.490349,2.464952,2.477308,2.47512,2.486172,2.484576,2.490995,2.480769,2.49359,2.490026,2.489704,2.476369,2.492291,2.489059,2.491643,2.473875,2.47512,2.503461,2.471086,2.490349,2.476995,2.490349
1398.622674,2.477809,2.491934,2.491934,2.466893,2.481935,2.475918,2.486422,2.470294,2.480661,2.469364,2.489331,2.490631,2.467201,2.476233,2.475604,2.483852,2.486744,2.500501,2.476233,2.495538,2.484173,2.495209,2.493896,2.484173
1400.787958,2.486646,2.482132,2.480212,2.488921,2.486646,2.463609,2.4783,2.477982,2.479893,2.476713,2.487944,2.492191,2.477665,2.471049,2.468555,2.482774,2.472615,2.483739,2.480212,2.487944,2.489899,2.483739,2.489247,2.48827
1402.9514,2.483047,2.479509,2.489881,2.491524,2.484016,2.473466,2.485638,2.475683,2.489225,2.489553,2.487591,2.481114,2.486288,2.482401,2.48015,2.482079,2.488571,2.482724,2.488571,2.494166,2.485313,2.488244,2.493504,2.475683
1405.113,2.473133,2.484689,2.487954,2.48534,2.478552,2.489925,2.469348,2.484364,2.484689,2.473133,2.500929,2.479836,2.490914,2.490914,2.482741,2.479836,2.485014,2.484689,2.475674,2.49456,2.476631,2.489267,2.485992,2.4979
1407.27276,2.486361,2.496962,2.495957,2.474736,2.478898,2.482127,2.485706,2.48538,2.485053,2.463103,2.481479,2.481479,2.4831,2.486033,2.480832,2.490636,2.482127,2.487016,2.476972,2.49999,2.472511,2.501343,2.472511,2.478576
1409.430678,2.474107,2.487053,2.49501,2.465895,2.487053,2.466521,2.500735,2.470297,2.485413,2.487053,2.496686,2.472834,2.476986,2.489028,2.476986,2.48771,2.479239,2.482803,2.478272,2.507225,2.492009,2.490682,2.483128,2.491013
1411.586754,2.481857,2.49172,2.479587,2.489398,2.477008,2.470309,2.482507,2.469676,2.478618,2.477973,2.488077,2.474124,2.489398,2.482182,2.479587,2.477329,2.482182,2.476686,2.484792,2.487418,2.481532,2.489068,2.484792,2.482833
1413.74099,2.487523,2.492498,2.492164,2.473889,2.470071,2.480652,2.472931,2.473889,2.47549,2.484565,2.484238,2.484893,2.478709,2.496182,2.483257,2.478063,2.475169,2.472613,2.47549,2.485549,2.49551,2.498543,2.479033,2.488844
1415.893383,2.482445,2.487037,2.485392,2.468953,2.486049,2.474684,2.483098,2.486708,2.492012,2.482772,2.490348,2.485063,2.485392,2.48902,2.487367,2.486708,2.48572,2.481467,2.495697,2.498735,2.479843,2.49068,2.486708,2.494353
1418.043936,2.487551,2.489538,2.504399,2.477747,2.490535,2.47006,2.490535,2.479041,2.469742,2.48623,2.485572,2.495556,2.488212,2.490868,2.483602,2.484258,2.478717,2.491201,2.476778,2.473566,2.463444,2.490535,2.482294,2.477747
1420.192647,2.48064,2.49487,2.489853,2.481618,2.478691,2.473857,2.468759,2.494198,2.48621,2.48064,2.48654,2.48654,2.483253,2.47999,2.496555,2.484565,2.476429,2.492187,2.487531,2.499605,2.47934,2.484565,2.490186,2.48687
1422.339517,2.481393,2.478142,2.48009,2.486645,2.486645,2.469168,2.469803,2.492296,2.497344,2.472671,2.487968,2.485656,2.485326,2.482373,2.482046,2.485326,2.48434,2.482373,2.487637,2.483355,2.475881,2.487968,2.477819,2.48009
1424.484546,2.486949,2.485629,2.494282,2.484641,2.483656,2.488605,2.4906,2.480388,2.486949,2.487942,2.503454,2.487942,2.475854,2.489934,2.504485,2.483984,2.48761,2.491935,2.496303,2.500375,2.484641,2.49361,2.472005,2.487279
1426.627733,2.479927,2.486813,2.470594,2.484177,2.470594,2.473149,2.474753,2.46679,2.491465,2.497859,2.491465,2.481884,2.485493,2.483849,2.484835,2.491799,2.487806,2.493139,2.476686,2.476041,2.480253,2.49752,2.483521,2.489798
1428.769079,2.484303,2.482335,2.48595,2.477777,2.48595,2.478101,2.477777,2.481028,2.490595,2.473267,2.495965,2.489263,2.489595,2.479399,2.490261,2.491597,2.482662,2.495627,2.475838,2.492601,2.475194,2.48529,2.474551,2.48529
1430.908583,2.475945,2.485734,2.504275,2.478534,2.49914,2.477238,2.480486,2.476914,2.47821,2.486065,2.501529,2.486395,2.478859,2.48016,2.486726,2.462601,2.489047,2.494064,2.493728,2.485734,2.487388,2.484087,2.489713,2.49272
1433.046246,2.494508,2.496195,2.510639,2.486827,2.486496,2.484516,2.483858,2.483529,2.483201,2.481236,2.516624,2.494171,2.495857,2.481562,2.489816,2.493162,2.482217,2.476361,2.484845,2.504045,2.49857,2.487489,2.477332,2.49823
1435.182068,2.479945,2.497593,2.495558,2.489179,2.488513,2.483549,2.479945,2.489846,2.493197,2.49387,2.489179,2.492861,2.491854,2.478968,2.491854,2.483879,2.482892,2.489179,2.49522,2.496913,2.483879,2.48818,2.502033,2.50169
1436.249288,2.482246,2.496256,2.495918,2.471866,2.492207,2.470586,2.48389,2.486203,2.497615,2.482574,2.502402,2.507939,2.506201,2.494227,2.496935,2.479301,2.505162,2.49966,2.476053,2.477349,2.481918,2.488861,2.48389,2.49966
1438.382348,2.49723,2.498251,2.499616,2.487818,2.484836,2.487154,2.491491,2.471502,2.484505,2.498933,2.494858,2.491491,2.487154,2.488484,2.490821,2.496212,2.491156,2.506851,2.476332,2.49757,2.483846,2.504426,2.487154,2.489484
1440.513567,2.495314,2.492278,2.49667,2.486269,2.510119,2.483955,2.506631,2.486601,2.49803,2.504897,2.494976,2.488596,2.491942,2.4943,2.501107,2.492951,2.490601,2.50145,2.500079,2.494637,2.511874,2.49701,2.491606,2.50386
1442.642944,2.494211,2.501367,2.512503,2.491516,2.487171,2.480571,2.492861,2.499995,2.485843,2.494887,2.495226,2.496923,2.478284,2.484188,2.497263,2.492861,2.493198,2.495904,2.49931,2.504817,2.486838,2.502399,2.491852,2.491516
1444.77048,2.49739,2.49944,2.505302,2.493656,2.488616,2.485619,2.491969,2.491969,2.491297,2.491633,2.497049,2.484625,2.491969,2.507739,2.506693,2.504608,2.482644,2.491297,2.48895,2.500469,2.488282,2.510189,2.498414,2.495349
1446.896174,2.503633,2.515571,2.506761,2.488991,2.493704,2.48632,2.498127,2.486653,2.49574,2.494721,2.501905,2.501905,2.498469,2.494721,2.488991,2.486986,2.491341,2.491341,2.49574,2.486986,2.488991,2.496421,2.494721,2.4954
1449.020027,2.497082,2.511322,2.498108,2.481642,2.493339,2.479996,2.492662,2.493678,2.478684,2.496058,2.511676,2.495377,2.504665,2.490638,2.49674,2.513091,2.501202,2.486617,2.498108,2.497082,2.486617,2.505013,2.494697,2.500857
1451.142039,2.504232,2.515513,2.507025,2.506675,2.487172,2.492559,2.48617,2.490531,2.505626,2.501457,2.511602,2.500766,2.494937,2.501803,2.501112,2.495277,2.501112,2.496301,2.486504,2.51838,2.493916,2.499044,2.512665,2.503537
