Wavelength (nm),Absorbance (AU) 2024-09-25 00:02:15,Absorbance (AU) 2024-09-25 00:17:24,Absorbance (AU) 2024-09-25 00:32:34,Absorbance (AU) 2024-09-25 00:47:43,Absorbance (AU) 2024-09-25 01:02:53,Absorbance (AU) 2024-09-25 01:18:03,Absorbance (AU) 2024-09-25 01:33:12,Absorbance (AU) 2024-09-25 01:48:22,Absorbance (AU) 2024-09-25 02:03:31,Absorbance (AU) 2024-09-25 02:18:41,Absorbance (AU) 2024-09-25 02:33:50,Absorbance (AU) 2024-09-25 02:49:00,Absorbance (AU) 2024-09-25 03:04:10,Absorbance (AU) 2024-09-25 03:19:19,Absorbance (AU) 2024-09-25 03:34:29,Absorbance (AU) 2024-09-25 03:49:38,Absorbance (AU) 2024-09-25 04:04:48,Absorbance (AU) 2024-09-25 04:19:58,Absorbance (AU) 2024-09-25 04:35:07,Absorbance (AU) 2024-09-25 04:50:17,Absorbance (AU) 2024-09-25 05:05:27,Absorbance (AU) 2024-09-25 05:20:36,Absorbance (AU) 2024-09-25 05:35:46,Absorbance (AU) 2024-09-25 05:50:55,Absorbance (AU) 2024-09-25 06:06:05,Absorbance (AU) 2024-09-25 06:21:14,Absorbance (AU) 2024-09-25 06:36:24,Absorbance (AU) 2024-09-25 06:51:34,Absorbance (AU) 2024-09-25 07:06:43,Absorbance (AU) 2024-09-25 07:21:53,Absorbance (AU) 2024-09-25 07:37:03,Absorbance (AU) 2024-09-25 07:52:12,Absorbance (AU) 2024-09-25 08:07:22,Absorbance (AU) 2024-09-25 08:22:31,Absorbance (AU) 2024-09-25 08:37:41,Absorbance (AU) 2024-09-25 08:52:51,Absorbance (AU) 2024-09-25 09:08:00,Absorbance (AU) 2024-09-25 09:23:10,Absorbance (AU) 2024-09-25 09:38:19,Absorbance (AU) 2024-09-25 09:53:29,Absorbance (AU) 2024-09-25 10:08:39,Absorbance (AU) 2024-09-25 10:23:48,Absorbance (AU) 2024-09-25 10:38:58,Absorbance (AU) 2024-09-25 10:54:08,Absorbance (AU) 2024-09-25 11:09:17,Absorbance (AU) 2024-09-25 11:24:27,Absorbance (AU) 2024-09-25 11:39:37,Absorbance (AU) 2024-09-25 11:54:46,Absorbance (AU) 2024-09-25 12:09:56,Absorbance (AU) 2024-09-25 12:25:05,Absorbance (AU) 2024-09-25 12:40:15,Absorbance (AU) 2024-09-25 12:55:21,Absorbance (AU) 2024-09-25 13:10:30,Absorbance (AU) 2024-09-25 13:25:40,Absorbance (AU) 2024-09-25 13:40:50,Absorbance (AU) 2024-09-25 13:55:59,Absorbance (AU) 2024-09-25 14:11:09,Absorbance (AU) 2024-09-25 14:26:18,Absorbance (AU) 2024-09-25 14:41:28,Absorbance (AU) 2024-09-25 14:56:38,Absorbance (AU) 2024-09-25 15:11:47,Absorbance (AU) 2024-09-25 15:26:57,Absorbance (AU) 2024-09-25 15:42:07,Absorbance (AU) 2024-09-25 15:57:16,Absorbance (AU) 2024-09-25 16:12:26,Absorbance (AU) 2024-09-25 16:27:36,Absorbance (AU) 2024-09-25 16:42:47
901.841506,1.685117,1.687268,1.695734,1.69257,1.688467,1.680612,1.690152,1.692085,1.675919,1.686789,1.689911,1.688227,1.694758,1.692812,1.686311,1.695734,1.700647,1.697447,1.704617,1.693055,1.692085,1.687987,1.682266,1.692085,1.698429,1.690393,1.703373,1.70938,1.702627,1.714706,1.714196,1.699906,1.717009,1.711148,1.713941,1.709632,1.722429,1.705116,1.720615,1.715984,1.725034,1.72191,1.717265,1.717009,1.715728,1.714706,1.718293,1.730557,1.714451,1.726868,1.704119,1.730028,1.726868,1.730292,1.721651,1.715217,1.732148,1.712669,1.718293,1.715728,1.728182,1.720615,1.730028,1.728708,1.745089,1.732413,1.734278
904.394392,1.683014,1.680978,1.682561,1.676487,1.683468,1.689872,1.682334,1.684605,1.682108,1.688951,1.690563,1.693806,1.692413,1.694504,1.687574,1.693574,1.700837,1.687803,1.687803,1.694504,1.683468,1.694271,1.680527,1.690102,1.685972,1.692182,1.697776,1.698481,1.699893,1.700365,1.710635,1.70392,1.701547,1.706546,1.711603,1.71233,1.711845,1.714763,1.713545,1.710635,1.714519,1.710635,1.708225,1.703682,1.716964,1.714519,1.712815,1.717701,1.720658,1.71574,1.692413,1.704396,1.721401,1.724883,1.723139,1.717946,1.717455,1.710393,1.706306,1.713545,1.725883,1.721897,1.719424,1.734734,1.723139,1.726384,1.735245
905.670145,1.683814,1.683592,1.673921,1.6761,1.685597,1.679389,1.684704,1.681817,1.68005,1.684259,1.687387,1.692801,1.677194,1.692348,1.685597,1.687835,1.68005,1.680491,1.679389,1.689184,1.68582,1.690086,1.684927,1.68582,1.694393,1.687611,1.689184,1.702907,1.700821,1.704537,1.70407,1.704303,1.711828,1.714206,1.701283,1.709935,1.706407,1.713253,1.701283,1.719968,1.713253,1.715161,1.710407,1.719003,1.711354,1.712778,1.70711,1.713253,1.711828,1.718521,1.699666,1.7154,1.725318,1.728757,1.718521,1.715161,1.722149,1.70477,1.711828,1.708755,1.704303,1.716358,1.722878,1.72925,1.730487,1.724096,1.72851
908.220269,1.678595,1.678595,1.680489,1.662921,1.677127,1.674831,1.677337,1.664341,1.676918,1.679857,1.669452,1.672754,1.673999,1.679436,1.683028,1.681334,1.676709,1.66822,1.692898,1.672133,1.685154,1.688579,1.679646,1.679646,1.695074,1.686436,1.686008,1.695729,1.6977,1.691382,1.70478,1.697261,1.699679,1.695074,1.701889,1.702777,1.707016,1.705003,1.700341,1.696166,1.703888,1.709715,1.710618,1.693333,1.702999,1.693116,1.715849,1.709715,1.716078,1.70478,1.691382,1.705226,1.714251,1.719526,1.711297,1.719526,1.724399,1.700783,1.692248,1.701225,1.712204,1.70478,1.70612,1.715392,1.718144,1.719757,1.722536
910.768552,1.671942,1.670563,1.665674,1.66238,1.667818,1.666647,1.666063,1.661031,1.667818,1.667037,1.673722,1.669189,1.668993,1.679908,1.671548,1.678904,1.669189,1.671745,1.671351,1.676305,1.674714,1.672535,1.668601,1.677303,1.668014,1.684352,1.681922,1.690074,1.690074,1.698382,1.685775,1.682933,1.696917,1.693171,1.69028,1.697963,1.69193,1.696708,1.699012,1.696082,1.705785,1.704082,1.694832,1.69629,1.698173,1.701751,1.693171,1.700274,1.712882,1.705572,1.684352,1.715273,1.709641,1.711366,1.705998,1.712448,1.708781,1.699432,1.692136,1.695873,1.703869,1.701328,1.705145,1.715055,1.715055,1.711583,1.71724
913.314994,1.668226,1.665069,1.670468,1.663038,1.664329,1.666552,1.661017,1.657547,1.65864,1.667295,1.668972,1.67197,1.670468,1.664144,1.670468,1.664329,1.667481,1.669907,1.676696,1.666923,1.669346,1.670843,1.663407,1.671594,1.67197,1.674421,1.674799,1.680514,1.681473,1.676316,1.688057,1.680705,1.683592,1.680514,1.688447,1.689816,1.685722,1.689425,1.690797,1.691976,1.689033,1.693949,1.687472,1.697723,1.695932,1.700124,1.695138,1.704357,1.699723,1.704357,1.683206,1.699923,1.706184,1.699923,1.703548,1.707814,1.706591,1.698722,1.68205,1.690404,1.700525,1.704155,1.702538,1.708632,1.713363,1.71233,1.704762
915.859594,1.668756,1.671943,1.664019,1.66037,1.659161,1.658816,1.663496,1.660197,1.663845,1.663148,1.671765,1.671765,1.670346,1.664892,1.668227,1.673188,1.672298,1.669993,1.667171,1.666644,1.668403,1.669816,1.666469,1.676229,1.667347,1.67587,1.677127,1.683832,1.688791,1.680557,1.6875,1.681464,1.68365,1.687316,1.691571,1.69662,1.680376,1.688976,1.692875,1.694182,1.697373,1.689716,1.686397,1.692688,1.701728,1.691943,1.703445,1.695681,1.698883,1.694182,1.681828,1.704018,1.705743,1.709021,1.716439,1.705359,1.708828,1.685662,1.697939,1.68658,1.698694,1.696432,1.709215,1.707283,1.712324,1.712714,1.712909
918.402353,1.669133,1.6693,1.6683,1.668134,1.666308,1.675684,1.670803,1.66482,1.674501,1.6683,1.676362,1.673153,1.67704,1.672312,1.6693,1.67789,1.67789,1.676701,1.675515,1.674163,1.680791,1.667968,1.67755,1.672648,1.681992,1.674501,1.683196,1.684058,1.688393,1.684575,1.69119,1.688044,1.690314,1.692948,1.694359,1.694359,1.693829,1.698799,1.695066,1.700946,1.700408,1.699692,1.695597,1.694359,1.697017,1.698263,1.705092,1.708546,1.704006,1.710559,1.685267,1.707999,1.705273,1.711293,1.71111,1.716096,1.70727,1.70005,1.692948,1.694182,1.699692,1.708729,1.723024,1.70727,1.712029,1.718705,1.720202
920.943271,1.678297,1.67926,1.675897,1.676695,1.682164,1.675578,1.67351,1.672559,1.674622,1.679582,1.683461,1.681194,1.676695,1.676855,1.677816,1.685577,1.686884,1.679582,1.689346,1.68574,1.685251,1.683137,1.681679,1.68672,1.681033,1.689017,1.687539,1.690499,1.695311,1.697821,1.697821,1.694144,1.701528,1.704927,1.704586,1.70578,1.698661,1.70578,1.699165,1.700852,1.701528,1.704927,1.700008,1.704245,1.709729,1.709212,1.713019,1.717736,1.710765,1.713888,1.688195,1.720733,1.723573,1.721619,1.717912,1.731479,1.722861,1.702715,1.702884,1.703054,1.707321,1.713192,1.724821,1.720733,1.727868,1.721796,1.721974
923.482347,1.69634,1.697119,1.695096,1.693546,1.697587,1.696028,1.692619,1.698682,1.703879,1.700407,1.700879,1.699309,1.699309,1.701352,1.708819,1.702614,1.706581,1.700407,1.703088,1.707219,1.700565,1.703879,1.703246,1.70293,1.708819,1.705149,1.701352,1.715277,1.718051,1.713978,1.713006,1.721337,1.72916,1.723321,1.728824,1.720678,1.72002,1.718051,1.725814,1.724649,1.720678,1.726648,1.724151,1.725148,1.731686,1.725148,1.733548,1.729664,1.73781,1.729328,1.715277,1.73118,1.734058,1.737468,1.739871,1.733379,1.741769,1.720184,1.721833,1.723156,1.732362,1.735248,1.736101,1.740733,1.738496,1.742634,1.741078
