Wavelength (nm),Absorbance (AU) 2024-11-19 14:51:56,Absorbance (AU) 2024-11-19 15:07:02,Absorbance (AU) 2024-11-19 15:22:08,Absorbance (AU) 2024-11-19 15:37:14,Absorbance (AU) 2024-11-19 15:52:20,Absorbance (AU) 2024-11-19 16:07:26,Absorbance (AU) 2024-11-19 16:22:32,Absorbance (AU) 2024-11-19 16:37:38,Absorbance (AU) 2024-11-19 16:52:44,Absorbance (AU) 2024-11-19 17:07:50,Absorbance (AU) 2024-11-19 17:22:56,Absorbance (AU) 2024-11-19 17:38:02,Absorbance (AU) 2024-11-19 17:53:08,Absorbance (AU) 2024-11-19 18:08:13,Absorbance (AU) 2024-11-19 18:23:19,Absorbance (AU) 2024-11-19 18:38:25,Absorbance (AU) 2024-11-19 18:53:31,Absorbance (AU) 2024-11-19 19:08:37,Absorbance (AU) 2024-11-19 19:23:43,Absorbance (AU) 2024-11-19 19:38:49,Absorbance (AU) 2024-11-19 19:53:55,Absorbance (AU) 2024-11-19 20:09:01,Absorbance (AU) 2024-11-19 20:24:07,Absorbance (AU) 2024-11-19 20:39:13,Absorbance (AU) 2024-11-19 20:54:19,Absorbance (AU) 2024-11-19 21:09:25,Absorbance (AU) 2024-11-19 21:24:31,Absorbance (AU) 2024-11-19 21:39:37,Absorbance (AU) 2024-11-19 21:54:43,Absorbance (AU) 2024-11-19 22:09:49,Absorbance (AU) 2024-11-19 22:24:55,Absorbance (AU) 2024-11-19 22:40:01,Absorbance (AU) 2024-11-19 22:55:07,Absorbance (AU) 2024-11-19 23:10:13,Absorbance (AU) 2024-11-19 23:25:19,Absorbance (AU) 2024-11-19 23:40:25,Absorbance (AU) 2024-11-19 23:55:31,Absorbance (AU) 2024-11-20 00:10:53,Absorbance (AU) 2024-11-20 00:25:59,Absorbance (AU) 2024-11-20 00:41:05,Absorbance (AU) 2024-11-20 00:56:11,Absorbance (AU) 2024-11-20 01:11:17,Absorbance (AU) 2024-11-20 01:26:23,Absorbance (AU) 2024-11-20 01:41:28,Absorbance (AU) 2024-11-20 01:56:34,Absorbance (AU) 2024-11-20 02:11:40,Absorbance (AU) 2024-11-20 02:26:46,Absorbance (AU) 2024-11-20 02:41:52,Absorbance (AU) 2024-11-20 02:56:58,Absorbance (AU) 2024-11-20 03:12:04,Absorbance (AU) 2024-11-20 03:27:10,Absorbance (AU) 2024-11-20 03:42:16,Absorbance (AU) 2024-11-20 03:57:22,Absorbance (AU) 2024-11-20 04:12:27,Absorbance (AU) 2024-11-20 04:27:34,Absorbance (AU) 2024-11-20 04:42:40,Absorbance (AU) 2024-11-20 04:57:46,Absorbance (AU) 2024-11-20 05:12:51,Absorbance (AU) 2024-11-20 05:27:57,Absorbance (AU) 2024-11-20 05:43:04,Absorbance (AU) 2024-11-20 05:58:10,Absorbance (AU) 2024-11-20 06:13:16,Absorbance (AU) 2024-11-20 06:28:22,Absorbance (AU) 2024-11-20 06:43:28,Absorbance (AU) 2024-11-20 06:58:34,Absorbance (AU) 2024-11-20 07:13:40,Absorbance (AU) 2024-11-20 07:28:46,Absorbance (AU) 2024-11-20 07:43:52,Absorbance (AU) 2024-11-20 07:58:58,Absorbance (AU) 2024-11-20 08:14:04,Absorbance (AU) 2024-11-20 08:29:10,Absorbance (AU) 2024-11-20 08:44:15,Absorbance (AU) 2024-11-20 08:59:21,Absorbance (AU) 2024-11-20 09:14:27,Absorbance (AU) 2024-11-20 09:29:33,Absorbance (AU) 2024-11-20 09:44:39,Absorbance (AU) 2024-11-20 09:59:45,Absorbance (AU) 2024-11-20 10:14:51,Absorbance (AU) 2024-11-20 10:29:57,Absorbance (AU) 2024-11-20 10:45:03,Absorbance (AU) 2024-11-20 11:00:09,Absorbance (AU) 2024-11-20 11:15:15,Absorbance (AU) 2024-11-20 11:30:21,Absorbance (AU) 2024-11-20 11:45:27,Absorbance (AU) 2024-11-20 12:00:33,Absorbance (AU) 2024-11-20 12:15:39,Absorbance (AU) 2024-11-20 12:30:45,Absorbance (AU) 2024-11-20 12:45:51,Absorbance (AU) 2024-11-20 13:00:57,Absorbance (AU) 2024-11-20 13:16:03,Absorbance (AU) 2024-11-20 13:31:09,Absorbance (AU) 2024-11-20 13:46:15,Absorbance (AU) 2024-11-20 14:01:21,Absorbance (AU) 2024-11-20 14:16:27,Absorbance (AU) 2024-11-20 14:31:33,Absorbance (AU) 2024-11-20 14:46:39,Absorbance (AU) 2024-11-20 15:01:45,Absorbance (AU) 2024-11-20 15:16:54
933.620239,0.15472333270793337,0.1497171268166664,0.15242047799795072,0.15566955072233687,0.15556401449003457,0.16000736047568884,0.15661757277489946,0.1491993678650292,0.19202903779820743,0.2082951478589676,0.21010459813245974,0.21143688031289237,0.21155775086954645,0.21484831647158997,0.22138885681709947,0.22039483179148198,0.22201124998195956,0.22829381287072986,0.2274080301346534,0.22981642107693856,0.2319839729249954,0.23007079045735981,0.23007079045735981,0.23352101343647624,0.2330077645802364,0.24419009510889172,0.24366331596645938,0.24064516012642698,0.23545133426662246,0.24195398981079255,0.2481670972304407,0.24366331596645938,0.2460410382600412,0.24750140714976399,0.24896718815396376,0.249635584291879,0.24630623186941644,0.24723531152130931,0.24590844145535368,0.2520502893677208,0.24300484203841874,0.2520502893677208,0.2471027147166216,0.24830059605420765,0.2558369654634935,0.2481670972304407,0.2529938013248856,0.2535341107535106,0.2529938013248856,0.25610847320642516,0.25610847320642516,0.2566532927304478,0.2547509344917664,0.2546156316298402,0.26103439939961615,0.259111294722106,0.2565170878494421,0.26172354197635994,0.2578800386785781,0.25774383379757243,0.2640760077357156,0.2613104172379454,0.25815335045966886,0.25829045735975414,0.25719811225447037,0.2670003535914791,0.26007194504178144,0.26103439939961615,0.26296742628700087,0.2637981858592273,0.2681206612882275,0.2670003535914791,0.2667216296959114,0.2635212660018184,0.2684011892219545,0.2640760077357156,0.2637981858592273,0.266442003781264,0.26896314710848757,0.2665818167385876,0.26896314710848757,0.2682613762646307,0.2764814761361831,0.2724918457475213,0.2774854233716752,0.27734200233803347,0.27777316745803804,0.2779165884916798,0.2954085424814906,0.29631146358007754,0.2915199382297333,0.2934592792506747,0.2961608263937999,0.2937587495850712,0.2954085424814906,0.2967642771579903,0.29405821991946773,0.5365831878075884
936.150109,0.18220965809868808,0.17813433589747285,0.18091796677683333,0.18081062650637195,0.18654566381388096,0.18949977629926837,0.1842635555427269,0.17378479989608747,0.22295746799636307,0.23387280087748408,0.23362745168785817,0.2400714759918601,0.24257908903289113,0.2445960036946702,0.2476421221261672,0.24789649150658824,0.24738685072666652,0.25836081484795576,0.2582300220814271,0.25744526548225555,0.2544523661764493,0.257576058248784,0.25940986303742286,0.25836081484795576,0.2582300220814271,0.26244064714456833,0.2687087777280665,0.2660297810619291,0.27317106611439046,0.2691128822756859,0.2704604987804701,0.26924728311853247,0.26924728311853247,0.2691128822756859,0.27398739338134476,0.2719488302616577,0.2746693198054525,0.28238879908787834,0.2763109945301562,0.27480552468645814,0.27562636204880997,0.27837210812683105,0.2775458586500022,0.27713363593066714,0.2786481259651603,0.27906125070357485,0.279200161641819,0.27947617948014847,0.2819711642540662,0.28238879908787834,0.27989110825672187,0.28085987674811297,0.28266752298344605,0.27989110825672187,0.2830851578172582,0.2828064339216902,0.28224898613055455,0.28378332058479705,0.2882798856961423,0.28672841287938916,0.2888454516589935,0.2905475616620243,0.2884206006725453,0.2871505578085988,0.289553536636407,0.290405042647462,0.2929712869286612,0.2882798856961423,0.2919709477694873,0.29960563725843936,0.2902634256519793,0.2949782793805655,0.29068917865750693,0.29656312690326025,0.2929712869286612,0.293257226976865,0.2929712869286612,0.2958424136587337,0.2949782793805655,0.29786474043498956,0.29627448079781776,0.2964188038505391,0.2994604121866386,0.3031126874395647,0.30546876127523853,0.2958424136587337,0.3023793459279251,0.3013555542726839,0.3211341266290464,0.31898822323889797,0.32795519490828273,0.31655096768606855,0.3171589285456565,0.31975313541832034,0.3212874698725627,0.3163985264616317,0.3185299975465082,0.5429415202990372
938.678137,0.20681222849225697,0.20615014648789862,0.20570905915801924,0.20980602981714266,0.2101406788956401,0.2151865736264053,0.21002882852978114,0.20449945157239977,0.2499810575993304,0.26060864639408854,0.26545429288920314,0.263278622869431,0.265967541745443,0.2668677567867916,0.26880439175049425,0.27440953831055426,0.2766474476468127,0.2774403224176997,0.28708380839671516,0.2847854637821298,0.2885784540114592,0.2841116555297378,0.2876268238825787,0.29268354284229814,0.2910364560031174,0.2972486614036859,0.29516680136818246,0.2957206410830002,0.2972486614036859,0.2954437212255913,0.2983635569859573,0.30158647115703785,0.2973884743610097,0.30116522824690783,0.2959984629594885,0.2985033699432811,0.30172718613344107,0.30172718613344107,0.3055463349160762,0.29906262177257564,0.3055463349160762,0.30469482890502103,0.30825690224999636,0.30526219890603123,0.30441159491405567,0.3006032703603746,0.3086862633318419,0.30754160111994683,0.3102656987400597,0.3039858419085281,0.3114184791236705,0.3045532119095383,0.3058313729452006,0.310122277706418,0.30954678953369225,0.311129833018228,0.31811236271269605,0.31344351195716486,0.3178192065118562,0.3213551213035258,0.3096911125864134,0.31127415607094916,0.3141696373161686,0.31504188976605235,0.31489666469425154,0.31156280217639165,0.31693973790933616,0.3117071252291128,0.3252220770973747,0.32239244324495947,0.3157707211822944,0.3173790212010565,0.3197305849413327,0.31533324192873313,0.3215030524325651,0.317086767019296,0.3225403743739988,0.3186995771334555,0.3244752052995424,0.3212071901744865,0.3235813043917504,0.3264190564158813,0.32507234193017653,0.3241766369842255,0.31664748372757573,0.3253709102454934,0.32988280968119044,0.33185372136991437,0.3449934333011011,0.34405082336301573,0.3468840652917491,0.3481495980602982,0.34420777468284997,0.3489433748502649,0.34625265193609367,0.3432678708020031,0.3478329893633909,0.5422857524282353
941.204324,0.23234478055679839,0.22644196770050076,0.23337578836467543,0.23245933697989585,0.23845415578230308,0.23973412085612436,0.23938503947235482,0.23120282440214182,0.2712750220092655,0.29162818051927436,0.2896374244108011,0.29029950641515967,0.2910959892623648,0.28910793921113026,0.29496925918977035,0.296717372165856,0.30023795263317404,0.2988804139185153,0.3077914604049705,0.3066837809753352,0.3090416588491679,0.31239446376769753,0.3167683542842298,0.3132378516070372,0.3159186523113337,0.31733662630431947,0.31492823536203435,0.32219760712378587,0.315777035315851,0.322917418349233,0.32262967426286987,0.32162302097013956,0.3246510990200465,0.32061817171556806,0.3247963240918471,0.32799488374778096,0.3258110955562932,0.3278487566569008,0.32552064541269177,0.33387965622248833,0.32205418609014413,0.3291648024939024,0.3268285730779777,0.3247963240918471,0.3309264457561806,0.3261015456998945,0.3303383293163417,0.33447228275772495,0.3319574535640578,0.3285793921113019,0.3312205039761001,0.332400344932096,0.33313909855821267,0.3312205039761001,0.3321044826740175,0.3379017592980126,0.33835096479960747,0.33313909855821267,0.3353643796273578,0.3406069145174558,0.33940181702723365,0.33491788018300167,0.3374525537964179,0.33940181702723365,0.342117796475631,0.34576736567131866,0.3454615812033655,0.34302703170777454,0.34090818889001134,0.3446993750811816,0.3391014446737577,0.34121036528164633,0.34424205140787145,0.3460731501392718,0.3439380709780774,0.3428745904833379,0.3491427210668359,0.34348164932384645,0.3443944926323081,0.3450042575300553,0.34837329879201595,0.34806571028590394,0.34821905352942023,0.3533262855575921,0.34898847580424014,0.356768390364993,0.3547307292643854,0.35146181212024996,0.3711718310265699,0.37068293668547675,0.3718248928401333,0.36631175222618295,0.3647043542265005,0.36889603688897227,0.38040940841980686,0.3752688016856931,0.3655071512072623,0.5547381258208373
943.72867,0.2530821991946773,0.25437749859285014,0.25674439665747817,0.25960379713951703,0.26599370029874875,0.2627256851736927,0.2620031678910073,0.2503860641660292,0.2985466668590975,0.30507277489933465,0.31845964005830657,0.32013108141263397,0.30898663568531803,0.3166574059374503,0.3185985509965507,0.32476385140498487,0.3251878003723534,0.32476385140498487,0.3283105904256087,0.3256117493397219,0.33361897270851065,0.33332942458398873,0.32575336633520463,0.33564580958016427,0.3349205862402402,0.3349205862402402,0.3428258814530445,0.33564580958016427,0.3440111345235175,0.3472881698393685,0.3472881698393685,0.3463915628743378,0.34356643911732015,0.35240712811557384,0.34475349622595225,0.34609299455902093,0.34624272972621906,0.3502909913550491,0.35210404970485937,0.3501403541687713,0.34475349622595225,0.35149879490250974,0.34654039602245673,0.349388070256462,0.35149879490250974,0.3527102065262885,0.35575542293870605,0.3540776674508218,0.35453408910505274,0.3540776674508218,0.35362124579659104,0.35606120740665903,0.3527102065262885,0.35560207969518975,0.35820801281588704,0.35805466957237075,0.3606768390364993,0.3630058522997879,0.364097295385992,0.36316099958146303,0.3591325823723824,0.3588240918471907,0.36581834778969247,0.36503449320960035,0.3623834591349276,0.3639412460852372,0.36253860641660296,0.3622274098341728,0.36176196798914695,0.3662892017491953,0.3673896650261946,0.3655044451500238,0.3597495634227655,0.3628498029990329,0.36052259377390355,0.3628498029990329,0.3662892017491953,0.37102750797384854,0.37070999725786197,0.3735793199497756,0.3655044451500238,0.3730994457994774,0.37007587784496826,0.37007587784496826,0.3745399702694511,0.37007587784496826,0.37711433272236583,0.3772757941375976,0.3854336546926641,0.39562196019570195,0.39258847003131797,0.3924197924634501,0.390912518581593,0.3976578172581507,0.38758316615913047,0.38675511264414253,0.3912471676600902,0.5570914935992727
946.251174,0.2730078006609996,0.2704749310857422,0.2734912828876156,0.28442375413124743,0.28504704931518715,0.27714265612146227,0.2792263201951248,0.2717990950944594,0.31754860078800373,0.32232118373767843,0.3267365671318679,0.33218656641025274,0.33120336561358943,0.33657308519389806,0.34506018271298483,0.3421628974296065,0.3438983821385789,0.3504777093045072,0.3468091977081499,0.3460794642728282,0.34885948707587056,0.34695532479903013,0.3501827490655083,0.35882228780903164,0.3577696315432464,0.3594248365541428,0.3585210134364761,0.3589729249953095,0.3595763757595,0.3604829049344051,0.35716888683629433,0.36230137539869234,0.36966455714471275,0.35882228780903164,0.36642630864928044,0.37028424425233436,0.3671948289050209,0.3613912381474692,0.3651995627011503,0.3676566626737289,0.3733980141147945,0.3659653768996521,0.3668872403989089,0.3718384231263258,0.3685821342493036,0.37090483337903557,0.3735549654346289,0.36842788898670786,0.37843308461660574,0.37433701597656194,0.37433701597656194,0.37028424425233436,0.36997394968898384,0.37433701597656194,0.37449396729639617,0.3730859155132849,0.3735549654346289,0.37606438251381885,0.3781164759196986,0.37827432925861243,0.38033724689344617,0.3746509186162306,0.3723056690095108,0.37779986722279146,0.3781164759196986,0.37859093795551957,0.3833725410959892,0.3809740723635786,0.3814530444947972,0.38209167400308847,0.3862698263793675,0.38353310049214157,0.3883751389109382,0.38289176492661176,0.3833725410959892,0.3809740723635786,0.38724039890891776,0.3891878581015746,0.38643128779459934,0.385140498491824,0.384175338076751,0.39624976547503926,0.3931134451355915,0.39492650348540176,0.3886998657795609,0.38902549466726316,0.3895134869892767,0.3909828760697946,0.4081952041449581,0.4194605204289281,0.41231743133830767,0.41145510109829847,0.4164829554474736,0.4076828573077977,0.40581116771781944,0.41214514569412164,0.40939308548254416,0.5621094257385733
948.771837,0.2850317149908354,0.28259445943800593,0.2857659585215546,0.2936856860396311,0.2921883343676485,0.2914423645888959,0.2920638557346765,0.2828371025703936,0.33007403772604593,0.3417687150918617,0.3441780080532263,0.34261751504567817,0.3497633101935371,0.35382329807040075,0.34660263533894264,0.3558690773427239,0.3551366378501637,0.3558690773427239,0.362368124810576,0.3595484131680352,0.3567485459452437,0.3610304305156662,0.3644590050368744,0.3714090620444803,0.3683719638037784,0.36943273824127915,0.3750847897934737,0.37724422346981484,0.3775536160140859,0.3723246114101805,0.37972748199569917,0.38269692880543815,0.378639646985813,0.3770899782072191,0.37770876329576125,0.37972748199569917,0.38003958059720877,0.38160097562383627,0.38003958059720877,0.3760084573308894,0.38505751273650934,0.3775536160140859,0.37988353129645397,0.3885456205169652,0.38238392818484895,0.3844270013999335,0.38160097562383627,0.38790879504683273,0.3819139762444255,0.3791050888308389,0.38759128433084616,0.3911019425882896,0.38806845242390564,0.3914221593615147,0.39206439694612416,0.38790879504683273,0.396265099799391,0.390141292268614,0.39254697715366066,0.38663875218288624,0.38743252897285285,0.3961027363650796,0.3863221434859791,0.39642746323370226,0.39480563292874765,0.39805560767221343,0.40034673613416266,0.38966141811831595,0.39206439694612416,0.4000184011892219,0.3998542337167516,0.39496799636305907,0.39952680079089026,0.39805560767221343,0.396265099799391,0.3969145535366363,0.40397375485286263,0.3978923422188226,0.40034673613416266,0.4043047958550419,0.40265049286322496,0.4038077833422333,0.40116757349651455,0.40364271385068334,0.41082458976172265,0.40730040121808647,0.4089745486296526,0.4074672747477955,0.42176337513891093,0.4285826393799882,0.43106048579139533,0.42245792983013175,0.4275263750378848,0.42875943511957154,0.4210715265049287,0.42211065248452123,0.4298193075379931,0.5560785261729855
951.290658,0.2919177286437963,0.2995578302472254,0.30205461905930225,0.2981921733608509,0.29633581809522425,0.3044413615436794,0.30532443822251715,0.29240662298488945,0.3368707514901355,0.3483994573453217,0.3543645095181053,0.3546513515853887,0.35393605045533916,0.3576704094445005,0.36129562412504146,0.36569116309948196,0.3633405013782851,0.36260896390480457,0.36954007851174053,0.36968891165985945,0.3752354269797515,0.3793323976388749,0.3731274083909423,0.3831650767077025,0.3813204476901095,0.3758397797630215,0.3854823637229575,0.38070797673512397,0.38208806592677036,0.3785701915166908,0.3830108314451066,0.3914158452279583,0.3898454300105356,0.3854823637229575,0.3881261816449942,0.39267596588203024,0.3922033078843683,0.3912579918890444,0.3887503788480134,0.3945747160443937,0.3909440892493758,0.3912579918890444,0.3948922267603805,0.3878140830434844,0.38906247744952294,0.393466134595679,0.3912579918890444,0.38906247744952294,0.3898454300105356,0.3898454300105356,0.3964824863975523,0.3955281502114333,0.3977597454141349,0.39173064988670636,0.39600531830449276,0.39920117190318793,0.3953684928343603,0.4033964626419778,0.3937827432925861,0.3972807732829165,0.4022626246590368,0.4012938561676456,0.40210116324380496,0.4012938561676456,0.40469627213554826,0.4038835529449119,0.4001654302991817,0.40307263779243463,0.40616385717790693,0.39936173129934033,0.4022626246590368,0.3987203957338105,0.4066545555571591,0.4042082798135346,0.4009709333371818,0.4110960975046543,0.40928033309760553,0.4110960975046543,0.4086218591695651,0.4073094214088816,0.4144182337744808,0.4142513602447718,0.4078010218072133,0.415755026050311,0.41592280159909945,0.4142513602447718,0.41609057714788783,0.4170972304406182,0.4295559179667767,0.43549661562441355,0.4381467476800069,0.4318163777800228,0.44081492011719026,0.4312941087329878,0.4377922541817603,0.43549661562441355,0.4356725093449177,0.5617477160876906
953.807639,0.3022214925890112,0.29891559266261597,0.3038234784742167,0.309043462887327,0.30543177849297876,0.31344712003348296,0.312309673974224,0.29879382008688243,0.34629324279467155,0.3593030639784093,0.360157276046703,0.36359396873962674,0.3598722380175784,0.36474584710415786,0.36273163849961754,0.36648042979405104,0.37349723621354036,0.3733502071035805,0.37645856485156365,0.3772018285730778,0.38094250169579585,0.3770529954249591,0.38184542279438294,0.3899130814414985,0.3870013638528483,0.392691300206382,0.3899130814414985,0.3800413846353678,0.3922267603804356,0.39129948476670173,0.397994270374807,0.38715470709636435,0.3892988064483539,0.3897597381979822,0.3956454126917692,0.3899130814414985,0.3950221175078295,0.3987799289930579,0.39956739164946814,0.3899130814414985,0.4003557563249578,0.4022563105254801,0.4043255422938705,0.39846512433430986,0.4025738212414669,0.4008302183607788,0.3976803677351383,0.4076909754795134,0.40640469627213544,0.39689651315504626,0.4014634357545931,0.4112476367100116,0.4089799607441296,0.40512382917923473,0.4032097446925197,0.4056037033295327,0.40801299629089754,0.41303814458283417,0.4083350171022817,0.4084964785175135,0.41011199468891163,0.4078515348756657,0.40544404595246003,0.4089799607441296,0.41011199468891163,0.4078515348756657,0.40368781480465865,0.4083350171022817,0.41059818297276623,0.4141819047756498,0.4056037033295327,0.4084964785175135,0.41271161367605247,0.41303814458283417,0.42530199598781904,0.4133646754896159,0.4176330297738457,0.4196192757869214,0.41352794094300677,0.42278446073691345,0.41862525076130414,0.42028406384851846,0.4242926366378502,0.41697365382672563,0.42144857048016265,0.4204500353591478,0.4254697715366075,0.4221160645989984,0.43346707269552165,0.43518992913738114,0.4384841028157428,0.4379618337687078,0.4402286077155103,0.43987862431266134,0.4428606993895134,0.4360540634155492,0.44075358281978383,0.5614112629710342
