Wavelength (nm),Absorbance (AU) 2024-10-02 00:02:13,Absorbance (AU) 2024-10-02 00:17:23,Absorbance (AU) 2024-10-02 00:32:34,Absorbance (AU) 2024-10-02 00:47:45,Absorbance (AU) 2024-10-02 01:02:56,Absorbance (AU) 2024-10-02 01:18:07,Absorbance (AU) 2024-10-02 01:33:19,Absorbance (AU) 2024-10-02 01:48:30,Absorbance (AU) 2024-10-02 02:03:42,Absorbance (AU) 2024-10-02 02:18:54,Absorbance (AU) 2024-10-02 02:34:06,Absorbance (AU) 2024-10-02 02:49:18,Absorbance (AU) 2024-10-02 03:04:30,Absorbance (AU) 2024-10-02 03:19:42,Absorbance (AU) 2024-10-02 03:34:55,Absorbance (AU) 2024-10-02 03:50:07,Absorbance (AU) 2024-10-02 04:05:20,Absorbance (AU) 2024-10-02 04:20:32,Absorbance (AU) 2024-10-02 04:35:45,Absorbance (AU) 2024-10-02 04:50:58,Absorbance (AU) 2024-10-02 05:06:11,Absorbance (AU) 2024-10-02 05:21:24,Absorbance (AU) 2024-10-02 05:36:37,Absorbance (AU) 2024-10-02 05:51:51,Absorbance (AU) 2024-10-02 06:07:04,Absorbance (AU) 2024-10-02 06:22:18,Absorbance (AU) 2024-10-02 06:37:32,Absorbance (AU) 2024-10-02 06:52:45,Absorbance (AU) 2024-10-02 07:07:59,Absorbance (AU) 2024-10-02 07:23:14,Absorbance (AU) 2024-10-02 07:38:28,Absorbance (AU) 2024-10-02 07:53:42,Absorbance (AU) 2024-10-02 08:08:57,Absorbance (AU) 2024-10-02 08:24:12,Absorbance (AU) 2024-10-02 08:39:26,Absorbance (AU) 2024-10-02 08:54:41,Absorbance (AU) 2024-10-02 09:09:56,Absorbance (AU) 2024-10-02 09:25:11,Absorbance (AU) 2024-10-02 09:40:26,Absorbance (AU) 2024-10-02 09:55:41,Absorbance (AU) 2024-10-02 10:10:57,Absorbance (AU) 2024-10-02 10:26:12,Absorbance (AU) 2024-10-02 10:41:28,Absorbance (AU) 2024-10-02 10:56:43,Absorbance (AU) 2024-10-02 11:11:59,Absorbance (AU) 2024-10-02 11:27:15,Absorbance (AU) 2024-10-02 11:42:31,Absorbance (AU) 2024-10-02 11:57:47,Absorbance (AU) 2024-10-02 12:13:03,Absorbance (AU) 2024-10-02 12:28:19,Absorbance (AU) 2024-10-02 12:43:36,Absorbance (AU) 2024-10-02 12:58:52,Absorbance (AU) 2024-10-02 13:14:09,Absorbance (AU) 2024-10-02 13:29:26,Absorbance (AU) 2024-10-02 13:44:43,Absorbance (AU) 2024-10-02 14:00:00,Absorbance (AU) 2024-10-02 14:15:18,Absorbance (AU) 2024-10-02 14:30:36,Absorbance (AU) 2024-10-02 14:45:53,Absorbance (AU) 2024-10-02 15:01:11,Absorbance (AU) 2024-10-02 15:16:29,Absorbance (AU) 2024-10-02 15:31:47,Absorbance (AU) 2024-10-02 15:47:05
901.841506,1.700647,1.706616,1.706616,1.712162,1.703124,1.702131,1.718036,1.708373,1.706116,1.707871,1.714196,1.705366,1.708122,1.706616,1.717522,1.711655,1.719323,1.718036,1.70938,1.714451,1.711908,1.710137,1.716752,1.71855,1.707871,1.700647,1.714451,1.721132,1.702876,1.719066,1.713432,1.712923,1.712415,1.710642,1.712669,1.720098,1.721651,1.708625,1.713178,1.709885,1.704119,1.706616,1.711655,1.706867,1.711148,1.711401,1.702131,1.706616,1.705616,1.712162,1.736419,1.757581,1.747283,1.730292,1.731352,1.731882,1.717009,1.72217,1.73615,1.731617,1.733212,1.733478,1.740732
904.394392,1.691719,1.694271,1.701784,1.700129,1.69567,1.701547,1.703682,1.696605,1.696839,1.699658,1.703207,1.714763,1.701074,1.702257,1.70202,1.705828,1.703682,1.715007,1.712573,1.707264,1.70131,1.718684,1.715007,1.719177,1.696371,1.707025,1.706067,1.703682,1.70131,1.705828,1.707744,1.713545,1.711845,1.71136,1.707744,1.713301,1.707504,1.715985,1.723139,1.710635,1.701784,1.706546,1.707744,1.70991,1.702257,1.704635,1.696371,1.710152,1.710635,1.701784,1.73016,1.744813,1.742987,1.734479,1.728142,1.724883,1.716719,1.722145,1.723139,1.712573,1.727639,1.728646,1.720411
905.670145,1.689635,1.694621,1.698975,1.702443,1.699435,1.697136,1.692574,1.698975,1.697595,1.703837,1.708991,1.706172,1.699205,1.708755,1.704537,1.698975,1.701747,1.701052,1.70407,1.702443,1.709463,1.705471,1.71088,1.697136,1.701979,1.705938,1.714684,1.703605,1.702907,1.716118,1.702443,1.707814,1.705471,1.719727,1.712778,1.70407,1.713968,1.71373,1.714445,1.693256,1.706641,1.709698,1.70221,1.70221,1.704303,1.706641,1.701515,1.701515,1.700128,1.693483,1.728018,1.747659,1.743302,1.733718,1.730487,1.714922,1.705237,1.708755,1.7154,1.712065,1.718521,1.725073,1.720936
908.220269,1.6977,1.697919,1.691815,1.691382,1.693767,1.692248,1.695292,1.695074,1.696823,1.693116,1.705449,1.698578,1.687935,1.692248,1.692898,1.692248,1.696166,1.701004,1.696823,1.705226,1.704334,1.698578,1.70724,1.697042,1.6977,1.688579,1.696823,1.705673,1.69442,1.708588,1.705896,1.699239,1.707465,1.713567,1.70478,1.703221,1.711523,1.710166,1.704334,1.690086,1.702333,1.697042,1.693985,1.692681,1.691166,1.698139,1.698359,1.698139,1.691598,1.689009,1.7251,1.738391,1.736707,1.719295,1.720913,1.704334,1.705003,1.715392,1.720219,1.705226,1.711297,1.724166,1.718144
910.768552,1.678103,1.682528,1.693793,1.687408,1.69255,1.684758,1.686795,1.69193,1.686183,1.679707,1.697963,1.689869,1.688432,1.688022,1.687613,1.690898,1.694416,1.688227,1.694624,1.689663,1.687817,1.700485,1.699012,1.697963,1.691104,1.69028,1.696917,1.688842,1.694001,1.69629,1.689047,1.698802,1.701751,1.698382,1.697754,1.696708,1.696082,1.703445,1.702597,1.692136,1.69131,1.692964,1.692964,1.696917,1.697544,1.692136,1.69255,1.687613,1.691723,1.688637,1.710287,1.733302,1.727209,1.72386,1.717021,1.708138,1.704294,1.699012,1.700274,1.694209,1.70728,1.71375,1.710935
913.314994,1.681473,1.680897,1.676886,1.680897,1.688447,1.687862,1.681473,1.683786,1.686888,1.683592,1.695336,1.685528,1.680897,1.684172,1.685722,1.68611,1.689229,1.691976,1.695733,1.685916,1.688838,1.690208,1.692567,1.688447,1.691583,1.685722,1.684946,1.686888,1.684753,1.69119,1.687667,1.693949,1.691386,1.6906,1.697723,1.699122,1.687472,1.682243,1.692765,1.687472,1.688447,1.684946,1.686888,1.686304,1.692962,1.683013,1.681666,1.692567,1.683592,1.686888,1.712949,1.729801,1.728514,1.711299,1.705371,1.696926,1.703952,1.699723,1.698722,1.701732,1.703143,1.719192,1.719402
915.859594,1.674617,1.683467,1.682374,1.683285,1.676408,1.682374,1.687316,1.691014,1.685296,1.682738,1.691571,1.68658,1.686213,1.682192,1.689346,1.68438,1.693061,1.698316,1.686764,1.69662,1.696244,1.692875,1.703445,1.689531,1.692315,1.685479,1.688976,1.690272,1.686948,1.689531,1.694931,1.692129,1.691571,1.695493,1.696432,1.704018,1.690828,1.689531,1.695681,1.695493,1.681646,1.685479,1.688053,1.68658,1.691943,1.692875,1.6875,1.689716,1.694743,1.685296,1.716439,1.724987,1.720593,1.72099,1.708055,1.700209,1.695493,1.695305,1.706705,1.705168,1.701728,1.711739,1.716635
918.402353,1.678571,1.681477,1.694359,1.692596,1.694536,1.692068,1.687001,1.694889,1.686827,1.693829,1.701664,1.699871,1.68354,1.692596,1.690839,1.694006,1.68944,1.693124,1.696129,1.694006,1.693476,1.694359,1.69862,1.69862,1.692772,1.692596,1.69542,1.697551,1.697373,1.694006,1.695243,1.701484,1.702744,1.700946,1.70491,1.706361,1.699156,1.702744,1.696307,1.688567,1.697551,1.695243,1.697729,1.691015,1.702203,1.70005,1.693829,1.696129,1.689265,1.694006,1.718892,1.739567,1.735081,1.732565,1.717212,1.70946,1.710192,1.707634,1.707817,1.705273,1.716096,1.717771,1.717026
920.943271,1.696146,1.69715,1.703054,1.700514,1.701698,1.700514,1.696648,1.699334,1.70715,1.712324,1.701698,1.70715,1.697653,1.704245,1.696815,1.702545,1.703394,1.705268,1.703734,1.702545,1.709902,1.710765,1.711977,1.70578,1.698829,1.709729,1.698997,1.696313,1.698829,1.707836,1.698997,1.706122,1.70715,1.711457,1.711284,1.709212,1.709557,1.707321,1.712151,1.700345,1.706636,1.697653,1.705097,1.708524,1.707836,1.698829,1.700683,1.695979,1.701698,1.710765,1.729309,1.741013,1.734938,1.732933,1.732205,1.721087,1.709557,1.710074,1.717385,1.714411,1.72038,1.723217,1.72697
923.482347,1.70914,1.717724,1.713168,1.721998,1.714302,1.718051,1.717724,1.723487,1.712036,1.71756,1.732024,1.73287,1.721833,1.714789,1.718706,1.71544,1.71887,1.722659,1.725148,1.724317,1.725647,1.721337,1.722494,1.732701,1.721008,1.720349,1.721173,1.718706,1.718706,1.729496,1.724151,1.725814,1.728153,1.731011,1.727149,1.73118,1.728153,1.725647,1.729664,1.724151,1.720184,1.720678,1.722824,1.721337,1.722659,1.716254,1.719527,1.72002,1.721833,1.718051,1.748916,1.762846,1.764118,1.757256,1.739355,1.740043,1.73287,1.726815,1.736784,1.734908,1.74125,1.747337,1.739355
