Wavelength (nm),Absorbance (AU) 2024-10-30 00:01:11,Absorbance (AU) 2024-10-30 00:17:21,Absorbance (AU) 2024-10-30 00:32:27,Absorbance (AU) 2024-10-30 00:47:33,Absorbance (AU) 2024-10-30 01:02:39,Absorbance (AU) 2024-10-30 01:17:45,Absorbance (AU) 2024-10-30 01:32:52,Absorbance (AU) 2024-10-30 01:47:57,Absorbance (AU) 2024-10-30 02:03:03,Absorbance (AU) 2024-10-30 02:18:09,Absorbance (AU) 2024-10-30 02:33:15,Absorbance (AU) 2024-10-30 02:48:21,Absorbance (AU) 2024-10-30 03:03:27,Absorbance (AU) 2024-10-30 03:18:33,Absorbance (AU) 2024-10-30 03:33:39,Absorbance (AU) 2024-10-30 03:48:45,Absorbance (AU) 2024-10-30 04:03:51,Absorbance (AU) 2024-10-30 04:18:57,Absorbance (AU) 2024-10-30 04:34:03,Absorbance (AU) 2024-10-30 04:49:09,Absorbance (AU) 2024-10-30 05:04:15,Absorbance (AU) 2024-10-30 05:19:21,Absorbance (AU) 2024-10-30 05:34:27,Absorbance (AU) 2024-10-30 05:49:33,Absorbance (AU) 2024-10-30 06:04:39,Absorbance (AU) 2024-10-30 06:19:45,Absorbance (AU) 2024-10-30 06:34:51,Absorbance (AU) 2024-10-30 06:49:57,Absorbance (AU) 2024-10-30 07:05:03,Absorbance (AU) 2024-10-30 07:20:09,Absorbance (AU) 2024-10-30 07:35:15,Absorbance (AU) 2024-10-30 07:50:21,Absorbance (AU) 2024-10-30 08:05:27,Absorbance (AU) 2024-10-30 08:20:33,Absorbance (AU) 2024-10-30 08:35:39,Absorbance (AU) 2024-10-30 08:50:45,Absorbance (AU) 2024-10-30 09:05:51,Absorbance (AU) 2024-10-30 09:20:57,Absorbance (AU) 2024-10-30 09:36:03,Absorbance (AU) 2024-10-30 09:51:09,Absorbance (AU) 2024-10-30 10:06:15,Absorbance (AU) 2024-10-30 10:21:21,Absorbance (AU) 2024-10-30 10:36:27,Absorbance (AU) 2024-10-30 10:51:33,Absorbance (AU) 2024-10-30 11:06:39,Absorbance (AU) 2024-10-30 11:21:45,Absorbance (AU) 2024-10-30 11:36:51,Absorbance (AU) 2024-10-30 11:51:57,Absorbance (AU) 2024-10-30 12:07:03,Absorbance (AU) 2024-10-30 12:22:09,Absorbance (AU) 2024-10-30 12:37:15,Absorbance (AU) 2024-10-30 12:52:21,Absorbance (AU) 2024-10-30 13:07:27,Absorbance (AU) 2024-10-30 13:22:33,Absorbance (AU) 2024-10-30 13:37:39,Absorbance (AU) 2024-10-30 13:52:45,Absorbance (AU) 2024-10-30 14:07:51,Absorbance (AU) 2024-10-30 14:22:57,Absorbance (AU) 2024-10-30 14:38:03,Absorbance (AU) 2024-10-30 14:53:09,Absorbance (AU) 2024-10-30 15:08:15,Absorbance (AU) 2024-10-30 15:23:21,Absorbance (AU) 2024-10-30 15:38:27,Absorbance (AU) 2024-10-30 15:53:33,Absorbance (AU) 2024-10-30 16:08:38,Absorbance (AU) 2024-10-30 16:23:45,Absorbance (AU) 2024-10-30 16:38:50,Absorbance (AU) 2024-10-30 16:53:57,Absorbance (AU) 2024-10-30 17:09:03
901.841506,1.699413,1.693298,1.697202,1.694271,1.707871,1.707118,1.713432,1.709885,1.705616,1.712669,1.706116,1.709128,1.720615,1.708373,1.716752,1.725034,1.728708,1.722689,1.713432,1.714961,1.72217,1.71984,1.724251,1.722689,1.716496,1.720356,1.733478,1.722689,1.732148,1.730028,1.733744,1.719323,1.718808,1.717009,1.71855,1.728445,1.735615,1.724512,1.730028,1.718293,1.728182,1.724251,1.721132,1.723209,1.733478,1.722949,1.736419,1.728708,1.720615,1.722429,1.724773,1.732945,1.736687,1.729236,1.733478,1.731617,1.71984,1.726605,1.728445,1.730822,1.722429,1.73965,1.715984,1.72191,1.720615,1.720098,1.727393,1.720874,1.723991
904.394392,1.695903,1.699658,1.698951,1.70131,1.689641,1.702257,1.694271,1.708946,1.699658,1.706785,1.703207,1.714519,1.70991,1.702495,1.714519,1.710877,1.703682,1.708465,1.714519,1.714763,1.713545,1.71721,1.706785,1.711118,1.712573,1.715251,1.71233,1.719424,1.719177,1.714763,1.716474,1.720164,1.727137,1.710152,1.710635,1.718438,1.718684,1.72915,1.720164,1.722393,1.727891,1.723636,1.72289,1.728394,1.729907,1.720906,1.727639,1.727137,1.729654,1.725383,1.717455,1.720906,1.723636,1.717455,1.721401,1.727639,1.718438,1.710877,1.730919,1.713545,1.726886,1.716964,1.727137,1.728898,1.719177,1.730919,1.710877,1.710635,1.714032
905.670145,1.694621,1.69371,1.699666,1.697366,1.694849,1.695763,1.697825,1.707579,1.696907,1.705003,1.701283,1.697825,1.708755,1.708755,1.709227,1.705938,1.719485,1.701979,1.71373,1.709698,1.721906,1.713016,1.706407,1.697825,1.715161,1.708285,1.723852,1.716118,1.719968,1.722149,1.721906,1.713016,1.712065,1.722878,1.712303,1.7154,1.71088,1.728264,1.719485,1.71828,1.719485,1.727772,1.72021,1.720452,1.719244,1.72925,1.730734,1.711591,1.72851,1.734716,1.72728,1.725563,1.715879,1.721178,1.729992,1.723121,1.721421,1.730487,1.722149,1.719485,1.716838,1.724585,1.717318,1.721906,1.714445,1.717078,1.711828,1.726788,1.719003
908.220269,1.687935,1.687506,1.691166,1.689009,1.686436,1.695292,1.688364,1.691815,1.697042,1.702999,1.68987,1.692681,1.701889,1.69442,1.690949,1.701004,1.707465,1.701889,1.70478,1.705673,1.70478,1.71175,1.705003,1.71175,1.711977,1.708138,1.709038,1.707689,1.70012,1.71334,1.706568,1.72045,1.710844,1.711297,1.704111,1.70994,1.717454,1.709038,1.696166,1.724166,1.712431,1.715392,1.714023,1.719757,1.712204,1.7237,1.716307,1.715621,1.714479,1.712204,1.719526,1.715392,1.712658,1.712204,1.719065,1.716995,1.70612,1.714479,1.715163,1.718374,1.707465,1.706792,1.71175,1.709715,1.713567,1.713795,1.712885,1.701225,1.703666
910.768552,1.671154,1.686999,1.68273,1.69131,1.692136,1.679305,1.687408,1.686183,1.688022,1.68354,1.684555,1.689869,1.699642,1.689458,1.696082,1.687204,1.689252,1.693586,1.695873,1.703021,1.705785,1.701328,1.697126,1.699012,1.702385,1.701751,1.705998,1.701751,1.705998,1.700695,1.700695,1.702809,1.712665,1.708781,1.702174,1.71375,1.703657,1.709641,1.701751,1.714402,1.707709,1.705145,1.701328,1.705358,1.712232,1.717897,1.702385,1.705358,1.710503,1.71724,1.713967,1.704082,1.707923,1.708996,1.711799,1.710503,1.711366,1.709211,1.713967,1.712232,1.708567,1.715491,1.705145,1.708352,1.708138,1.701539,1.708567,1.707709,1.702385
913.314994,1.675936,1.67841,1.677266,1.680897,1.68611,1.685722,1.679939,1.691386,1.687082,1.6906,1.687862,1.695336,1.689229,1.697723,1.692765,1.690993,1.690208,1.696329,1.693949,1.695138,1.696727,1.692962,1.700124,1.697723,1.693357,1.702135,1.701732,1.688057,1.706184,1.696727,1.707814,1.700726,1.697524,1.699923,1.702941,1.703345,1.704965,1.706795,1.710477,1.703143,1.707202,1.709451,1.708019,1.710271,1.707814,1.713569,1.706591,1.714191,1.706795,1.709451,1.710888,1.708223,1.710682,1.710271,1.711917,1.705168,1.700927,1.706591,1.705574,1.70153,1.697723,1.700124,1.705574,1.705168,1.705371,1.704155,1.70274,1.697723,1.699723
915.859594,1.686948,1.681646,1.679471,1.684746,1.682556,1.682192,1.687684,1.689531,1.691943,1.692315,1.693995,1.689901,1.690643,1.691943,1.698694,1.702109,1.695493,1.696244,1.691943,1.695493,1.692875,1.698694,1.70709,1.707283,1.704592,1.703636,1.703827,1.706512,1.706128,1.696432,1.70632,1.699829,1.706897,1.706512,1.695868,1.707862,1.706897,1.70632,1.71135,1.716439,1.717621,1.715455,1.710184,1.722585,1.7133,1.71467,1.718807,1.707862,1.706897,1.708441,1.715652,1.707476,1.702872,1.717819,1.711739,1.710572,1.705551,1.706705,1.715259,1.71467,1.712129,1.712324,1.712909,1.709215,1.700968,1.709602,1.708441,1.706705,1.703254
918.402353,1.691717,1.690139,1.695066,1.696484,1.696662,1.691717,1.694006,1.694889,1.694536,1.70005,1.700946,1.698085,1.700946,1.69862,1.697551,1.703645,1.70618,1.709094,1.705817,1.703645,1.707634,1.703284,1.709094,1.714058,1.712213,1.701125,1.707634,1.712213,1.705998,1.709643,1.708364,1.707088,1.713503,1.713688,1.711661,1.71684,1.716282,1.719079,1.723213,1.717771,1.72039,1.713503,1.718705,1.726245,1.725864,1.72227,1.722647,1.720577,1.716468,1.716654,1.713134,1.723969,1.725295,1.718144,1.717026,1.717771,1.713319,1.721329,1.716654,1.707452,1.714983,1.715354,1.720202,1.716096,1.713319,1.715725,1.718705,1.707999,1.71111
920.943271,1.699165,1.702375,1.695812,1.705097,1.705951,1.703734,1.703904,1.706464,1.704927,1.709384,1.704415,1.713366,1.718968,1.71042,1.713714,1.71476,1.715983,1.71844,1.717034,1.716333,1.722684,1.71985,1.717912,1.715109,1.723039,1.72697,1.722151,1.724821,1.716333,1.722328,1.728408,1.72038,1.727508,1.725536,1.71985,1.731117,1.726252,1.725179,1.732387,1.728228,1.726611,1.72967,1.722861,1.729489,1.72985,1.733114,1.734938,1.726252,1.732205,1.735487,1.729128,1.729128,1.731298,1.731661,1.73567,1.725715,1.730755,1.731117,1.730212,1.728048,1.732751,1.732751,1.731298,1.721442,1.732387,1.71721,1.722151,1.722684,1.720203
923.482347,1.721502,1.721998,1.724815,1.718051,1.726147,1.735078,1.724649,1.732024,1.72916,1.728656,1.730337,1.732193,1.731349,1.731686,1.737126,1.738496,1.739355,1.739183,1.738496,1.738668,1.745415,1.741769,1.744718,1.733888,1.744196,1.748389,1.746987,1.743327,1.738496,1.746287,1.746462,1.742634,1.746287,1.746637,1.7528,1.745763,1.746987,1.756719,1.74437,1.75103,1.749619,1.747162,1.757435,1.751206,1.757077,1.760312,1.753332,1.752622,1.748389,1.750148,1.75103,1.75156,1.753687,1.744196,1.752091,1.751914,1.753865,1.761939,1.750677,1.753865,1.745589,1.744544,1.752977,1.745589,1.749619,1.751206,1.743675,1.746637,1.747862
