Wavelength (nm),Absorbance (AU) 2024-11-20 15:31:34,Absorbance (AU) 2024-11-20 15:46:40,Absorbance (AU) 2024-11-20 16:01:46,Absorbance (AU) 2024-11-20 16:16:52,Absorbance (AU) 2024-11-20 16:31:58,Absorbance (AU) 2024-11-20 16:47:04,Absorbance (AU) 2024-11-20 17:02:10,Absorbance (AU) 2024-11-20 17:17:16,Absorbance (AU) 2024-11-20 17:32:22,Absorbance (AU) 2024-11-20 17:47:28,Absorbance (AU) 2024-11-20 18:02:33,Absorbance (AU) 2024-11-20 18:17:39,Absorbance (AU) 2024-11-20 18:32:45,Absorbance (AU) 2024-11-20 18:47:51,Absorbance (AU) 2024-11-20 19:02:57,Absorbance (AU) 2024-11-20 19:18:03,Absorbance (AU) 2024-11-20 19:33:09,Absorbance (AU) 2024-11-20 19:48:15,Absorbance (AU) 2024-11-20 20:03:21,Absorbance (AU) 2024-11-20 20:18:27,Absorbance (AU) 2024-11-20 20:33:33,Absorbance (AU) 2024-11-20 20:48:39,Absorbance (AU) 2024-11-20 21:03:45,Absorbance (AU) 2024-11-20 21:18:51,Absorbance (AU) 2024-11-20 21:33:57,Absorbance (AU) 2024-11-20 21:49:03,Absorbance (AU) 2024-11-20 22:04:09,Absorbance (AU) 2024-11-20 22:19:15,Absorbance (AU) 2024-11-20 22:34:21,Absorbance (AU) 2024-11-20 22:49:27,Absorbance (AU) 2024-11-20 23:04:33,Absorbance (AU) 2024-11-20 23:19:39,Absorbance (AU) 2024-11-20 23:34:45,Absorbance (AU) 2024-11-20 23:49:51,Absorbance (AU) 2024-11-21 00:05:29,Absorbance (AU) 2024-11-21 00:20:35,Absorbance (AU) 2024-11-21 00:35:41,Absorbance (AU) 2024-11-21 00:50:47,Absorbance (AU) 2024-11-21 01:05:52,Absorbance (AU) 2024-11-21 01:20:58,Absorbance (AU) 2024-11-21 01:36:05,Absorbance (AU) 2024-11-21 01:51:10,Absorbance (AU) 2024-11-21 02:06:16,Absorbance (AU) 2024-11-21 02:21:22,Absorbance (AU) 2024-11-21 02:36:29,Absorbance (AU) 2024-11-21 02:51:34,Absorbance (AU) 2024-11-21 03:06:40,Absorbance (AU) 2024-11-21 03:21:46,Absorbance (AU) 2024-11-21 03:36:52,Absorbance (AU) 2024-11-21 03:51:58,Absorbance (AU) 2024-11-21 04:07:04,Absorbance (AU) 2024-11-21 04:22:10,Absorbance (AU) 2024-11-21 04:37:16,Absorbance (AU) 2024-11-21 04:52:22,Absorbance (AU) 2024-11-21 05:07:28,Absorbance (AU) 2024-11-21 05:22:35,Absorbance (AU) 2024-11-21 05:37:40,Absorbance (AU) 2024-11-21 05:52:46,Absorbance (AU) 2024-11-21 06:07:52,Absorbance (AU) 2024-11-21 06:22:58,Absorbance (AU) 2024-11-21 06:38:04,Absorbance (AU) 2024-11-21 06:53:10,Absorbance (AU) 2024-11-21 07:08:17,Absorbance (AU) 2024-11-21 07:23:22,Absorbance (AU) 2024-11-21 07:38:28,Absorbance (AU) 2024-11-21 07:53:34,Absorbance (AU) 2024-11-21 08:08:40,Absorbance (AU) 2024-11-21 08:23:46,Absorbance (AU) 2024-11-21 08:38:53,Absorbance (AU) 2024-11-21 08:53:58,Absorbance (AU) 2024-11-21 09:09:04,Absorbance (AU) 2024-11-21 09:24:10,Absorbance (AU) 2024-11-21 09:39:17,Absorbance (AU) 2024-11-21 09:54:22,Absorbance (AU) 2024-11-21 10:09:29,Absorbance (AU) 2024-11-21 10:24:35,Absorbance (AU) 2024-11-21 10:39:41,Absorbance (AU) 2024-11-21 10:54:47,Absorbance (AU) 2024-11-21 11:09:53,Absorbance (AU) 2024-11-21 11:24:59,Absorbance (AU) 2024-11-21 11:40:05,Absorbance (AU) 2024-11-21 11:55:11,Absorbance (AU) 2024-11-21 12:10:17,Absorbance (AU) 2024-11-21 12:25:22,Absorbance (AU) 2024-11-21 12:40:29,Absorbance (AU) 2024-11-21 12:55:35,Absorbance (AU) 2024-11-21 13:10:41,Absorbance (AU) 2024-11-21 13:25:47,Absorbance (AU) 2024-11-21 13:40:53,Absorbance (AU) 2024-11-21 13:55:59,Absorbance (AU) 2024-11-21 14:11:05,Absorbance (AU) 2024-11-21 14:26:11,Absorbance (AU) 2024-11-21 14:41:17,Absorbance (AU) 2024-11-21 14:56:23,Absorbance (AU) 2024-11-21 15:11:33,Absorbance (AU) 2024-11-21 15:26:50
901.841506,0.024295483805065514,0.03794903496119229,0.032061408838659954,0.02741629549789451,0.03373453023154233,0.03056264430672018,0.03862797001061989,0.040670939290350025,0.029732247741726336,0.03289708894489443,0.05440286297488025,0.07030191915829656,0.08727705657439833,0.09546390372683387,0.08229555777464295,0.0984306121334763,0.09291107271737811,0.09271558169147295,0.09783533315369299,0.10002271922733491,0.10443447616330365,0.1014210964757018,0.1082861777277603,0.10747251237669526,0.10544451313048053,0.1030255318324553,0.10242320813101773,0.10625465612071834,0.10787934505222788,0.11176627022495558,0.10625465612071834,0.11032914700749023,0.1109446795620296,0.1196598808385332,0.10564704887803994,0.11610846053458872,0.1142416092962146,0.11073950204384987,0.10869389099349942,0.1148624253919948,0.11756671791701662,0.11258962206829498,0.12473119983938039,0.1253696277392959,0.12197583308236522,0.12836451503255533,0.1275059395809447,0.11300173828506822,0.12366920805000343,0.1196598808385332,0.11382773189902794,0.1275059395809447,0.13030181348747194,0.12092176660484923,0.12665000589995437,0.1192407199001059,0.1272919561606971,0.13094992787966203,0.11714931815900292,0.1232447635703353,0.12282119968087407,0.12965457968548835,0.13311794096875482,0.12622291964966592,0.13551666869202422,0.12772080359139917,0.13398796409305364,0.1275059395809447,0.1311656724803232,0.13008606888681074,0.1275059395809447,0.13333544674982964,0.12579583339937767,0.13398796409305364,0.12092176660484923,0.13464224261669147,0.13008606888681074,0.13203217324379501,0.1352982823207427,0.13969683040360964,0.13815139459071046,0.13051755808813292,0.13333544674982964,0.13377045831197903,0.12772080359139917,0.134860628987973,0.13008606888681074,0.13311794096875482,0.13969683040360964,0.1352982823207427,0.13881271783600233,0.14169224781217366,0.14191503713448908,0.13881271783600233,0.1472919209370889,0.1401388866874133
904.394392,0.027194386765785974,0.020788093011459948,0.020168157505886658,0.0204781252586734,0.027036761118772186,0.020633109135066673,0.029407309955424586,0.0287732850065428,0.026722390414951707,0.01954998318072698,0.04213712198463888,0.06163250857254567,0.08326949054334169,0.08126702841312364,0.08436582535078317,0.08509847640282425,0.08675134422095059,0.08952344219189476,0.09325098053719526,0.09910162187104295,0.09008085579278652,0.09418880910741624,0.10311623262375381,0.09701550367118061,0.10931558767948632,0.10369301920919471,0.09418880910741624,0.10081701159385062,0.10795067285897707,0.10273229529359756,0.09967224432503649,0.11225675897013207,0.10465638489541237,0.11245401117645083,0.10756233257778688,0.10523581325147359,0.10756233257778688,0.11206038735402021,0.11107764868325341,0.1058161221977419,0.10970656973129662,0.10542954309696533,0.10659104157970846,0.10717311170639,0.11403202882700096,0.11820778758755265,0.11403202882700096,0.11940891262960096,0.11166676353158939,0.11284763499888166,0.11840768156449173,0.11701018490633157,0.11245401117645083,0.10388586846447954,0.11522082560615418,0.12303606369132856,0.11561797178941223,0.11561797178941223,0.11601511797267007,0.12041278546533031,0.12142018066188688,0.12526924045572302,0.11621413135940226,0.12526924045572302,0.12263099219620956,0.11423016162352663,0.1264932608431475,0.12833633614593853,0.12242933703885686,0.12162183581923958,0.129776101134024,0.12465899144242429,0.12142018066188688,0.12936398491725096,0.1266975577711205,0.11840768156449173,0.1345444971037389,0.12567695372146234,0.12915792680886432,0.12242933703885686,0.12957004302563757,0.12404962301933248,0.1269018546990935,0.1279259811095789,0.13101421096475696,0.12628896391517447,0.13039427545918367,0.12751650666342615,0.13916231214809405,0.1324645430353239,0.12936398491725096,0.1364271989658349,0.13204978504793052,0.1312211496633503,0.1324645430353239,0.13329493960031774
905.670145,0.01921623949235737,0.023468609600898895,0.01982032437420855,0.020123247405340848,0.023774174402651706,0.027152118435860483,0.03165017321209361,0.027306221722047046,0.026998015149673916,0.018310992759787304,0.042410104948740764,0.06761699961782389,0.08749456235547312,0.07663600451566649,0.08731404136308318,0.09240121098765228,0.09203576605183865,0.08533447457824128,0.08876085107282308,0.0913057567704179,0.09057662807920386,0.09718633817129599,0.09792779512540492,0.09478672985781988,0.09607679451075292,0.10128284381323734,0.09867101325992726,0.10184466036516322,0.10109527809919314,0.09922930745102593,0.10980079288342218,0.09848520872629668,0.10846317635932302,0.10315938154388601,0.10090859297535584,0.10751037775558683,0.0981135996590355,0.10903555999373019,0.11075887502839901,0.10732017027092232,0.10504472517660236,0.10770058524025135,0.10278336952559092,0.1082720882844518,0.11249011537492898,0.11075887502839901,0.10732017027092232,0.11442213028860455,0.11171959894399616,0.10865426443419444,0.11949256869924504,0.1099918809582934,0.11792511813117619,0.1159754914133649,0.11890433444111577,0.10960970480855095,0.11772962710527105,0.12582753464682167,0.121856072814243,0.10922664806860141,0.11249011537492898,0.12067255957633041,0.12126343560507999,0.12225145781708724,0.1256276406698826,0.11617010184906335,0.121856072814243,0.12126343560507999,0.12582753464682167,0.12047530737001164,0.1282297847309181,0.12284497561645714,0.12483070653274658,0.13165968358632693,0.11870796282500391,0.12264684281993167,0.12522873330621112,0.12883298902256257,0.13308095618007015,0.13165968358632693,0.12642633598743222,0.1284314398882708,0.1238365201892916,0.11870796282500391,0.13348866944580928,0.13145714783876752,0.12742756705254124,0.13165968358632693,0.12722679248539545,0.12483070653274658,0.13206563567165264,0.13105207634364852,0.13450839290526076,0.12923541874706107,0.1246316931460142,0.13226817141921204
908.220269,0.019370342778543933,0.018215889017455047,0.01606284596187745,0.014490992442774872,0.01649257398278622,0.025337222019686426,0.019803593160279732,0.02843073541610533,0.02401985907034331,0.013778594965489643,0.033942349520342564,0.0613040484254167,0.08030190154649255,0.08455955519627471,0.07491973420265191,0.08199879887495799,0.08165889105514085,0.09025345147331551,0.08765482977310704,0.0806400481858961,0.08817261681469382,0.09199525890232677,0.09234485321441849,0.09234485321441849,0.09217049635347588,0.08558808455779403,0.09357063478225637,0.09409722772591102,0.09957890176311765,0.093921109684555,0.08730963841204925,0.09304492242880863,0.09957890176311765,0.09357063478225637,0.09515217479363372,0.10333814135586236,0.09638676226353945,0.10369830275043536,0.10786173324809216,0.09603364559062072,0.10405846414500854,0.10840857976650264,0.10804401542089571,0.10659016098950157,0.10369830275043536,0.10822629759369928,0.1056840336667248,0.11023580444557159,0.10586543524932145,0.11188779167349122,0.10731664791009529,0.10731664791009529,0.10804401542089571,0.1135468236230651,0.11188779167349122,0.12044448671277433,0.11484217181723876,0.11410159545333673,0.11651441261991444,0.10514159009934823,0.10713436573729172,0.12346667230244404,0.11931733124809572,0.11041896720858185,0.1135468236230651,0.10950403398373723,0.12025692099873013,0.11428651939676042,0.1242257410606885,0.11096933608781956,0.11838126385828836,0.1227084841344063,0.11651441261991444,0.11078529273460239,0.1144714433401843,0.12063293301702543,0.1144714433401843,0.12365599919690165,0.10950403398373723,0.12460527543981081,0.12441594854535301,0.11875551469617004,0.12044448671277433,0.12233071093569758,0.1263206651626187,0.1263206651626187,0.12308713792332171,0.12100894503532053,0.13579757696798705,0.12138671823402924,0.12555807404354702,0.12063293301702543,0.12327646481777953,0.1313206563567165,0.12651175323748992,0.11912976553405152
910.768552,0.012468276737800774,0.0132810614986589,0.008563739760937357,0.010982721058962596,0.01314545060681476,0.01915812053870977,0.021229268705056897,0.01545788048981956,0.017097539454844112,0.009905759236070443,0.03232734708110759,0.052972784479069154,0.07320698625046457,0.06957631282790974,0.07511522522855726,0.07352487931511206,0.07352487931511206,0.07639296161859521,0.07575365312847279,0.08693362639375414,0.08891143199818244,0.08825098934309726,0.08073603251843506,0.08775609764688684,0.08940808487480646,0.08874676162951459,0.08693362639375414,0.08940808487480646,0.08973918679255576,0.09056782217713599,0.09339980028214119,0.08940808487480646,0.09323336873305973,0.09659017860130577,0.09390173670000586,0.09440455370807724,0.09558014163412888,0.08973918679255576,0.09997780912678911,0.09692832524070931,0.09474005857686046,0.10391140558047622,0.09659017860130577,0.10031859753681316,0.10253856544810602,0.09844998511802544,0.10185434685743779,0.09457274643757231,0.10151179726700033,0.10459914653197168,0.10391140558047622,0.10202518135755317,0.10459914653197168,0.10494345730282256,0.10048855144672164,0.10219601585766835,0.09963790130697195,0.1016826317671155,0.10910248484944544,0.11014950660530719,0.11067345777834131,0.10945119857133045,0.10979991229321547,0.10546124434440934,0.10356709480962514,0.10408312067079832,0.10546124434440934,0.11454189055672678,0.1042548357611206,0.1129550670041088,0.11102393268063994,0.11489588781985244,0.11454189055672678,0.11049910091739891,0.11613575883099882,0.10962555543227287,0.10805810486420422,0.11507288645141515,0.11684639512787043,0.10788462859346852,0.11436577251537076,0.11970214916845869,0.11242759347024746,0.11207623797774212,0.11067345777834131,0.11595876019943609,0.10632510333726082,0.12384444550115276,0.1233011213435693,0.11542688371454081,0.12620530784553038,0.12131715160769346,0.1271175992997547,0.12858114022342343,0.12006054938261827,0.12402496649354271
913.314994,0.0155934913816637,0.00812784760858124,0.00825465259835752,0.014684722288266413,0.009660074568378646,0.01767872899131913,0.015204270510266807,0.011970743270969836,0.014036607896076326,0.00331366094811383,0.03301332685218944,0.051978598135614375,0.07419941141350574,0.07073076658899863,0.07163249096074147,0.08216082747300552,0.08107946269907944,0.08077125612670631,0.07495848017175039,0.08792869332741583,0.08495582078932586,0.07892641964350183,0.08855743473505678,0.08293574685497208,0.08448910797973223,0.08604863323594011,0.0834006984841521,0.08558015924593308,0.09171699239698425,0.09474270034748097,0.08934468237991823,0.09924515807474804,0.09124147368532276,0.0899760655581797,0.09266979100072024,0.09586281109050533,0.09426277868478576,0.09330645772022235,0.10200580837300384,0.10005530106498584,0.10282123490448228,0.09362523137507675,0.10527808158139908,0.09940718667279556,0.09666590935908889,0.09989327246693833,0.0997312438688906,0.10363842261637433,0.1029841440927367,0.10314793387119785,0.10412979195175774,0.10282123490448228,0.09859880486297136,0.0997312438688906,0.10643077416207436,0.10494962143427011,0.111407870010796,0.10527808158139908,0.1065954445307422,0.10692566585828478,0.10363842261637433,0.11425745991993672,0.10824831234886874,0.11107412632242639,0.11594379016592088,0.10874584581569947,0.10331172364965897,0.11024108798681223,0.111407870010796,0.11174249428937251,0.10282123490448228,0.108082761389994,0.11577471684621891,0.11224443070723719,0.11241174284652554,0.11007465643773078,0.1077516594722447,0.11560652411672405,0.11493111142812368,0.11124143846171455,0.10824831234886874,0.1191685115031498,0.11679003735463664,0.11645101012502619,0.11526837747732031,0.12156195568517836,0.11763804572376581,0.11476291869862862,0.11662096403493487,0.11358556959216337,0.11510018474782545,0.11324918413317343,0.12796032412764324,0.125353777115574,0.11968013441328924,0.11848781527330879
915.859594,0.01663522959628461,0.01972786240249661,0.011738267456380022,0.01052393356123012,0.014668871664544501,0.018612154610506186,0.016881794854183115,0.014668871664544501,0.01873543723945544,0.008347995160276166,0.034931252322556706,0.05728503472167189,0.07610148626015109,0.07294809272967118,0.08058985454410965,0.07812244078471157,0.08029925977587224,0.07423551561198369,0.07841215496274229,0.07797802399079957,0.08131898323532369,0.08468988254687822,0.08351429462082659,0.0883874808251483,0.0860169319884959,0.08898275980493163,0.09453047810764681,0.0927226264131272,0.09332406952435807,0.09362523137507675,0.09437989718228747,0.09665093932557349,0.09227176422725568,0.09649947781000744,0.09528690509527114,0.09589275115753575,0.10108118865588464,0.09908929360814786,0.10138851463805107,0.09802025709711686,0.10200404719259043,0.10370270570146928,0.10432176061683586,0.10292954749991633,0.09863050611041539,0.09954808110588033,0.10978406166949337,0.10108118865588464,0.10758963087419718,0.10884183014823864,0.10603010561798948,0.10292954749991633,0.10494169612240915,0.10603010561798948,0.10946969096567288,0.11104330566518908,0.11230695261191852,0.11151706319643676,0.10899857520504552,0.10587424115138931,0.10821573051121781,0.1135750025096821,0.109312945908866,0.11756495673660321,0.11373438933710929,0.10540752834179587,0.10994080672630024,0.10852834003462487,0.11278247132358,0.11246545884913901,0.1151662290133338,0.11041368366734122,0.11868947043066148,0.1130994837980208,0.11660335223079915,0.11468806853105219,0.114528681703625,0.11804663957971184,0.11167468884345035,0.11708415448370108,0.11596404374067673,0.12175832730129042,0.12111021290910014,0.11676361964843325,0.11548500266818841,0.11612343056810392,0.12208326508759236,0.12338389682300667,0.11692388706606717,0.11644308481316523,0.1256707895900148,0.12046297910711676,0.12322098763475224,0.12338389682300667,0.11933318187181784,0.126655289441195
918.402353,0.022632048904457705,0.01781698165378359,0.014447843522642672,0.01945487943839472,0.02051070709632413,0.027748278005850707,0.023104925845498676,0.025597876720893427,0.024171320585909553,0.01653572290291842,0.04028788255040048,0.06389914776479795,0.08375733751789806,0.08126967018374395,0.08044455715999094,0.08459037585351203,0.08850195755202969,0.0920278407399775,0.0875200994714698,0.09188606571668602,0.0945868358808808,0.09117807119043471,0.09302114649322557,0.09932353060315148,0.10033532875074198,0.09658929801109886,0.09788200443465221,0.09730697902962472,0.10062504292877249,0.1012053518750408,0.10499805389564294,0.10397304689495085,0.10676099548961694,0.1030968596392045,0.1064659977703456,0.10368069094629984,0.10485099533111063,0.10426540284360188,0.10808804493123463,0.10927243875935412,0.11165179349807418,0.10543746840882628,0.10897567985966916,0.10602482207674865,0.11060917469324637,0.10499805389564294,0.10882774070493015,0.11150209316292155,0.10735011033795291,0.10927243875935412,0.1156998666786427,0.11329585541413285,0.10617188064128097,0.10927243875935412,0.10956919765903907,0.11690803644234506,0.11903113943089225,0.11585044760400204,0.11359525608443813,0.1134455557492855,0.1173615403988369,0.12147125489388004,0.12223736837377894,0.11827119008244089,0.11963962726377736,0.11524812390256448,0.1185749937037801,0.12131891278810708,0.1194872851580042,0.11615249004492763,0.1223905910697586,0.12285113974790468,0.1236198949984237,0.12131891278810708,0.1231584657300709,0.1312361196968657,0.12208414567779907,0.12208414567779907,0.12423630814316997,0.12423630814316997,0.12392810157079684,0.1277982955295957,0.1265557827478288,0.12254469435594516,0.12485360187812274,0.12966954971900377,0.12346667230244404,0.12131891278810708,0.12733158272000228,0.13186486110450665,0.1324944831023545,0.1231584657300709,0.12920107572899653,0.13756844387382203,0.13186486110450665,0.13280973439638188
920.943271,0.03524474243617048,0.0329499243573012,0.03055471899485903,0.033407831264826965,0.03421004894320362,0.03685886428519855,0.03547457648013997,0.04080919195281448,0.038828744577765875,0.028853418715359853,0.05460011518119901,0.06915979366010276,0.092895222093656,0.0934306209393785,0.09329677122794777,0.09639028462436668,0.09531156162106091,0.09882863890694105,0.09665974522764134,0.10721009649507485,0.10748748241021067,0.10416589615023569,0.10046301433072496,0.10210443447616332,0.1121026556839457,0.10860142902178747,0.10693182998973233,0.10860142902178747,0.11154083913201981,0.11506936409058813,0.10943887030843558,0.11365425562829225,0.11224355011703048,0.10957888415131364,0.11196264184106763,0.11848781527330879,0.11224355011703048,0.11963434372253652,0.12498128745810592,0.12193708711326676,0.11877400709051227,0.12150383673153095,0.12150383673153095,0.12078351394238478,0.12381890838515608,0.12121588373391387,0.12907779310004747,0.12222592070109076,0.12512658484222464,0.12338389682300667,0.12164825352544295,0.12208150390717876,0.12367361100103737,0.12687719817330373,0.13040396195145845,0.12673102019897814,0.12237033749500256,0.12352831361691867,0.13055102051599057,0.1314377748542182,0.1314377748542182,0.13173453375390315,0.12746279066081248,0.13128983569947916,0.12746279066081248,0.133069508507382,0.13188247290864238,0.13560472771270224,0.13173453375390315,0.1332183282523279,0.13217923180832714,0.1345585865470474,0.1293719102291119,0.13680409157433673,0.13277274960769703,0.1326239298627513,0.13188247290864238,0.13860930149823622,0.13860930149823622,0.14057477883976963,0.13396242697705715,0.13351596774221958,0.13740465409536087,0.13530532704239695,0.14042331732420338,0.14407688609213434,0.13277274960769703,0.14239760056780462,0.14239760056780462,0.13770493535587286,0.13650381031382475,0.14300784958110316,0.14163677062914656,0.13981747126193858,0.1466860748748241,0.14194145484069248
923.482347,0.055476302436945374,0.051989165218095844,0.051989165218095844,0.049089381667168676,0.054799128567931385,0.053111037141533805,0.0604798159918704,0.05626795303284075,0.05491184411439917,0.054685532431256706,0.07115873342949379,0.09570694662390515,0.11859348609812233,0.11646774133895502,0.11607059515569716,0.12140256885775116,0.11673279899119594,0.11952779230751628,0.1224777695002299,0.12477346816930589,0.12517942025463139,0.12382595310681033,0.12234303919859246,0.12790044399358222,0.12926800058471197,0.12708237569148345,0.13160508699350656,0.1289941370304032,0.1300913524280514,0.13077909337954663,0.13160508699350656,0.13298585243773792,0.13465016792855242,0.13201896439069322,0.1343719014232099,0.13687982233211984,0.13926358002187386,0.13982627716400645,0.13813994691802228,0.1363215281410212,0.14180408276843473,0.14322271359155764,0.13813994691802228,0.142512077294686,0.14493193918291797,0.14208675222481118,0.1406725243527222,0.13982627716400645,0.145788753454115,0.14794091591948588,0.14880565550254407,0.14265473290818442,0.14938244208798496,0.15199163087067472,0.1443613167289244,0.15228222563891233,0.15039512082578238,0.14664820949593255,0.14693528190334293,0.14180408276843473,0.14851682191472007,0.1512651439500812,0.14650467329222744,0.15388666099566584,0.15068483500381288,0.15388666099566584,0.15068483500381288,0.14808533271339788,0.15024982344166346,0.1535943050470148,0.15623167271632135,0.15257370099735645,0.15888753277997053,0.1597769288888185,0.15696784612918965,0.15228222563891233,0.15740990241299332,0.16007368778850345,0.1609657256679717,0.15549726048386667,0.16066808617808007,0.1603713272783951,0.161413065493016,0.15844371531575327,0.1597769288888185,0.15992486804355752,0.16410502975514313,0.16380474849463098,0.1635053478243257,0.16215892539815888,0.15933223083439452,0.15962810914387257,0.1603713272783951,0.161413065493016,0.16305536622866107,0.16924239302149868
