Wavelength (nm),Absorbance (AU) 2024-10-04 00:00:02,Absorbance (AU) 2024-10-04 00:15:07,Absorbance (AU) 2024-10-04 00:30:13,Absorbance (AU) 2024-10-04 00:45:19,Absorbance (AU) 2024-10-04 01:00:25,Absorbance (AU) 2024-10-04 01:15:31,Absorbance (AU) 2024-10-04 01:30:36,Absorbance (AU) 2024-10-04 01:45:42,Absorbance (AU) 2024-10-04 02:00:48,Absorbance (AU) 2024-10-04 02:15:54,Absorbance (AU) 2024-10-04 02:31:00,Absorbance (AU) 2024-10-04 02:46:06,Absorbance (AU) 2024-10-04 03:01:12,Absorbance (AU) 2024-10-04 03:16:17,Absorbance (AU) 2024-10-04 03:31:23,Absorbance (AU) 2024-10-04 03:46:29,Absorbance (AU) 2024-10-04 04:01:35,Absorbance (AU) 2024-10-04 04:16:41,Absorbance (AU) 2024-10-04 04:31:46,Absorbance (AU) 2024-10-04 04:46:52,Absorbance (AU) 2024-10-04 05:01:58,Absorbance (AU) 2024-10-04 05:17:04,Absorbance (AU) 2024-10-04 05:32:10,Absorbance (AU) 2024-10-04 05:47:15,Absorbance (AU) 2024-10-04 06:02:21,Absorbance (AU) 2024-10-04 06:17:27,Absorbance (AU) 2024-10-04 06:32:33,Absorbance (AU) 2024-10-04 06:47:39,Absorbance (AU) 2024-10-04 07:02:44,Absorbance (AU) 2024-10-04 07:17:50,Absorbance (AU) 2024-10-04 07:32:56,Absorbance (AU) 2024-10-04 07:48:02,Absorbance (AU) 2024-10-04 08:03:08,Absorbance (AU) 2024-10-04 08:18:14,Absorbance (AU) 2024-10-04 08:33:20,Absorbance (AU) 2024-10-04 08:48:26,Absorbance (AU) 2024-10-04 09:03:31,Absorbance (AU) 2024-10-04 09:18:37,Absorbance (AU) 2024-10-04 09:33:43,Absorbance (AU) 2024-10-04 09:48:49,Absorbance (AU) 2024-10-04 10:03:55,Absorbance (AU) 2024-10-04 10:19:01,Absorbance (AU) 2024-10-04 10:34:06,Absorbance (AU) 2024-10-04 10:49:12,Absorbance (AU) 2024-10-04 11:04:18,Absorbance (AU) 2024-10-04 11:19:24,Absorbance (AU) 2024-10-04 11:34:30,Absorbance (AU) 2024-10-04 11:49:35,Absorbance (AU) 2024-10-04 12:04:41,Absorbance (AU) 2024-10-04 12:19:47,Absorbance (AU) 2024-10-04 12:34:53,Absorbance (AU) 2024-10-04 12:49:59,Absorbance (AU) 2024-10-04 13:05:05,Absorbance (AU) 2024-10-04 13:20:11,Absorbance (AU) 2024-10-04 13:35:17,Absorbance (AU) 2024-10-04 13:50:23,Absorbance (AU) 2024-10-04 14:05:28,Absorbance (AU) 2024-10-04 14:20:34,Absorbance (AU) 2024-10-04 14:35:40,Absorbance (AU) 2024-10-04 14:50:46,Absorbance (AU) 2024-10-04 15:05:52,Absorbance (AU) 2024-10-04 15:20:58,Absorbance (AU) 2024-10-04 15:36:03,Absorbance (AU) 2024-10-04 15:51:09,Absorbance (AU) 2024-10-04 16:06:15,Absorbance (AU) 2024-10-04 16:21:21,Absorbance (AU) 2024-10-04 16:36:27,Absorbance (AU) 2024-10-04 16:51:33
901.841506,1.663497,1.655854,1.661235,1.675919,1.664405,1.664632,1.663497,1.679199,1.668974,1.673128,1.675453,1.676386,1.680848,1.678964,1.681556,1.684165,1.676386,1.684879,1.670585,1.674754,1.672433,1.68132,1.684165,1.675686,1.670815,1.672896,1.665999,1.670354,1.671277,1.686072,1.676153,1.678729,1.668286,1.667141,1.673128,1.672664,1.669434,1.660333,1.669664,1.676854,1.670815,1.668515,1.665999,1.666683,1.661235,1.661235,1.643551,1.661912,1.661009,1.665999,1.668056,1.657864,1.674521,1.670354,1.674056,1.68655,1.675919,1.678729,1.669894,1.66486,1.669664,1.671277,1.682266,1.666912,1.674754,1.677322,1.684879,1.687268
904.394392,1.655553,1.654915,1.656832,1.659617,1.653217,1.662203,1.66524,1.662636,1.663285,1.659617,1.677605,1.673814,1.669176,1.667641,1.672041,1.679851,1.668737,1.67337,1.674258,1.674481,1.674926,1.668079,1.671379,1.676487,1.668957,1.667204,1.671379,1.658329,1.660262,1.675817,1.673814,1.676487,1.674036,1.670056,1.666112,1.668518,1.660047,1.659617,1.657473,1.660047,1.661555,1.656832,1.657473,1.656618,1.662636,1.654065,1.638233,1.64566,1.66633,1.665458,1.657687,1.663719,1.663936,1.664587,1.654702,1.666112,1.662636,1.668737,1.667204,1.66786,1.663285,1.672927,1.680752,1.667422,1.675148,1.672927,1.679401,1.680301
905.670145,1.657708,1.657708,1.661071,1.653332,1.652504,1.662551,1.660228,1.664248,1.668091,1.672402,1.670888,1.672835,1.664886,1.666593,1.675445,1.676318,1.663823,1.669165,1.669165,1.673486,1.667448,1.671536,1.667877,1.67829,1.662974,1.664035,1.661282,1.665099,1.653747,1.677632,1.661282,1.666165,1.663611,1.668306,1.666806,1.666593,1.657498,1.658127,1.664886,1.656036,1.66895,1.657498,1.659807,1.663823,1.66086,1.646953,1.638457,1.645118,1.661493,1.656244,1.665312,1.659176,1.658546,1.66086,1.656036,1.66981,1.665525,1.674573,1.668091,1.661916,1.662339,1.669595,1.670457,1.670888,1.675227,1.673486,1.670673,1.682482
908.220269,1.641192,1.646425,1.65192,1.653107,1.650343,1.64995,1.654694,1.648184,1.661909,1.662718,1.664138,1.666174,1.659692,1.6674,1.663732,1.65929,1.655689,1.666174,1.663529,1.660497,1.666582,1.666787,1.664748,1.65929,1.659089,1.6609,1.658086,1.660295,1.653107,1.666787,1.658086,1.662921,1.656088,1.656088,1.660698,1.648772,1.65192,1.652118,1.653503,1.65054,1.660094,1.656287,1.64936,1.659089,1.65192,1.640806,1.625301,1.642542,1.651131,1.653305,1.652118,1.649557,1.660295,1.654694,1.654893,1.663732,1.657686,1.662111,1.656088,1.656287,1.663529,1.663326,1.656088,1.657886,1.654893,1.662718,1.669246,1.673169
910.768552,1.639631,1.639448,1.644976,1.643495,1.642387,1.647953,1.653591,1.645347,1.652457,1.655296,1.666647,1.667623,1.654158,1.656437,1.659303,1.658345,1.653591,1.655676,1.653969,1.657581,1.658728,1.661031,1.657772,1.654727,1.65739,1.648513,1.654727,1.652457,1.655296,1.659878,1.651327,1.665091,1.645347,1.647766,1.651327,1.645532,1.64442,1.641835,1.645904,1.650012,1.644235,1.646462,1.650575,1.651515,1.640364,1.629314,1.625929,1.639082,1.64758,1.645718,1.649637,1.654537,1.651703,1.654348,1.642756,1.653969,1.653213,1.658154,1.655296,1.655486,1.655866,1.658345,1.659494,1.654917,1.657963,1.659494,1.666842,1.667623
913.314994,1.633492,1.641481,1.637642,1.638685,1.642709,1.646593,1.643589,1.638337,1.642533,1.651408,1.658822,1.65937,1.65519,1.65937,1.660284,1.650333,1.648905,1.658276,1.655371,1.655371,1.651946,1.64944,1.657366,1.659918,1.653925,1.647658,1.654467,1.648192,1.654828,1.644647,1.660467,1.648548,1.652485,1.651408,1.655371,1.646948,1.647303,1.650512,1.649261,1.654647,1.644823,1.644117,1.64553,1.647125,1.645707,1.634699,1.63229,1.63229,1.634526,1.641831,1.645,1.635908,1.651408,1.646593,1.650691,1.653385,1.653385,1.657002,1.648014,1.647658,1.658822,1.653925,1.664144,1.65519,1.656276,1.663775,1.667295,1.659187
915.859594,1.639923,1.642572,1.63647,1.644403,1.643071,1.642738,1.649773,1.64357,1.655895,1.649267,1.659679,1.658127,1.656066,1.660024,1.662278,1.660716,1.653504,1.65658,1.658471,1.656409,1.655895,1.656066,1.662973,1.658471,1.657267,1.653334,1.649773,1.653845,1.648424,1.658643,1.64792,1.655039,1.646912,1.646409,1.652143,1.648256,1.640915,1.64457,1.643071,1.652313,1.648088,1.64407,1.645739,1.64893,1.642074,1.629002,1.628037,1.646577,1.647583,1.645071,1.645907,1.64457,1.658299,1.649604,1.642074,1.654186,1.658816,1.652653,1.659679,1.645405,1.652653,1.649773,1.660543,1.665242,1.659333,1.658299,1.664194,1.660716
918.402353,1.648301,1.644032,1.647032,1.654704,1.646398,1.649415,1.660222,1.65713,1.657779,1.660876,1.65957,1.665646,1.659244,1.664325,1.66515,1.664325,1.654543,1.672312,1.665811,1.666639,1.660549,1.660876,1.670803,1.668467,1.662844,1.660386,1.661695,1.65535,1.656806,1.663831,1.654704,1.662515,1.662844,1.660386,1.66515,1.657942,1.648142,1.651811,1.651171,1.663008,1.656968,1.648142,1.653899,1.65713,1.64846,1.645292,1.633308,1.640584,1.651331,1.655996,1.656968,1.660549,1.658755,1.657292,1.647983,1.660222,1.662679,1.66416,1.651331,1.659733,1.65957,1.663008,1.65713,1.660876,1.660549,1.671306,1.671976,1.671641
920.943271,1.658232,1.653357,1.658385,1.659306,1.659766,1.662852,1.662543,1.667365,1.671137,1.670191,1.672084,1.674622,1.673986,1.673828,1.680226,1.67161,1.664248,1.67351,1.677655,1.673828,1.678618,1.676056,1.678618,1.666896,1.674304,1.664714,1.672559,1.664559,1.665492,1.669561,1.667522,1.688195,1.672717,1.665025,1.675737,1.665648,1.663162,1.662079,1.663162,1.666584,1.667835,1.660844,1.663007,1.669561,1.65655,1.655027,1.65094,1.649587,1.662233,1.662233,1.658385,1.66596,1.666896,1.667835,1.664559,1.669561,1.674941,1.671768,1.669404,1.662388,1.675897,1.672876,1.67351,1.673351,1.670663,1.676535,1.683461,1.685414
923.482347,1.683906,1.676554,1.677746,1.68089,1.675217,1.68044,1.682698,1.684512,1.689848,1.686791,1.693237,1.698525,1.692001,1.699936,1.705308,1.695406,1.683453,1.692001,1.697587,1.69463,1.690924,1.692927,1.698212,1.693546,1.695096,1.687553,1.68847,1.685119,1.67999,1.693082,1.689235,1.696496,1.69634,1.690309,1.691693,1.683906,1.681642,1.67984,1.685878,1.68603,1.690309,1.67984,1.684815,1.686791,1.676554,1.673293,1.65963,1.668739,1.677746,1.677448,1.681342,1.686334,1.691231,1.683453,1.684664,1.693082,1.689542,1.684815,1.693701,1.678343,1.691847,1.688623,1.696496,1.692464,1.69463,1.701352,1.704196,1.702456
