Wavelength (nm),Absorbance (AU) 2024-09-27 00:02:13,Absorbance (AU) 2024-09-27 00:17:19,Absorbance (AU) 2024-09-27 00:32:25,Absorbance (AU) 2024-09-27 00:47:31,Absorbance (AU) 2024-09-27 01:02:37,Absorbance (AU) 2024-09-27 01:17:43,Absorbance (AU) 2024-09-27 01:32:50,Absorbance (AU) 2024-09-27 01:47:56,Absorbance (AU) 2024-09-27 02:03:02,Absorbance (AU) 2024-09-27 02:18:08,Absorbance (AU) 2024-09-27 02:33:14,Absorbance (AU) 2024-09-27 02:48:20,Absorbance (AU) 2024-09-27 03:03:26,Absorbance (AU) 2024-09-27 03:18:32,Absorbance (AU) 2024-09-27 03:33:38,Absorbance (AU) 2024-09-27 03:48:44,Absorbance (AU) 2024-09-27 04:03:50,Absorbance (AU) 2024-09-27 04:18:56,Absorbance (AU) 2024-09-27 04:34:02,Absorbance (AU) 2024-09-27 04:49:06,Absorbance (AU) 2024-09-27 05:04:12,Absorbance (AU) 2024-09-27 05:19:18,Absorbance (AU) 2024-09-27 05:34:24,Absorbance (AU) 2024-09-27 05:49:30,Absorbance (AU) 2024-09-27 06:04:36,Absorbance (AU) 2024-09-27 06:19:42,Absorbance (AU) 2024-09-27 06:34:48,Absorbance (AU) 2024-09-27 06:49:54,Absorbance (AU) 2024-09-27 07:05:00,Absorbance (AU) 2024-09-27 07:20:06,Absorbance (AU) 2024-09-27 07:35:12,Absorbance (AU) 2024-09-27 07:50:18,Absorbance (AU) 2024-09-27 08:05:24,Absorbance (AU) 2024-09-27 08:20:31,Absorbance (AU) 2024-09-27 08:35:37,Absorbance (AU) 2024-09-27 08:50:43,Absorbance (AU) 2024-09-27 09:05:49,Absorbance (AU) 2024-09-27 09:20:55,Absorbance (AU) 2024-09-27 09:36:01,Absorbance (AU) 2024-09-27 09:51:07,Absorbance (AU) 2024-09-27 10:06:13,Absorbance (AU) 2024-09-27 10:21:19,Absorbance (AU) 2024-09-27 10:36:25,Absorbance (AU) 2024-09-27 10:51:31,Absorbance (AU) 2024-09-27 11:06:37,Absorbance (AU) 2024-09-27 11:21:43,Absorbance (AU) 2024-09-27 11:36:49,Absorbance (AU) 2024-09-27 11:51:55,Absorbance (AU) 2024-09-27 12:07:01,Absorbance (AU) 2024-09-27 12:22:07,Absorbance (AU) 2024-09-27 12:37:13,Absorbance (AU) 2024-09-27 12:52:19,Absorbance (AU) 2024-09-27 13:07:25,Absorbance (AU) 2024-09-27 13:22:31,Absorbance (AU) 2024-09-27 13:37:37,Absorbance (AU) 2024-09-27 13:52:43,Absorbance (AU) 2024-09-27 14:07:49,Absorbance (AU) 2024-09-27 14:22:55,Absorbance (AU) 2024-09-27 14:38:01,Absorbance (AU) 2024-09-27 14:53:07,Absorbance (AU) 2024-09-27 15:08:13,Absorbance (AU) 2024-09-27 15:23:19,Absorbance (AU) 2024-09-27 15:38:25,Absorbance (AU) 2024-09-27 15:53:31,Absorbance (AU) 2024-09-27 16:08:37,Absorbance (AU) 2024-09-27 16:23:43
901.841506,1.659658,1.667598,1.671508,1.678964,1.668744,1.683214,1.674521,1.683689,1.678964,1.677556,1.686311,1.676854,1.687987,1.679905,1.686311,1.672201,1.676153,1.674056,1.676386,1.667141,1.678259,1.675453,1.666683,1.668974,1.679434,1.671508,1.661686,1.669204,1.668744,1.676854,1.670354,1.675686,1.674056,1.673128,1.667598,1.68014,1.665999,1.666455,1.664632,1.671508,1.669204,1.669664,1.672433,1.677556,1.669894,1.674289,1.68132,1.670354,1.674987,1.685117,1.683927,1.68655,1.671046,1.67336,1.669434,1.669664,1.692812,1.674289,1.678259,1.670815,1.670124,1.680376,1.67522,1.67522,1.673592,1.673592
904.394392,1.649422,1.664805,1.658115,1.67337,1.673814,1.676263,1.669396,1.674481,1.669396,1.673814,1.681882,1.679176,1.686658,1.681204,1.67604,1.675594,1.665458,1.672263,1.672705,1.666112,1.670937,1.66524,1.66633,1.663285,1.670717,1.673592,1.665894,1.662636,1.663936,1.656618,1.662419,1.666985,1.663069,1.669616,1.667422,1.667641,1.671379,1.66437,1.661123,1.657901,1.674926,1.671158,1.666112,1.66524,1.669396,1.663936,1.668298,1.679851,1.674481,1.680752,1.673148,1.674481,1.668298,1.659187,1.668298,1.665458,1.682108,1.662852,1.666766,1.669836,1.672705,1.673592,1.667422,1.668298,1.667641,1.668957
905.670145,1.644103,1.656662,1.659386,1.663398,1.67132,1.673269,1.676975,1.66981,1.659176,1.66852,1.67829,1.677632,1.677632,1.680271,1.6761,1.66702,1.665525,1.665312,1.662551,1.667663,1.664673,1.65541,1.660649,1.676537,1.663186,1.671104,1.66086,1.66938,1.653125,1.673269,1.664461,1.676537,1.665525,1.664886,1.666806,1.664673,1.676975,1.662339,1.651058,1.656453,1.66086,1.664673,1.672402,1.663823,1.65437,1.672835,1.667663,1.66938,1.676975,1.675009,1.672185,1.686267,1.668735,1.667663,1.664886,1.662974,1.67829,1.662762,1.670026,1.671536,1.675663,1.666593,1.665952,1.671969,1.663823,1.674138
908.220269,1.643704,1.645841,1.662718,1.660497,1.66597,1.654694,1.66822,1.663732,1.662516,1.662111,1.665562,1.6765,1.677337,1.668425,1.675248,1.66597,1.660698,1.659692,1.661505,1.664138,1.658888,1.663529,1.660295,1.65929,1.662718,1.664341,1.662313,1.652711,1.649557,1.66597,1.659089,1.662313,1.664138,1.658487,1.65929,1.655092,1.659692,1.658086,1.667605,1.660497,1.658086,1.652909,1.655092,1.662111,1.661707,1.65929,1.665766,1.66781,1.6674,1.677965,1.672133,1.665766,1.665562,1.664748,1.66781,1.652315,1.66822,1.668015,1.652711,1.654694,1.659491,1.658888,1.661101,1.665358,1.652711,1.663326
910.768552,1.640364,1.639997,1.658919,1.650575,1.656818,1.656057,1.668993,1.661223,1.65378,1.665868,1.658537,1.657772,1.660646,1.669974,1.673524,1.64609,1.650012,1.653024,1.650012,1.645718,1.649824,1.654158,1.663153,1.647766,1.647393,1.653024,1.650951,1.656628,1.655486,1.655866,1.656247,1.660262,1.657009,1.651703,1.652457,1.648326,1.66007,1.652646,1.651327,1.645532,1.651327,1.652269,1.646648,1.663927,1.658345,1.656628,1.66007,1.673326,1.668797,1.664315,1.661416,1.667233,1.659111,1.654537,1.648326,1.652646,1.66821,1.663346,1.653402,1.653402,1.65378,1.656818,1.64609,1.64442,1.65739,1.652269
913.314994,1.629382,1.641831,1.640955,1.652305,1.646239,1.654106,1.651049,1.655009,1.654467,1.658458,1.654467,1.656458,1.663591,1.661384,1.662486,1.646061,1.640955,1.648192,1.650154,1.640955,1.645353,1.64944,1.648192,1.650691,1.643941,1.64944,1.645,1.64944,1.649083,1.651408,1.639557,1.65519,1.650512,1.643589,1.648726,1.652665,1.647125,1.641305,1.648192,1.64944,1.644823,1.643237,1.652665,1.649797,1.649261,1.654106,1.653745,1.659735,1.65519,1.671218,1.666923,1.659187,1.656276,1.64944,1.643941,1.650691,1.660284,1.643765,1.650333,1.651587,1.644117,1.654467,1.656095,1.653385,1.653565,1.651228
915.859594,1.63647,1.64407,1.656066,1.644904,1.650618,1.652653,1.658299,1.659506,1.655381,1.658471,1.662278,1.661757,1.664194,1.659506,1.668051,1.644904,1.647583,1.64708,1.644236,1.654698,1.651634,1.643736,1.649942,1.642074,1.652823,1.650787,1.643736,1.650618,1.64893,1.65028,1.651634,1.650618,1.647752,1.647583,1.647583,1.645071,1.654698,1.646912,1.649773,1.651804,1.648761,1.647415,1.650449,1.652653,1.651465,1.649942,1.657783,1.660024,1.66367,1.670524,1.666118,1.669285,1.659333,1.646242,1.649604,1.649267,1.662452,1.655381,1.652313,1.657267,1.64893,1.651634,1.654186,1.649435,1.650618,1.652993
918.402353,1.635771,1.646557,1.653095,1.660386,1.658592,1.658592,1.662679,1.656482,1.663501,1.660059,1.661367,1.670636,1.670971,1.670302,1.675177,1.660713,1.656482,1.648937,1.649574,1.657292,1.655027,1.651971,1.659244,1.650851,1.654543,1.65406,1.653095,1.657292,1.654543,1.647349,1.654866,1.653255,1.649574,1.650851,1.649893,1.660059,1.654543,1.653255,1.65406,1.64846,1.651491,1.650372,1.657942,1.654382,1.652292,1.652452,1.654866,1.663995,1.660059,1.67687,1.668467,1.662679,1.659406,1.657455,1.658429,1.654704,1.666308,1.651331,1.658592,1.660222,1.653255,1.652773,1.658104,1.66482,1.656482,1.649734
920.943271,1.644808,1.657008,1.663162,1.666116,1.663317,1.667209,1.673034,1.66596,1.664092,1.674941,1.674145,1.674781,1.677655,1.677015,1.684925,1.659459,1.661461,1.661461,1.66177,1.66177,1.66596,1.663472,1.668619,1.658385,1.665492,1.668148,1.661461,1.666896,1.66596,1.661461,1.663162,1.662543,1.658385,1.660536,1.66596,1.661152,1.662388,1.662388,1.657161,1.658232,1.663782,1.663627,1.66069,1.659766,1.664403,1.666116,1.665492,1.674941,1.673034,1.683137,1.682812,1.678939,1.668148,1.662852,1.66674,1.662233,1.674463,1.667835,1.666896,1.666428,1.664248,1.664714,1.667365,1.668933,1.663007,1.665181
923.482347,1.668886,1.675217,1.676852,1.688164,1.689388,1.686791,1.691077,1.683604,1.685422,1.69231,1.688776,1.69401,1.691539,1.694941,1.703088,1.681492,1.682698,1.683755,1.67715,1.684058,1.682999,1.677001,1.678194,1.683302,1.681041,1.681342,1.682848,1.682698,1.68059,1.689542,1.684815,1.682245,1.687401,1.678343,1.688164,1.684209,1.678642,1.675217,1.671819,1.68014,1.681944,1.67969,1.679241,1.682094,1.682848,1.675811,1.689542,1.693082,1.69463,1.696028,1.689235,1.698212,1.690924,1.67984,1.683604,1.673884,1.698056,1.678642,1.681944,1.682999,1.682245,1.685574,1.682245,1.681191,1.691693,1.683755
926.019582,1.684994,1.695041,1.698832,1.707263,1.706517,1.70488,1.713581,1.705921,1.701182,1.710862,1.712068,1.713278,1.713278,1.711163,1.713884,1.702657,1.698247,1.694605,1.7003,1.698539,1.703397,1.70488,1.702657,1.706218,1.703545,1.702657,1.697954,1.70488,1.70133,1.697516,1.699859,1.702067,1.7003,1.701919,1.703545,1.700741,1.698832,1.701477,1.694025,1.696786,1.69737,1.698979,1.696204,1.705028,1.704434,1.702214,1.707412,1.706367,1.713732,1.713884,1.714339,1.711012,1.705921,1.703101,1.700888,1.699565,1.714036,1.702362,1.700741,1.698979,1.706218,1.7003,1.706069,1.709809,1.7003,1.70786
928.554976,1.710133,1.713822,1.719415,1.721585,1.722311,1.723913,1.730821,1.729638,1.727721,1.73186,1.739199,1.733944,1.740107,1.73514,1.735889,1.727721,1.720282,1.719271,1.724788,1.718982,1.726839,1.72333,1.72173,1.726252,1.72728,1.719559,1.722311,1.722457,1.721876,1.725959,1.724204,1.725373,1.722457,1.728015,1.719415,1.727721,1.727721,1.720137,1.719415,1.716538,1.723767,1.719271,1.723767,1.723913,1.722021,1.723767,1.726545,1.731118,1.731414,1.74041,1.738897,1.732454,1.729195,1.723621,1.72333,1.723621,1.736639,1.726986,1.726106,1.721876,1.727133,1.726692,1.724788,1.721295,1.728162,1.726839
931.088528,1.728411,1.736992,1.743288,1.748217,1.75276,1.750116,1.75631,1.754679,1.74997,1.750702,1.757649,1.753349,1.756607,1.759291,1.757351,1.746907,1.738557,1.743721,1.74589,1.746907,1.743288,1.747197,1.742136,1.748071,1.749238,1.747925,1.744876,1.750556,1.753054,1.750409,1.750849,1.74778,1.748508,1.746471,1.748654,1.752612,1.746907,1.743144,1.740845,1.739271,1.745021,1.742856,1.74618,1.750116,1.74778,1.740272,1.75173,1.7575,1.753202,1.762895,1.751142,1.753054,1.749385,1.747925,1.745745,1.742568,1.757798,1.746761,1.747197,1.74997,1.7456,1.745745,1.748217,1.741562,1.740128,1.743721
