Wavelength (nm),Absorbance (AU) 2024-09-26 15:07:43,Absorbance (AU) 2024-09-26 15:22:49,Absorbance (AU) 2024-09-26 15:37:55,Absorbance (AU) 2024-09-26 15:53:01,Absorbance (AU) 2024-09-26 16:08:07,Absorbance (AU) 2024-09-26 16:23:13,Absorbance (AU) 2024-09-26 16:38:19,Absorbance (AU) 2024-09-26 16:53:25,Absorbance (AU) 2024-09-26 17:08:31,Absorbance (AU) 2024-09-26 17:23:37,Absorbance (AU) 2024-09-26 17:38:43,Absorbance (AU) 2024-09-26 17:53:49,Absorbance (AU) 2024-09-26 18:08:55,Absorbance (AU) 2024-09-26 18:24:01,Absorbance (AU) 2024-09-26 18:39:07,Absorbance (AU) 2024-09-26 18:54:13,Absorbance (AU) 2024-09-26 19:09:19,Absorbance (AU) 2024-09-26 19:24:25,Absorbance (AU) 2024-09-26 19:39:31,Absorbance (AU) 2024-09-26 19:54:37,Absorbance (AU) 2024-09-26 20:09:43,Absorbance (AU) 2024-09-26 20:24:49,Absorbance (AU) 2024-09-26 20:39:55,Absorbance (AU) 2024-09-26 20:55:01,Absorbance (AU) 2024-09-26 21:10:07,Absorbance (AU) 2024-09-26 21:25:13,Absorbance (AU) 2024-09-26 21:40:19,Absorbance (AU) 2024-09-26 21:55:25,Absorbance (AU) 2024-09-26 22:10:31,Absorbance (AU) 2024-09-26 22:25:37,Absorbance (AU) 2024-09-26 22:40:43,Absorbance (AU) 2024-09-26 22:55:49,Absorbance (AU) 2024-09-26 23:10:55,Absorbance (AU) 2024-09-26 23:26:00,Absorbance (AU) 2024-09-26 23:41:06,Absorbance (AU) 2024-09-26 23:56:12,Absorbance (AU) 2024-09-27 00:11:56,Absorbance (AU) 2024-09-27 00:27:02,Absorbance (AU) 2024-09-27 00:42:08,Absorbance (AU) 2024-09-27 00:57:14,Absorbance (AU) 2024-09-27 01:12:20,Absorbance (AU) 2024-09-27 01:27:26,Absorbance (AU) 2024-09-27 01:42:32,Absorbance (AU) 2024-09-27 01:57:38,Absorbance (AU) 2024-09-27 02:12:44,Absorbance (AU) 2024-09-27 02:27:50,Absorbance (AU) 2024-09-27 02:42:56,Absorbance (AU) 2024-09-27 02:58:02,Absorbance (AU) 2024-09-27 03:13:08,Absorbance (AU) 2024-09-27 03:28:14,Absorbance (AU) 2024-09-27 03:43:20,Absorbance (AU) 2024-09-27 03:58:26,Absorbance (AU) 2024-09-27 04:13:32,Absorbance (AU) 2024-09-27 04:28:38,Absorbance (AU) 2024-09-27 04:43:43,Absorbance (AU) 2024-09-27 04:58:49,Absorbance (AU) 2024-09-27 05:13:55,Absorbance (AU) 2024-09-27 05:29:01,Absorbance (AU) 2024-09-27 05:44:07,Absorbance (AU) 2024-09-27 05:59:13,Absorbance (AU) 2024-09-27 06:14:19,Absorbance (AU) 2024-09-27 06:29:25,Absorbance (AU) 2024-09-27 06:44:31,Absorbance (AU) 2024-09-27 06:59:37,Absorbance (AU) 2024-09-27 07:14:43,Absorbance (AU) 2024-09-27 07:29:49,Absorbance (AU) 2024-09-27 07:44:55,Absorbance (AU) 2024-09-27 08:00:01,Absorbance (AU) 2024-09-27 08:15:07,Absorbance (AU) 2024-09-27 08:30:13,Absorbance (AU) 2024-09-27 08:45:19,Absorbance (AU) 2024-09-27 09:00:25,Absorbance (AU) 2024-09-27 09:15:31,Absorbance (AU) 2024-09-27 09:30:37,Absorbance (AU) 2024-09-27 09:45:43,Absorbance (AU) 2024-09-27 10:00:49,Absorbance (AU) 2024-09-27 10:15:55,Absorbance (AU) 2024-09-27 10:31:01,Absorbance (AU) 2024-09-27 10:46:07,Absorbance (AU) 2024-09-27 11:01:13,Absorbance (AU) 2024-09-27 11:16:19,Absorbance (AU) 2024-09-27 11:31:25,Absorbance (AU) 2024-09-27 11:46:31,Absorbance (AU) 2024-09-27 12:01:37,Absorbance (AU) 2024-09-27 12:16:43,Absorbance (AU) 2024-09-27 12:31:49,Absorbance (AU) 2024-09-27 12:46:55,Absorbance (AU) 2024-09-27 13:02:01,Absorbance (AU) 2024-09-27 13:17:07,Absorbance (AU) 2024-09-27 13:32:14,Absorbance (AU) 2024-09-27 13:47:20,Absorbance (AU) 2024-09-27 14:02:26,Absorbance (AU) 2024-09-27 14:17:32,Absorbance (AU) 2024-09-27 14:32:38,Absorbance (AU) 2024-09-27 14:47:44,Absorbance (AU) 2024-09-27 15:02:50,Absorbance (AU) 2024-09-27 15:17:56,Absorbance (AU) 2024-09-27 15:33:02,Absorbance (AU) 2024-09-27 15:48:08,Absorbance (AU) 2024-09-27 16:03:14,Absorbance (AU) 2024-09-27 16:18:20
1106.264265,0.23886254253124845,0.2254892825031922,0.2423292642692182,0.2540100891298817,0.26506506556927023,0.26751934841246056,0.25132914086248725,0.2788526196226775,0.28471066158600317,0.2936173535048772,0.29558178718131484,0.287867607244227,0.36825324068594,0.37121877998594666,0.3796079191862209,0.35968402839865926,0.3647147415636389,0.3645976310944665,0.3721707747676049,0.37312402880161993,0.3825142736254632,0.3909575606770749,0.39318140033899074,0.3925631074318555,0.3914511876008976,0.3757571254794605,0.3494173439345592,0.36143438917445947,0.37086115231664657,0.3715751484028902,0.3655382926049146,0.36295556602134177,0.36143438917445947,0.3638937090270764,0.3487310514001627,0.3592193642790403,0.36518570194504113,0.3714555194290046,0.3773185984017569,0.3779192617758985,0.38118072537972747,0.3780401500021407,0.3933048070699463,0.38494840843094646,0.38287819755654684,0.3845819659951494,0.3920682212556762,0.3921916279866318,0.39504131606982296,0.39628545739823345,0.3762369006273596,0.3714555194290046,0.3768375640015012,0.37755911560188493,0.3802123603174322,0.3737221736710481,0.37707808120162895,0.38045413676991713,0.3794870309599785,0.3802123603174322,0.3776787445757705,0.38287819755654684,0.3784015554285111,0.3809376896748863,0.3794870309599785,0.37635652960124516,0.37924525450749386,0.38287819755654684,0.3755166082793325,0.37779963280201295,0.37924525450749386,0.3802123603174322,0.3796079191862209,0.36872671957205566,0.36884508929358467,0.37169477737677575,0.3747975751836619,0.3706244128735886,0.3747975751836619,0.3761160124011172,0.37707808120162895,0.3757571254794605,0.3764761585751308,0.3796079191862209,0.37755911560188493,0.3768375640015012,0.3794870309599785,0.37599638342723163,0.3737221736710481,0.3771977101755145,0.37503809238378993,0.3802123603174322,0.3737221736710481,0.3733632867493911,0.37527735033156107,0.3715751484028902,0.37181314709830476,0.3745583172358908,0.37252840243690527,0.3745583172358908,0.37467794620977635
1108.665241,0.2506327743092372,0.23799113990041826,0.25329231528656804,0.2627984113272268,0.2716849552083938,0.2788198790614037,0.2623148584222576,0.29245380432729473,0.29779681207673375,0.3067500963328052,0.30717068661993996,0.298313105542977,0.38010658311947026,0.3784292589803583,0.3889402384016561,0.36929086462785315,0.3746124650872285,0.37699497054608744,0.38094776369373984,0.3877225413727362,0.3921211098546571,0.40227698011136825,0.40390393415621284,0.4050334835201644,0.40578777568182217,0.3838402663570586,0.35672604461279245,0.3725964020641666,0.38263390259934876,0.3848086314193538,0.37950717899768555,0.37082337474594584,0.37485046378264303,0.37520683219958656,0.3559226416092238,0.37235966262110864,0.37437572564417054,0.38492951964559596,0.39077370983299803,0.3889402384016561,0.38918453335885417,0.3916312606879044,0.3981667804191296,0.39705234208345824,0.390651562354399,0.39335014015478736,0.3984148531333977,0.40327808573493756,0.3972991555453697,0.4019017229090745,0.3885750552182159,0.3842029310357856,0.38674913930101434,0.3886972026968149,0.38723521071069694,0.38699217500585553,0.3885750552182159,0.3850504078718384,0.38614217966508924,0.3893066808374532,0.38711432248445454,0.38699217500585553,0.38747824641553813,0.3884529077396169,0.3850504078718384,0.3897952707518493,0.3877225413727362,0.38687002752725647,0.3894288283160522,0.3879655770775777,0.38577825573400565,0.3879655770775777,0.3893066808374532,0.38553522002916446,0.38022747134571266,0.38022747134571266,0.38082813471985427,0.38142879809399555,0.3834788609306884,0.38323708447820354,0.38203072072049377,0.3866269918224153,0.3866269918224153,0.38723521071069694,0.38444596674062675,0.38699217500585553,0.387357358189296,0.3889402384016561,0.39126355899975074,0.3879655770775777,0.38227123792062173,0.3947038364382299,0.38918453335885417,0.3862630678913317,0.3894288283160522,0.3842029310357856,0.38432381926202774,0.3894288283160522,0.3846877431931114,0.38589914396024805,0.3863852153699307
1111.064375,0.2686778605806161,0.24975885317369384,0.2625868569313028,0.2759198208839449,0.28536043580205556,0.2914073656188847,0.273561241219863,0.3046408486353483,0.31111718350580886,0.3155472332966472,0.32076305655806026,0.31290532185230974,0.3957175345853659,0.3992862557642276,0.3999032894190062,0.37904881113985006,0.3916854085392421,0.39071200646752025,0.3982990019165822,0.40374778686398316,0.40799650431545786,0.4124038875638757,0.4117717428808169,0.41761341456350554,0.41735778633509707,0.40064498905709706,0.36973034370033814,0.3856309232082729,0.3919284442440836,0.39547198037581127,0.38744046884483746,0.38889238681210186,0.38635373406101325,0.38478848338164673,0.36704687692823024,0.38191109174660814,0.39229362742752377,0.3908328946937624,0.3986692221094493,0.4041217848139203,0.40089306177136513,0.39817559518562656,0.40962975462208595,0.4048697807137946,0.3996564759570947,0.40636829101825667,0.4136706954347067,0.4117717428808169,0.41481157806986835,0.4131632167349601,0.39842240864753775,0.3975598207832045,0.3996564759570947,0.3974376733046055,0.39719085984269425,0.3969453056331396,0.39817559518562656,0.4016360206618128,0.40312571619977794,0.39903944230231636,0.3992862557642276,0.40052158232614143,0.40101646850232076,0.4068682142038629,0.40262957077124173,0.3966997514235847,0.40337504816640257,0.3995330692261391,0.40362438013302754,0.39854581537849365,0.3982990019165822,0.3992862557642276,0.3995330692261391,0.3932695480039591,0.3929043648205189,0.39095504217236143,0.3932695480039591,0.3968218989021838,0.3937581379183552,0.3996564759570947,0.3975598207832045,0.3987926288404049,0.39314740052536007,0.4041217848139203,0.40089306177136513,0.39805218845467066,0.39842240864753775,0.4007696550404095,0.3997798826880506,0.3996564759570947,0.39266006986332086,0.40126454121658883,0.3968218989021838,0.3982990019165822,0.40262957077124173,0.3946144295209049,0.39107718965096044,0.39363599043975617,0.39706871236409524,0.3966997514235847,0.3974376733046055
1113.461668,0.2783552149417847,0.27151873389731057,0.28428377503708485,0.2920873618914977,0.3012333117581429,0.3060701000601922,0.2889732308134014,0.3204205399170406,0.32233460349921056,0.33450275902191356,0.3373423730862512,0.3302729303557891,0.4096813839687102,0.4118095204515176,0.4183702252298765,0.3985495931355637,0.41068123033992265,0.4055737027811847,0.4090567947997915,0.4153329085455385,0.42091517424274866,0.4279758022067138,0.4282339489398354,0.42501152215906374,0.42913935138429626,0.4120601116704991,0.38812046511745046,0.4023588315145531,0.41432298815547225,0.40943079274972866,0.40507755735264855,0.3952541297181038,0.4005127675596445,0.40161965038117575,0.3816730930511936,0.39891729482371735,0.3986717406141627,0.4074361370167304,0.41609097846426635,0.4159637939762404,0.4191333321580313,0.42104361798313117,0.4221920561324332,0.4173565270827405,0.41798993101815585,0.4251412251518028,0.42849209567295704,0.42359990026721345,0.4305660843044267,0.4282339489398354,0.41697623287101987,0.41432298815547225,0.4134415115057888,0.41470202311483634,0.41394521244846505,0.41256255336081854,0.4085568716141853,0.4150797988218435,0.41293906981546913,0.41862459420592807,0.41331684552247633,0.412687219344131,0.41018130715431644,0.4162169036999354,0.41018130715431644,0.41964207011013416,0.41256255336081854,0.4153329085455385,0.4096813839687102,0.41432298815547225,0.41319092028680726,0.4159637939762404,0.4124366281251495,0.411433003996867,0.4103059731376289,0.40421119173124526,0.41068123033992265,0.40285119918601925,0.40693873233583766,0.4150797988218435,0.4059451822264087,0.4111824127778854,0.411433003996867,0.4090567947997915,0.4100553819186474,0.4192605166460569,0.4159637939762404,0.41609097846426635,0.4123107028894804,0.4144489133911413,0.4081841329166047,0.41722934259471484,0.4061932549406768,0.41130707876119793,0.41055656435661014,0.4111824127778854,0.4088074628331668,0.4095554587330411,0.4103059731376289,0.4076854689833554,0.4118095204515176
1115.857119,0.302764562623879,0.29016070578576103,0.30603735949891836,0.3120213266979128,0.3251439955069875,0.33263276927222785,0.3120213266979128,0.3431827855165832,0.3456043277984995,0.3580998889339423,0.3513704443397867,0.3432923404716153,0.4289706115684996,0.4316742263783149,0.43283777555589703,0.4143922470350904,0.42207620491561765,0.42436552570008135,0.42819994912620474,0.43012786448429857,0.4366029401024026,0.44619592455567286,0.4471252527949105,0.44579926006331516,0.4536721057973461,0.4271749177078586,0.4015352804732774,0.41853644654095973,0.4271749177078586,0.43296747854863615,0.42640677377027725,0.41841052130529066,0.42372834400759596,0.41778089512694533,0.39909736791072414,0.4147675042373842,0.41853644654095973,0.4296128302704119,0.43154578263793236,0.43439295221641,0.433485031267236,0.4394765539803708,0.44672732905019624,0.4385610775170567,0.43673264309514165,0.43843011527196074,0.446329405305482,0.4430238678691688,0.4421020951440712,0.4479223595366959,0.44170668990407014,0.43504146718010583,0.4289706115684996,0.4285852803473523,0.42691928947945046,0.42999942074391606,0.43504146718010583,0.43141607964519324,0.43128763590481073,0.4358222036412542,0.4393455917352751,0.4345226552091494,0.43270807256315796,0.43051445495780244,0.4310294891716891,0.43543183541068,0.4340038432381927,0.43193363236379306,0.4302563082246808,0.4347820611946276,0.4311591921644282,0.4366029401024026,0.42832839286658725,0.42283805259141555,0.4255127045970268,0.4234739750315444,0.4251298918805927,0.42144280098020204,0.4233467905435184,0.4311591921644282,0.4251298918805927,0.42935594278964684,0.42832839286658725,0.42871372408773456,0.43051445495780244,0.4356912413961582,0.4341335462309318,0.4358222036412542,0.43077134243856746,0.42691928947945046,0.4290990553088821,0.4375158980610032,0.42781587715741404,0.42986971775117694,0.4337444372527145,0.4270464739674761,0.43244992583003633,0.42602396105384316,0.42615114554186906,0.4234739750315444,0.42884216782811707
1118.250729,0.3242851853997246,0.3157159731124436,0.33053359559362416,0.3403142086480416,0.3474088364256374,0.3557110872132998,0.33739400243287543,0.37006404557486144,0.37052241343269665,0.37651393614583145,0.3767456385794625,0.37524083201321723,0.45312684952689886,0.4545951377748003,0.45633542453174697,0.43852833695578264,0.4421751317807592,0.449408277317591,0.4498049418099487,0.45593372302996266,0.46010310758296596,0.47004742344375317,0.4712865277627367,0.4718380802949672,0.4771042736506482,0.4490103535728767,0.4307965274857012,0.4441383062048402,0.446370960633253,0.4541946955253726,0.44466215518522356,0.4421751317807592,0.4408692870868709,0.44256675926368994,0.4268449935904057,0.43956847940240923,0.44466215518522356,0.445319484915416,0.4520615220331386,0.4547286185246098,0.4568718660356973,0.45983236832627733,0.4591586683154478,0.46118354610500667,0.45767778754397936,0.4590239283132818,0.472389632827198,0.4716995625357314,0.46689425554259933,0.47211385656108273,0.45740956679200423,0.45192930053568603,0.45286114727963717,0.45366077252613574,0.45192930053568603,0.4513978960411626,0.4551303200263941,0.4568718660356973,0.4511321937939006,0.4583502283024523,0.45660364528372216,0.4504685678019247,0.4591586683154478,0.456470164533913,0.4602378475851317,0.4582154883002863,0.4570066060378633,0.45499683927658463,0.45875444830895007,0.4535272917763266,0.44993716330740124,0.4513978960411626,0.4517958197858769,0.4410002493319666,0.4491438343226859,0.44152157980763673,0.4490103535728767,0.44335127348190834,0.4437454194695526,0.44821828384051826,0.44689858737070637,0.4521950027829477,0.45073301079682976,0.4491438343226859,0.45660364528372216,0.4544616570249912,0.4553985407783692,0.45553202152817834,0.44954049881504354,0.454328176275182,0.4520615220331386,0.4583502283024523,0.4515301175386149,0.44453119294012755,0.44954049881504354,0.44243579701859426,0.44309060824407326,0.4509987130440915,0.44782161934816056,0.4524619642825663,0.45406121477556344
