Wavelength (nm),Absorbance (AU) 2024-09-13 00:10:14,Absorbance (AU) 2024-09-13 00:25:28,Absorbance (AU) 2024-09-13 00:40:42,Absorbance (AU) 2024-09-13 00:55:56,Absorbance (AU) 2024-09-13 01:11:11,Absorbance (AU) 2024-09-13 01:26:25,Absorbance (AU) 2024-09-13 01:41:39,Absorbance (AU) 2024-09-13 01:56:53,Absorbance (AU) 2024-09-13 02:12:07,Absorbance (AU) 2024-09-13 02:27:21,Absorbance (AU) 2024-09-13 02:42:35,Absorbance (AU) 2024-09-13 02:57:50,Absorbance (AU) 2024-09-13 03:13:04,Absorbance (AU) 2024-09-13 03:28:18,Absorbance (AU) 2024-09-13 03:43:32,Absorbance (AU) 2024-09-13 03:58:46,Absorbance (AU) 2024-09-13 04:14:00,Absorbance (AU) 2024-09-13 04:29:15,Absorbance (AU) 2024-09-13 04:44:29,Absorbance (AU) 2024-09-13 04:59:43,Absorbance (AU) 2024-09-13 05:14:57,Absorbance (AU) 2024-09-13 05:30:11,Absorbance (AU) 2024-09-13 05:45:25,Absorbance (AU) 2024-09-13 06:00:40,Absorbance (AU) 2024-09-13 06:15:54,Absorbance (AU) 2024-09-13 06:31:08,Absorbance (AU) 2024-09-13 06:46:22,Absorbance (AU) 2024-09-13 07:01:36,Absorbance (AU) 2024-09-13 07:16:50,Absorbance (AU) 2024-09-13 07:32:04,Absorbance (AU) 2024-09-13 07:47:19,Absorbance (AU) 2024-09-13 08:02:33,Absorbance (AU) 2024-09-13 08:17:47,Absorbance (AU) 2024-09-13 08:33:01,Absorbance (AU) 2024-09-13 08:48:15,Absorbance (AU) 2024-09-13 09:03:29,Absorbance (AU) 2024-09-13 09:18:43,Absorbance (AU) 2024-09-13 09:33:58,Absorbance (AU) 2024-09-13 09:49:12,Absorbance (AU) 2024-09-13 10:04:26,Absorbance (AU) 2024-09-13 10:19:40,Absorbance (AU) 2024-09-13 10:34:54,Absorbance (AU) 2024-09-13 10:50:08,Absorbance (AU) 2024-09-13 11:05:23,Absorbance (AU) 2024-09-13 11:20:37,Absorbance (AU) 2024-09-13 11:35:51,Absorbance (AU) 2024-09-13 11:51:05,Absorbance (AU) 2024-09-13 12:06:19,Absorbance (AU) 2024-09-13 12:21:33,Absorbance (AU) 2024-09-13 12:36:47,Absorbance (AU) 2024-09-13 12:52:02,Absorbance (AU) 2024-09-13 13:07:16,Absorbance (AU) 2024-09-13 13:22:30,Absorbance (AU) 2024-09-13 13:37:44,Absorbance (AU) 2024-09-13 13:52:58,Absorbance (AU) 2024-09-13 14:08:12,Absorbance (AU) 2024-09-13 14:23:27,Absorbance (AU) 2024-09-13 14:38:41,Absorbance (AU) 2024-09-13 14:53:55,Absorbance (AU) 2024-09-13 15:09:09,Absorbance (AU) 2024-09-13 15:24:23,Absorbance (AU) 2024-09-13 15:39:37,Absorbance (AU) 2024-09-13 15:54:51
901.841506,-0.129146,-0.132875,-0.11889,-0.137439,-0.122484,-0.114582,-0.10977,-0.104205,-0.124271,-0.117308,-0.098332,-0.105371,-0.123155,-0.11889,-0.101396,-0.122484,-0.108617,-0.108386,-0.124939,-0.099984,-0.104672,-0.1021,-0.108155,-0.116401,-0.100691,-0.102569,-0.1021,-0.11481,-0.114126,-0.099984,-0.099277,-0.101865,-0.109079,-0.122261,-0.111839,-0.11138,-0.10022,-0.138518,-0.134184,-0.122261,-0.1276,-0.128925,-0.131124,-0.13614,-0.130466,-0.130685,-0.121589,-0.133094,-0.136357,-0.134837,-0.132219,-0.134837,-0.129366,-0.13614,-0.131343,-0.133748,-0.131124,-0.130246,-0.122932,-0.12605,-0.123379,-0.129806,-0.125383
904.394392,-0.122445,-0.118468,-0.117836,-0.114241,-0.098454,-0.10087,-0.101964,-0.098675,-0.114241,-0.109758,-0.096246,-0.090677,-0.127418,-0.114028,-0.105228,-0.109972,-0.093805,-0.104577,-0.114028,-0.100432,-0.105228,-0.090901,-0.103708,-0.10436,-0.095804,-0.098675,-0.101308,-0.106311,-0.109758,-0.097131,-0.099554,-0.095582,-0.108038,-0.102837,-0.109543,-0.106311,-0.09425,-0.120566,-0.127006,-0.118888,-0.132538,-0.125767,-0.124939,-0.118047,-0.1268,-0.122445,-0.122862,-0.122654,-0.119518,-0.12783,-0.121193,-0.119937,-0.118678,-0.118047,-0.117204,-0.12783,-0.12783,-0.117415,-0.127212,-0.123694,-0.122862,-0.129678,-0.126593
905.670145,-0.123179,-0.12073,-0.111211,-0.120115,-0.112465,-0.115583,-0.103401,-0.091963,-0.119089,-0.110164,-0.100195,-0.108273,-0.11991,-0.113298,-0.10404,-0.114338,-0.097612,-0.107218,-0.116617,-0.102762,-0.098259,-0.091088,-0.096964,-0.107429,-0.09718,-0.09955,-0.094145,-0.106373,-0.107429,-0.091963,-0.094362,-0.103188,-0.100624,-0.103188,-0.107429,-0.110793,-0.08845,-0.129643,-0.130244,-0.126826,-0.123585,-0.122771,-0.13423,-0.126625,-0.127028,-0.124398,-0.12884,-0.131843,-0.121547,-0.127028,-0.126221,-0.124804,-0.122975,-0.121343,-0.126221,-0.118472,-0.114338,-0.119089,-0.110583,-0.121547,-0.126018,-0.127028,-0.125614
908.220269,-0.112488,-0.123804,-0.108781,-0.106422,-0.091183,-0.105831,-0.098869,-0.093219,-0.109368,-0.101269,-0.089956,-0.082941,-0.116935,-0.105436,-0.11171,-0.109955,-0.095245,-0.104448,-0.105831,-0.09403,-0.091794,-0.098267,-0.085844,-0.102464,-0.088932,-0.098468,-0.085637,-0.101867,-0.107603,-0.089547,-0.091998,-0.096457,-0.089752,-0.097262,-0.096457,-0.09947,-0.08605,-0.123615,-0.124939,-0.125128,-0.120574,-0.119428,-0.12475,-0.123236,-0.124183,-0.114814,-0.121907,-0.119045,-0.118854,-0.12607,-0.115007,-0.117127,-0.117895,-0.115393,-0.127011,-0.119237,-0.121717,-0.114234,-0.122287,-0.118279,-0.114234,-0.111126,-0.114621
910.768552,-0.113439,-0.118278,-0.107086,-0.104334,-0.09315,-0.098218,-0.099151,-0.087257,-0.100267,-0.101565,-0.088976,-0.091068,-0.107816,-0.098592,-0.089738,-0.097284,-0.095973,-0.100081,-0.09691,-0.091258,-0.084183,-0.092015,-0.079532,-0.09541,-0.090308,-0.084761,-0.084954,-0.094658,-0.095973,-0.079142,-0.088785,-0.08783,-0.092961,-0.098778,-0.089166,-0.101935,-0.085338,-0.119878,-0.118099,-0.117743,-0.119701,-0.117564,-0.117743,-0.111633,-0.112898,-0.111814,-0.112898,-0.115058,-0.115417,-0.113439,-0.112176,-0.108728,-0.117386,-0.117207,-0.119345,-0.117921,-0.111633,-0.126923,-0.119701,-0.114699,-0.111814,-0.109456,-0.106537
913.314994,-0.1051,-0.108749,-0.112024,-0.111853,-0.106146,-0.095396,-0.094503,-0.096287,-0.10823,-0.103527,-0.092352,-0.0882,-0.115956,-0.102651,-0.099834,-0.104751,-0.093787,-0.100892,-0.108057,-0.090191,-0.088743,-0.093966,-0.091453,-0.09307,-0.087837,-0.089106,-0.081066,-0.101948,-0.096465,-0.085287,-0.089829,-0.085835,-0.088381,-0.098064,-0.098596,-0.096465,-0.084922,-0.117655,-0.119853,-0.124049,-0.11867,-0.114934,-0.117485,-0.116466,-0.119009,-0.114251,-0.115616,-0.115275,-0.120863,-0.119853,-0.112882,-0.11408,-0.116636,-0.112196,-0.120527,-0.11408,-0.110993,-0.117655,-0.117655,-0.113396,-0.117485,-0.1212,-0.111337
915.859594,-0.101595,-0.107765,-0.096662,-0.105826,-0.101432,-0.085098,-0.090667,-0.078251,-0.098313,-0.096,-0.082884,-0.076175,-0.105988,-0.092006,-0.090499,-0.100285,-0.081002,-0.082884,-0.089996,-0.087131,-0.083226,-0.080831,-0.085607,-0.087131,-0.081174,-0.075134,-0.079457,-0.096166,-0.096662,-0.070064,-0.084418,-0.079285,-0.087638,-0.087976,-0.09117,-0.090164,-0.072519,-0.106797,-0.112255,-0.107765,-0.106635,-0.109856,-0.108087,-0.109374,-0.100285,-0.106958,-0.112574,-0.105664,-0.104853,-0.103716,-0.107765,-0.109053,-0.111137,-0.107765,-0.109695,-0.105826,-0.105988,-0.101105,-0.112415,-0.101432,-0.102249,-0.10339,-0.106635
918.402353,-0.108924,-0.101606,-0.104579,-0.109078,-0.097346,-0.096394,-0.085777,-0.087078,-0.098929,-0.105825,-0.087565,-0.084799,-0.112154,-0.093204,-0.085777,-0.094642,-0.08724,-0.090313,-0.098929,-0.085614,-0.085451,-0.076228,-0.079545,-0.089991,-0.083164,-0.083328,-0.08218,-0.097663,-0.097188,-0.076727,-0.084799,-0.077558,-0.087565,-0.088537,-0.083655,-0.092724,-0.075395,-0.118845,-0.113225,-0.112614,-0.111847,-0.106912,-0.114142,-0.115056,-0.11108,-0.112307,-0.10567,-0.108924,-0.113378,-0.109387,-0.112614,-0.106447,-0.111234,-0.109078,-0.108615,-0.110926,-0.110157,-0.109541,-0.104267,-0.111694,-0.111847,-0.110311,-0.10567
920.943271,-0.090589,-0.092966,-0.084591,-0.089247,-0.078661,-0.080037,-0.073889,-0.065923,-0.0879,-0.083078,-0.063869,-0.059091,-0.086249,-0.079273,-0.074971,-0.074353,-0.065608,-0.07125,-0.07528,-0.0626,-0.067654,-0.063869,-0.061646,-0.077435,-0.064344,-0.0626,-0.067025,-0.080951,-0.075743,-0.064818,-0.058771,-0.064028,-0.069534,-0.076513,-0.073425,-0.070315,-0.060371,-0.09724,-0.099872,-0.094592,-0.097387,-0.097093,-0.089844,-0.091185,-0.093262,-0.094887,-0.092966,-0.092966,-0.091482,-0.089097,-0.09341,-0.0867,-0.095771,-0.092966,-0.096947,-0.095477,-0.09044,-0.094444,-0.090291,-0.088798,-0.090291,-0.090887,-0.08805
923.482347,-0.074606,-0.089531,-0.073573,-0.076371,-0.075048,-0.062195,-0.06582,-0.055776,-0.076371,-0.071351,-0.059913,-0.058997,-0.075048,-0.071499,-0.067022,-0.077837,-0.059456,-0.06582,-0.072537,-0.061891,-0.063709,-0.057926,-0.059913,-0.064766,-0.060675,-0.053925,-0.059303,-0.073277,-0.07031,-0.055314,-0.055314,-0.061131,-0.061891,-0.064766,-0.070161,-0.066421,-0.050354,-0.088532,-0.088675,-0.085236,-0.087246,-0.084661,-0.087246,-0.089246,-0.090811,-0.083218,-0.08235,-0.087675,-0.082784,-0.084661,-0.08394,-0.080899,-0.078568,-0.079298,-0.089103,-0.080754,-0.080463,-0.083218,-0.079298,-0.079006,-0.083507,-0.083073,-0.081915
