Wavelength (nm),Absorbance (AU) 2024-10-30 00:00:01,Absorbance (AU) 2024-10-30 00:15:12,Absorbance (AU) 2024-10-30 00:30:18,Absorbance (AU) 2024-10-30 00:45:24,Absorbance (AU) 2024-10-30 01:00:30,Absorbance (AU) 2024-10-30 01:15:36,Absorbance (AU) 2024-10-30 01:30:42,Absorbance (AU) 2024-10-30 01:45:48,Absorbance (AU) 2024-10-30 02:00:54,Absorbance (AU) 2024-10-30 02:16:00,Absorbance (AU) 2024-10-30 02:31:06,Absorbance (AU) 2024-10-30 02:46:12,Absorbance (AU) 2024-10-30 03:01:18,Absorbance (AU) 2024-10-30 03:16:24,Absorbance (AU) 2024-10-30 03:31:30,Absorbance (AU) 2024-10-30 03:46:36,Absorbance (AU) 2024-10-30 04:01:42,Absorbance (AU) 2024-10-30 04:16:48,Absorbance (AU) 2024-10-30 04:31:54,Absorbance (AU) 2024-10-30 04:47:00,Absorbance (AU) 2024-10-30 05:02:06,Absorbance (AU) 2024-10-30 05:17:12,Absorbance (AU) 2024-10-30 05:32:18,Absorbance (AU) 2024-10-30 05:47:24,Absorbance (AU) 2024-10-30 06:02:30,Absorbance (AU) 2024-10-30 06:17:36,Absorbance (AU) 2024-10-30 06:32:42,Absorbance (AU) 2024-10-30 06:47:48,Absorbance (AU) 2024-10-30 07:02:54,Absorbance (AU) 2024-10-30 07:18:00,Absorbance (AU) 2024-10-30 07:33:06,Absorbance (AU) 2024-10-30 07:48:12,Absorbance (AU) 2024-10-30 08:03:18,Absorbance (AU) 2024-10-30 08:18:24,Absorbance (AU) 2024-10-30 08:33:30,Absorbance (AU) 2024-10-30 08:48:36,Absorbance (AU) 2024-10-30 09:03:42,Absorbance (AU) 2024-10-30 09:18:48,Absorbance (AU) 2024-10-30 09:33:54,Absorbance (AU) 2024-10-30 09:49:00,Absorbance (AU) 2024-10-30 10:04:06,Absorbance (AU) 2024-10-30 10:19:11,Absorbance (AU) 2024-10-30 10:34:17,Absorbance (AU) 2024-10-30 10:49:24,Absorbance (AU) 2024-10-30 11:04:30,Absorbance (AU) 2024-10-30 11:19:36,Absorbance (AU) 2024-10-30 11:34:42,Absorbance (AU) 2024-10-30 11:49:48,Absorbance (AU) 2024-10-30 12:04:54,Absorbance (AU) 2024-10-30 12:19:59,Absorbance (AU) 2024-10-30 12:35:05,Absorbance (AU) 2024-10-30 12:50:11,Absorbance (AU) 2024-10-30 13:05:17,Absorbance (AU) 2024-10-30 13:20:23,Absorbance (AU) 2024-10-30 13:35:29,Absorbance (AU) 2024-10-30 13:50:35,Absorbance (AU) 2024-10-30 14:05:41,Absorbance (AU) 2024-10-30 14:20:47,Absorbance (AU) 2024-10-30 14:35:53,Absorbance (AU) 2024-10-30 14:50:59,Absorbance (AU) 2024-10-30 15:06:05,Absorbance (AU) 2024-10-30 15:21:11,Absorbance (AU) 2024-10-30 15:36:17,Absorbance (AU) 2024-10-30 15:51:23,Absorbance (AU) 2024-10-30 16:06:29,Absorbance (AU) 2024-10-30 16:21:35,Absorbance (AU) 2024-10-30 16:36:41,Absorbance (AU) 2024-10-30 16:51:47,Absorbance (AU) 2024-10-30 17:06:53
901.841506,1.700153,1.70387,1.702131,1.704867,1.700153,1.705866,1.703373,1.706616,1.700647,1.717009,1.71624,1.708625,1.708373,1.716496,1.715472,1.716496,1.712923,1.725296,1.723991,1.71855,1.721391,1.709885,1.714706,1.713686,1.723991,1.715984,1.72191,1.723991,1.712669,1.717779,1.736419,1.709632,1.719581,1.728445,1.724251,1.726868,1.73884,1.715217,1.722949,1.725296,1.723469,1.714961,1.731617,1.738031,1.730028,1.735079,1.7383,1.717779,1.722429,1.718808,1.735347,1.738031,1.737762,1.734278,1.71984,1.735882,1.728182,1.725557,1.728972,1.719581,1.720356,1.721132,1.728972,1.725819,1.721651,1.734812,1.722689,1.725034,1.71855
904.394392,1.697073,1.698246,1.70131,1.701074,1.70392,1.70392,1.702495,1.703444,1.70991,1.704635,1.703444,1.698716,1.704873,1.708946,1.713301,1.711845,1.703682,1.710152,1.710877,1.712087,1.71574,1.711845,1.720411,1.71574,1.71574,1.721897,1.716964,1.723387,1.717455,1.718684,1.709428,1.720164,1.71574,1.723387,1.727639,1.727388,1.710393,1.722641,1.714763,1.723885,1.72289,1.723387,1.727137,1.712087,1.720164,1.727137,1.722145,1.724135,1.71967,1.721649,1.722145,1.718684,1.726886,1.731426,1.715251,1.730919,1.727388,1.723387,1.709187,1.725383,1.727137,1.732695,1.712087,1.71721,1.732949,1.716719,1.711845,1.716474,1.716474
905.670145,1.690311,1.68986,1.686043,1.692574,1.698514,1.701052,1.701283,1.695534,1.701052,1.698975,1.712303,1.699666,1.692574,1.70059,1.711591,1.710644,1.702907,1.707814,1.709698,1.707814,1.707814,1.712065,1.709935,1.713491,1.708991,1.71254,1.717078,1.709227,1.717318,1.717078,1.70852,1.72925,1.722149,1.717799,1.718039,1.708755,1.725808,1.718521,1.712065,1.723365,1.722149,1.71088,1.73123,1.717078,1.712778,1.728757,1.729992,1.7154,1.722392,1.721663,1.719968,1.724096,1.714922,1.715879,1.724829,1.724096,1.726298,1.714445,1.721663,1.725808,1.716358,1.717318,1.717318,1.723609,1.722392,1.719485,1.713491,1.7154,1.709463
908.220269,1.677965,1.691598,1.685795,1.686222,1.687078,1.685581,1.690518,1.685795,1.689655,1.693985,1.695292,1.708138,1.691815,1.698359,1.696604,1.700562,1.699239,1.703443,1.705449,1.705226,1.701225,1.710392,1.711071,1.712204,1.715392,1.70612,1.710166,1.706568,1.704111,1.707689,1.711977,1.709038,1.702333,1.709038,1.707914,1.710844,1.710844,1.716307,1.716536,1.713795,1.712431,1.716307,1.715163,1.716536,1.714023,1.714251,1.722769,1.716078,1.718604,1.715849,1.722304,1.713112,1.714707,1.710618,1.720913,1.709715,1.723001,1.717684,1.717224,1.709489,1.715849,1.708813,1.716766,1.714023,1.707689,1.705003,1.714935,1.707016,1.709489
910.768552,1.684352,1.681922,1.683946,1.679707,1.682528,1.68031,1.684961,1.692964,1.684555,1.683946,1.69504,1.686591,1.696917,1.689869,1.691104,1.701962,1.694209,1.699222,1.693379,1.690898,1.692964,1.703869,1.702597,1.694209,1.701751,1.704294,1.708138,1.692343,1.701328,1.708567,1.703869,1.703657,1.704294,1.701117,1.698382,1.713315,1.702597,1.699432,1.713315,1.705998,1.711366,1.711583,1.706639,1.707067,1.70728,1.709426,1.710935,1.718776,1.713315,1.707495,1.710503,1.704294,1.707709,1.705145,1.706425,1.713533,1.720317,1.713098,1.703445,1.708138,1.696917,1.699853,1.707067,1.710503,1.700485,1.698382,1.69629,1.703869,1.706639
913.314994,1.676126,1.681089,1.680897,1.687472,1.679173,1.683013,1.681858,1.690993,1.684559,1.688447,1.680322,1.691976,1.688447,1.693752,1.695138,1.691779,1.691779,1.696329,1.689229,1.695932,1.694147,1.699723,1.71233,1.699923,1.701128,1.696926,1.702941,1.707202,1.699723,1.700124,1.702538,1.698722,1.700525,1.70153,1.70456,1.707202,1.706998,1.703143,1.703345,1.703143,1.705371,1.715643,1.710682,1.709041,1.713156,1.706591,1.709041,1.710682,1.712743,1.715228,1.703548,1.704357,1.70153,1.699923,1.72277,1.707814,1.709861,1.709861,1.702538,1.712123,1.707202,1.710477,1.71233,1.709041,1.704762,1.698922,1.707202,1.702135,1.698722
915.859594,1.68092,1.681464,1.686029,1.685662,1.691571,1.688238,1.6875,1.68201,1.684563,1.6875,1.69662,1.688976,1.692129,1.697185,1.702681,1.696432,1.699072,1.689716,1.702681,1.696432,1.699829,1.694556,1.700778,1.700398,1.69775,1.702681,1.703063,1.705551,1.702109,1.707283,1.706128,1.700588,1.699829,1.701919,1.702109,1.704976,1.715259,1.708441,1.709021,1.711155,1.704018,1.708055,1.708828,1.710378,1.709408,1.718016,1.715063,1.712519,1.713887,1.716242,1.708634,1.707669,1.712714,1.715652,1.706705,1.705743,1.710184,1.710572,1.711934,1.711544,1.712324,1.707283,1.718807,1.707476,1.708441,1.708248,1.708248,1.708248,1.709215
918.402353,1.68423,1.6933,1.689265,1.692772,1.695243,1.69542,1.691541,1.69542,1.694182,1.697729,1.707088,1.698442,1.695243,1.701664,1.705092,1.708364,1.705454,1.708181,1.708729,1.700229,1.70727,1.699334,1.71591,1.71295,1.707088,1.702203,1.709826,1.710192,1.704368,1.715354,1.72039,1.706725,1.718892,1.711845,1.715725,1.717212,1.712581,1.710192,1.718144,1.710009,1.719827,1.718892,1.715354,1.714983,1.724916,1.721893,1.725485,1.726435,1.717585,1.717398,1.711845,1.721141,1.730832,1.724347,1.714058,1.714428,1.71295,1.718518,1.720202,1.712213,1.711477,1.715168,1.712397,1.715168,1.718144,1.716096,1.706906,1.711477,1.711477
920.943271,1.701867,1.703904,1.701528,1.701528,1.704074,1.705439,1.708352,1.704415,1.70818,1.710765,1.711631,1.713888,1.711457,1.711457,1.713366,1.713888,1.717385,1.712151,1.71985,1.717912,1.713366,1.721974,1.718792,1.714586,1.720026,1.726252,1.71844,1.718616,1.717385,1.731117,1.724286,1.719321,1.721087,1.73622,1.715633,1.721619,1.721087,1.721619,1.728948,1.719321,1.726252,1.723573,1.728768,1.728768,1.725357,1.73567,1.728408,1.736037,1.732024,1.725357,1.727149,1.72967,1.72697,1.72697,1.735487,1.72985,1.734208,1.731661,1.731298,1.726611,1.721619,1.724286,1.73622,1.72679,1.729128,1.722328,1.719673,1.730393,1.729309
923.482347,1.714952,1.726648,1.724981,1.721337,1.726982,1.729328,1.73593,1.731517,1.730674,1.736101,1.730842,1.732532,1.736442,1.733548,1.737297,1.740733,1.73287,1.741596,1.739527,1.743327,1.744544,1.740733,1.749091,1.733548,1.74125,1.742288,1.745763,1.74125,1.741942,1.745066,1.743848,1.75156,1.737126,1.741769,1.745066,1.747512,1.749619,1.74524,1.745066,1.748389,1.748389,1.746987,1.759951,1.75156,1.748916,1.751914,1.74874,1.753687,1.750853,1.751737,1.747512,1.752091,1.753332,1.750677,1.751737,1.745415,1.754576,1.751914,1.753509,1.748389,1.746113,1.751383,1.745066,1.745589,1.746637,1.749091,1.750324,1.737126,1.742634
