Wavelength (nm),Absorbance (AU) 2024-09-12 23:57:03
901.841506,0.16245944958858788
904.394392,0.18351209530152318
905.670145,0.19333147141598814
908.220269,0.19086890669645734
910.768552,0.20286753174211014
913.314994,0.20555970309579563
915.859594,0.21266005327948095
918.402353,0.20738447160934106
920.943271,0.23632296388596472
923.482347,0.24329575482845298
926.019582,0.2575488216211571
928.554976,0.2700227726813758
931.088528,0.2890264141620298
933.620239,0.3021153350377038
936.150109,0.33541769609212196
938.678137,0.3637371903667261
941.204324,0.3742802973338776
943.72867,0.40494956710421726
946.251174,0.43354566352289087
948.771837,0.43946441231443484
951.290658,0.443044127441081
953.807639,0.4595610350828195
956.322778,0.46211356263561565
958.836075,0.45768792833050465
961.347531,0.46645729048058954
963.857146,0.46960330418716567
966.36492,0.46576309966270657
968.870852,0.46386716651986165
971.374943,0.46904070079704385
973.877192,0.4620907362450856
976.3776,0.45434856166885085
978.876167,0.4456852750982878
981.372892,0.4444204245171547
983.867776,0.4256383332975272
986.360819,0.4352885255762992
987.60665,0.42443659097256536
990.096931,0.4164312415408082
992.58537,0.40721206522439685
995.071968,0.39329870883193335
997.556725,0.3764219498571337
1000.03964,0.37366532751842224
1002.520714,0.36249113798955895
1004.999947,0.3531215760414205
1007.477338,0.34038579285453413
1009.952888,0.3387006681418781
1012.426597,0.32307936064622855
1014.898464,0.30586020581347884
1017.36849,0.3089860785872344
1019.836674,0.294382559563452
1022.303017,0.28448799063312347
1024.767519,0.27499624035920683
1027.23018,0.2669774636389026
1029.690999,0.2640221174296947
1032.149977,0.2536065697037403
1034.607113,0.25104061486239715
1037.062409,0.248565965583174
1039.515862,0.24323264657228175
1041.967475,0.22418738049713194
1044.417246,0.2309923303327819
1046.865176,0.2194811158613874
1049.311264,0.22711990031580984
1051.755511,0.21748313532558486
1054.197917,0.2258590779212409
1056.638481,0.21780270479300493
1059.077204,0.21830622811351968
1061.514086,0.22628472296818272
1063.949127,0.2171541667561819
1066.382326,0.22130454164607816
1067.598235,0.22475938298923667
1070.028672,0.22474461297183493
1072.457267,0.22685941091799686
1074.884022,0.2346808064966593
1077.308934,0.24168313747395107
1079.732006,0.23878955679205965
1082.153236,0.24678550712183384
1084.572625,0.25052366425333533
1086.990173,0.2576616108449524
1089.405879,0.2580174339914495
1091.819744,0.26838061529207036
1094.231768,0.27819193503340706
1096.64195,0.282841805057254
1099.050291,0.2864564311341225
1101.45679,0.2944993769738114
1103.861448,0.30321234451199863
1106.264265,0.3088853739231315
1108.665241,0.31925929705459
1111.064375,0.34459659054289216
1113.461668,0.35057844759060736
1115.857119,0.3780211399230885
1118.250729,0.3993477023223838
1120.642498,0.42242652587707047
1123.032425,0.46304004554536277
1125.420511,0.5112695232775475
1127.806756,0.5512801576900768
1130.191159,0.5948100844307904
1132.573721,0.6315619159129483
1134.954442,0.6635309472146432
1137.333321,0.6931649730380045
1139.710359,0.7153280555137819
1142.085556,0.7401000601542527
1144.458911,0.737464283412465
1145.644899,0.7476059144520592
1148.015492,0.7533084838979955
1150.384244,0.7620429350978581
1152.751154,0.7755266182568157
1155.116224,0.7708498936558748
1157.479452,0.7636998625045653
1159.840838,0.7629627043633317
1162.200383,0.7705585214944034
1164.558087,0.7782214750682107
1166.91395,0.7741019829419726
1169.267971,0.7828565750746558
1171.620151,0.7797172750123531
1173.970489,0.7889955313983716
1176.318986,0.7823839345177992
1178.665642,0.7914540679313382
1181.010457,0.7965953767160076
1183.35343,0.789276161729005
1185.694562,0.7869035598427396
1188.033852,0.7804920295615184
1190.371301,0.780261080198509
1192.706909,0.7834608030592735
1195.040675,0.7786605474036995
1197.3726,0.7762476636517928
1199.702684,0.7834299202956152
1202.030926,0.7781033149289964
1204.357327,0.787463477775152
1206.681887,0.7739784518873397
1209.004605,0.7709828238124906
1211.325482,0.7771634047307023
1213.644518,0.7727847659355062
1215.961712,0.761769018411498
1218.277065,0.7645712935312694
1220.590577,0.7662483618707973
1221.746642,0.7653930435903495
1224.057392,0.7658965669108643
1226.3663,0.7521416525232562
1228.673367,0.7583692289513825
1230.978592,0.7501315874277612
1233.281976,0.7510929812877306
1235.583519,0.7553534599437128
1237.883221,0.7454347218939996
1240.181081,0.7453487872472984
1242.4771,0.7443806797430553
1244.771277,0.7461181708810449
1247.063613,0.7468902399725009
1249.354108,0.7440906503104389
1251.642762,0.740574043439964
1253.929574,0.7363028229531441
1256.214544,0.7483403871355835
1258.497674,0.7430231808709477
1260.778962,0.744136303091499
1263.058409,0.7416092873869422
1265.336014,0.7507760972780201
1267.611778,0.7477361591509657
1269.885701,0.7578536210711755
1272.157782,0.7600812082411326
1274.428022,0.7699878617311535
1276.696421,0.7671372483726125
1278.962978,0.7701543601091371
1281.227694,0.7868659634348079
1283.490568,0.7840408619245064
1285.751602,0.7923980063161966
1288.010794,0.8103140374245387
1290.268144,0.8262602853030271
1292.523653,0.8270122134616624
1293.650717,0.8318594646271511
1295.903465,0.837258577351924
1298.154371,0.8450920574902786
1300.403435,0.8553263368208477
1302.650658,0.8646395041570886
1304.89604,0.8723615378005027
1307.139581,0.8872497153414829
1309.38128,0.8807213676499022
1311.621137,0.8909650460824544
1313.859154,0.9065272735084968
1316.095329,0.9115450512385331
1318.329663,0.9147716286763917
1320.562155,0.915696768857284
1322.792806,0.9227299825982341
1325.021616,0.9185675231486454
1327.248584,0.9231247448815176
1329.473711,0.929955206565407
1331.696997,0.9377161793456078
1333.918441,0.9390414527252026
1336.138044,0.9335886308462416
1338.355806,0.9330851075257267
1340.571726,0.9324217994715019
