Wavelength (nm),Absorbance (AU) 2024-09-27 00:00:04,Absorbance (AU) 2024-09-27 00:15:10,Absorbance (AU) 2024-09-27 00:30:16,Absorbance (AU) 2024-09-27 00:45:22,Absorbance (AU) 2024-09-27 01:00:28,Absorbance (AU) 2024-09-27 01:15:34,Absorbance (AU) 2024-09-27 01:30:40,Absorbance (AU) 2024-09-27 01:45:46,Absorbance (AU) 2024-09-27 02:00:52,Absorbance (AU) 2024-09-27 02:15:58,Absorbance (AU) 2024-09-27 02:31:04,Absorbance (AU) 2024-09-27 02:46:10,Absorbance (AU) 2024-09-27 03:01:16,Absorbance (AU) 2024-09-27 03:16:22,Absorbance (AU) 2024-09-27 03:31:28,Absorbance (AU) 2024-09-27 03:46:34,Absorbance (AU) 2024-09-27 04:01:40,Absorbance (AU) 2024-09-27 04:16:46,Absorbance (AU) 2024-09-27 04:31:52,Absorbance (AU) 2024-09-27 04:46:57,Absorbance (AU) 2024-09-27 05:02:03,Absorbance (AU) 2024-09-27 05:17:09,Absorbance (AU) 2024-09-27 05:32:15,Absorbance (AU) 2024-09-27 05:47:21,Absorbance (AU) 2024-09-27 06:02:27,Absorbance (AU) 2024-09-27 06:17:33,Absorbance (AU) 2024-09-27 06:32:39,Absorbance (AU) 2024-09-27 06:47:45,Absorbance (AU) 2024-09-27 07:02:51,Absorbance (AU) 2024-09-27 07:17:57,Absorbance (AU) 2024-09-27 07:33:03,Absorbance (AU) 2024-09-27 07:48:09,Absorbance (AU) 2024-09-27 08:03:15,Absorbance (AU) 2024-09-27 08:18:21,Absorbance (AU) 2024-09-27 08:33:27,Absorbance (AU) 2024-09-27 08:48:33,Absorbance (AU) 2024-09-27 09:03:39,Absorbance (AU) 2024-09-27 09:18:45,Absorbance (AU) 2024-09-27 09:33:51,Absorbance (AU) 2024-09-27 09:48:57,Absorbance (AU) 2024-09-27 10:04:03,Absorbance (AU) 2024-09-27 10:19:09,Absorbance (AU) 2024-09-27 10:34:15,Absorbance (AU) 2024-09-27 10:49:21,Absorbance (AU) 2024-09-27 11:04:27,Absorbance (AU) 2024-09-27 11:19:33,Absorbance (AU) 2024-09-27 11:34:39,Absorbance (AU) 2024-09-27 11:49:45,Absorbance (AU) 2024-09-27 12:04:51,Absorbance (AU) 2024-09-27 12:19:57,Absorbance (AU) 2024-09-27 12:35:03,Absorbance (AU) 2024-09-27 12:50:10,Absorbance (AU) 2024-09-27 13:05:15,Absorbance (AU) 2024-09-27 13:20:22,Absorbance (AU) 2024-09-27 13:35:28,Absorbance (AU) 2024-09-27 13:50:34,Absorbance (AU) 2024-09-27 14:05:40,Absorbance (AU) 2024-09-27 14:20:46,Absorbance (AU) 2024-09-27 14:35:52,Absorbance (AU) 2024-09-27 14:50:58,Absorbance (AU) 2024-09-27 15:06:04,Absorbance (AU) 2024-09-27 15:21:10,Absorbance (AU) 2024-09-27 15:36:16,Absorbance (AU) 2024-09-27 15:51:22,Absorbance (AU) 2024-09-27 16:06:28,Absorbance (AU) 2024-09-27 16:21:34
1365.922463,2.227804,2.23042,2.227315,2.234209,2.235368,2.235866,2.236697,2.239535,2.234043,2.236531,2.241887,2.239703,2.243067,2.239201,2.247992,2.236199,2.228456,2.223909,2.232393,2.226827,2.232887,2.22862,2.236697,2.23042,2.227315,2.230748,2.228946,2.227478,2.228293,2.228456,2.23042,2.226339,2.227152,2.21829,2.223586,2.225527,2.219568,2.226339,2.213532,2.216222,2.217494,2.214163,2.210545,2.216698,2.211486,2.214796,2.217175,2.216539,2.217812,2.211957,2.221974,2.227152,2.221171,2.217175,2.215271,2.218769,2.22407,2.217175,2.209137,2.214954,2.217971,2.209606,2.212744,2.215746,2.213532,2.215587
1368.115367,2.230147,2.225571,2.231794,2.23677,2.23627,2.234939,2.241467,2.24113,2.237104,2.236603,2.237772,2.24248,2.243157,2.245704,2.243835,2.229983,2.233446,2.224921,2.234939,2.223138,2.234773,2.228671,2.230805,2.23677,2.231134,2.230147,2.223138,2.224758,2.235271,2.227526,2.225733,2.225896,2.224758,2.225896,2.225408,2.226384,2.229819,2.224596,2.217676,2.209765,2.218635,2.214494,2.216082,2.217835,2.214177,2.221525,2.218155,2.217676,2.220559,2.222492,2.217835,2.218635,2.221525,2.213702,2.216719,2.217676,2.217516,2.219435,2.217835,2.212123,2.2082,2.214019,2.215287,2.217356,2.212123,2.213702
1370.306429,2.226812,2.231582,2.232575,2.236739,2.23407,2.232741,2.241281,2.237577,2.237409,2.241789,2.23607,2.240099,2.244677,2.244507,2.247928,2.235569,2.231086,2.238752,2.230756,2.231913,2.231086,2.229602,2.224691,2.235903,2.229766,2.228779,2.230096,2.230591,2.230756,2.230426,2.231582,2.227959,2.228779,2.229437,2.230096,2.221447,2.226322,2.225832,2.212809,2.217587,2.209024,2.217267,2.215351,2.216467,2.219352,2.214237,2.218228,2.225342,2.222742,2.219191,2.226976,2.217587,2.216947,2.218228,2.217267,2.212651,2.224528,2.214396,2.220479,2.20981,2.217907,2.219513,2.214714,2.215988,2.216627,2.213602
1372.49565,2.223259,2.234309,2.234142,2.239518,2.23615,2.235312,2.240873,2.241891,2.233475,2.240364,2.244449,2.240026,2.242402,2.246333,2.249955,2.23548,2.231313,2.234643,2.229822,2.228502,2.236822,2.229327,2.225709,2.232309,2.235145,2.232475,2.230815,2.231147,2.228502,2.232642,2.234643,2.233641,2.235983,2.232475,2.224564,2.226364,2.225873,2.227021,2.22131,2.21953,2.220823,2.223259,2.223259,2.220823,2.219207,2.209634,2.216473,2.220176,2.21824,2.222446,2.223911,2.224564,2.22131,2.213438,2.222446,2.218401,2.226528,2.2205,2.220662,2.220176,2.212802,2.216954,2.217115,2.213597,2.216473,2.21312
1374.683029,2.233158,2.233492,2.237698,2.236011,2.231988,2.243998,2.240752,2.248481,2.236516,2.235002,2.240411,2.246579,2.245717,2.243656,2.244685,2.238883,2.239392,2.230988,2.225694,2.235842,2.23366,2.236685,2.234834,2.235842,2.230655,2.233325,2.230822,2.235842,2.231488,2.232823,2.234834,2.229327,2.239222,2.230489,2.231654,2.22883,2.228664,2.226187,2.210505,2.216259,2.220626,2.214814,2.221765,2.220138,2.219976,2.217065,2.21868,2.21642,2.218356,2.226023,2.220626,2.228167,2.225529,2.221765,2.221439,2.215134,2.227672,2.220301,2.221765,2.221928,2.221276,2.21771,2.220951,2.215456,2.216259,2.226023
1376.868567,2.226103,2.23009,2.238007,2.241763,2.24417,2.24348,2.248327,2.246937,2.239881,2.244687,2.240393,2.250246,2.24417,2.245032,2.24607,2.241077,2.243997,2.237667,2.238177,2.238687,2.235127,2.233778,2.234115,2.23361,2.233441,2.230759,2.238347,2.231763,2.238007,2.23462,2.225938,2.231763,2.235296,2.23009,2.228425,2.22019,2.228757,2.228092,2.218724,2.220679,2.226268,2.214839,2.215,2.2197,2.217425,2.225607,2.217912,2.222808,2.221006,2.220679,2.227262,2.223629,2.223301,2.222808,2.221333,2.216777,2.220843,2.22166,2.222316,2.221333,2.220679,2.220027,2.213712,2.205434,2.215968,2.216939
1379.052264,2.228835,2.225668,2.237623,2.235409,2.241912,2.238819,2.244159,2.251323,2.243293,2.249389,2.248338,2.247464,2.247289,2.240019,2.239162,2.235579,2.240706,2.2349,2.235749,2.240706,2.235409,2.233376,2.237452,2.237452,2.231015,2.233714,2.23152,2.237793,2.235409,2.23677,2.233883,2.234052,2.237281,2.226,2.231857,2.231015,2.225668,2.22917,2.223184,2.214195,2.221865,2.219402,2.224673,2.226167,2.216466,2.220222,2.229337,2.225336,2.221536,2.22203,2.226832,2.230008,2.226999,2.226,2.21728,2.224341,2.229505,2.224341,2.215329,2.225502,2.220222,2.215005,2.227832,2.219566,2.221865,2.219894
1381.234119,2.230822,2.233534,2.240735,2.243684,2.241774,2.244381,2.237806,2.248585,2.237634,2.243684,2.234896,2.244555,2.24351,2.251234,2.247706,2.235579,2.235408,2.230484,2.236777,2.239526,2.233534,2.232345,2.238321,2.230315,2.234214,2.237119,2.233364,2.236777,2.238837,2.236948,2.233704,2.234726,2.237291,2.234214,2.226283,2.237978,2.231837,2.235067,2.217345,2.220469,2.223117,2.214732,2.221625,2.22478,2.211972,2.224447,2.220634,2.222453,2.229977,2.230484,2.233194,2.228967,2.230484,2.227287,2.222288,2.218986,2.223948,2.223449,2.22779,2.224114,2.221956,2.221129,2.220964,2.221791,2.217509,2.217017
1383.414134,2.226844,2.23724,2.234489,2.241399,2.239835,2.241399,2.244545,2.247537,2.237585,2.238795,2.251084,2.249307,2.247537,2.245423,2.246126,2.234832,2.245071,2.243144,2.245599,2.236723,2.231926,2.23466,2.236206,2.237758,2.234146,2.232096,2.239835,2.233462,2.241051,2.236723,2.235518,2.23312,2.241573,2.234489,2.239141,2.237585,2.234146,2.228701,2.217845,2.222821,2.221156,2.225331,2.223656,2.222821,2.222655,2.224661,2.221489,2.230056,2.222321,2.224828,2.233291,2.225499,2.225163,2.21834,2.223322,2.219663,2.227013,2.221489,2.22099,2.223155,2.228025,2.220492,2.21834,2.216363,2.223824,2.225667
1385.592306,2.238659,2.242858,2.241279,2.24462,2.242155,2.246389,2.251202,2.250843,2.241804,2.245504,2.24515,2.244797,2.245858,2.249413,2.254079,2.240753,2.240753,2.242682,2.239705,2.240753,2.237963,2.238311,2.240404,2.235535,2.242155,2.23519,2.237615,2.240229,2.235708,2.242682,2.240928,2.244091,2.236401,2.241804,2.23295,2.233122,2.242155,2.236401,2.224947,2.221753,2.221418,2.222591,2.224947,2.228334,2.226976,2.223095,2.229697,2.22125,2.232091,2.23055,2.224778,2.234155,2.235881,2.224947,2.223431,2.216757,2.229015,2.228334,2.224778,2.22192,2.226637,2.223263,2.222088,2.226468,2.224272,2.220749
