Wavelength (nm),Absorbance (AU) 2024-09-27 00:01:09,Absorbance (AU) 2024-09-27 00:16:15,Absorbance (AU) 2024-09-27 00:31:21,Absorbance (AU) 2024-09-27 00:46:27,Absorbance (AU) 2024-09-27 01:01:33,Absorbance (AU) 2024-09-27 01:16:39,Absorbance (AU) 2024-09-27 01:31:45,Absorbance (AU) 2024-09-27 01:46:51,Absorbance (AU) 2024-09-27 02:01:57,Absorbance (AU) 2024-09-27 02:17:03,Absorbance (AU) 2024-09-27 02:32:09,Absorbance (AU) 2024-09-27 02:47:15,Absorbance (AU) 2024-09-27 03:02:21,Absorbance (AU) 2024-09-27 03:17:27,Absorbance (AU) 2024-09-27 03:32:33,Absorbance (AU) 2024-09-27 03:47:39,Absorbance (AU) 2024-09-27 04:02:45,Absorbance (AU) 2024-09-27 04:17:51,Absorbance (AU) 2024-09-27 04:32:57,Absorbance (AU) 2024-09-27 04:48:02,Absorbance (AU) 2024-09-27 05:03:08,Absorbance (AU) 2024-09-27 05:18:14,Absorbance (AU) 2024-09-27 05:33:20,Absorbance (AU) 2024-09-27 05:48:26,Absorbance (AU) 2024-09-27 06:03:31,Absorbance (AU) 2024-09-27 06:18:38,Absorbance (AU) 2024-09-27 06:33:44,Absorbance (AU) 2024-09-27 06:48:50,Absorbance (AU) 2024-09-27 07:03:56,Absorbance (AU) 2024-09-27 07:19:02,Absorbance (AU) 2024-09-27 07:34:08,Absorbance (AU) 2024-09-27 07:49:14,Absorbance (AU) 2024-09-27 08:04:20,Absorbance (AU) 2024-09-27 08:19:26,Absorbance (AU) 2024-09-27 08:34:32,Absorbance (AU) 2024-09-27 08:49:38,Absorbance (AU) 2024-09-27 09:04:44,Absorbance (AU) 2024-09-27 09:19:50,Absorbance (AU) 2024-09-27 09:34:56,Absorbance (AU) 2024-09-27 09:50:02,Absorbance (AU) 2024-09-27 10:05:08,Absorbance (AU) 2024-09-27 10:20:14,Absorbance (AU) 2024-09-27 10:35:20,Absorbance (AU) 2024-09-27 10:50:26,Absorbance (AU) 2024-09-27 11:05:32,Absorbance (AU) 2024-09-27 11:20:38,Absorbance (AU) 2024-09-27 11:35:44,Absorbance (AU) 2024-09-27 11:50:50,Absorbance (AU) 2024-09-27 12:05:56,Absorbance (AU) 2024-09-27 12:21:02,Absorbance (AU) 2024-09-27 12:36:08,Absorbance (AU) 2024-09-27 12:51:14,Absorbance (AU) 2024-09-27 13:06:20,Absorbance (AU) 2024-09-27 13:21:26,Absorbance (AU) 2024-09-27 13:36:32,Absorbance (AU) 2024-09-27 13:51:38,Absorbance (AU) 2024-09-27 14:06:45,Absorbance (AU) 2024-09-27 14:21:51,Absorbance (AU) 2024-09-27 14:36:57,Absorbance (AU) 2024-09-27 14:52:03,Absorbance (AU) 2024-09-27 15:07:09,Absorbance (AU) 2024-09-27 15:22:15,Absorbance (AU) 2024-09-27 15:37:21,Absorbance (AU) 2024-09-27 15:52:27,Absorbance (AU) 2024-09-27 16:07:33,Absorbance (AU) 2024-09-27 16:22:39
901.841506,1.649439,1.668286,1.67522,1.669664,1.673128,1.672896,1.678025,1.679905,1.674289,1.675919,1.688948,1.694271,1.691117,1.685833,1.67662,1.666683,1.67336,1.681084,1.665543,1.673592,1.666912,1.670124,1.679905,1.668286,1.67779,1.683214,1.678259,1.676386,1.678729,1.672201,1.674521,1.67522,1.672896,1.665087,1.675453,1.666683,1.675453,1.666455,1.668744,1.678964,1.674056,1.669664,1.665999,1.66327,1.664178,1.684403,1.678729,1.68274,1.670124,1.680848,1.685356,1.696712,1.671277,1.670585,1.671046,1.669664,1.682266,1.667827,1.665087,1.674289,1.666683,1.67522,1.679669,1.672664,1.667369,1.670354
904.394392,1.65449,1.652794,1.663502,1.664153,1.669396,1.66633,1.668518,1.679401,1.674926,1.670937,1.669616,1.678278,1.683014,1.683468,1.680752,1.669176,1.66524,1.668957,1.669616,1.66524,1.66786,1.661771,1.655553,1.667422,1.675371,1.672041,1.668957,1.669176,1.660477,1.658758,1.665022,1.671599,1.66437,1.665022,1.671379,1.666548,1.672484,1.670496,1.65449,1.672927,1.663285,1.668518,1.670496,1.66633,1.655127,1.67604,1.674036,1.668737,1.677829,1.680527,1.662419,1.679401,1.671599,1.66633,1.665894,1.670276,1.677605,1.670496,1.667204,1.675594,1.673148,1.666766,1.663069,1.667204,1.656832,1.66437
905.670145,1.649617,1.652504,1.654162,1.665952,1.668306,1.673052,1.677632,1.673921,1.683814,1.677632,1.673486,1.674573,1.682039,1.673269,1.67851,1.668735,1.662762,1.664035,1.664035,1.666806,1.665099,1.663186,1.666165,1.673704,1.662127,1.667234,1.661916,1.667663,1.665312,1.658336,1.659596,1.666806,1.664673,1.664461,1.662551,1.672185,1.67132,1.668735,1.670673,1.660017,1.665312,1.659596,1.663186,1.661493,1.670673,1.662762,1.672835,1.667663,1.665525,1.677413,1.677632,1.679389,1.66702,1.668735,1.664673,1.661493,1.680271,1.663398,1.668306,1.662551,1.670457,1.666593,1.666165,1.665739,1.669165,1.660228
908.220269,1.63431,1.645451,1.659089,1.655888,1.657286,1.668835,1.667196,1.67234,1.665358,1.667196,1.670481,1.668015,1.66781,1.673376,1.68218,1.647793,1.659089,1.654893,1.663529,1.663326,1.652513,1.661909,1.662313,1.662718,1.662718,1.661505,1.662516,1.656686,1.661707,1.658086,1.661909,1.661505,1.656487,1.658888,1.663326,1.659491,1.664951,1.661303,1.652315,1.651525,1.663529,1.655291,1.656886,1.660295,1.655689,1.664951,1.662111,1.663326,1.669246,1.669657,1.672754,1.677337,1.662313,1.657886,1.656287,1.663529,1.669452,1.664341,1.67234,1.661707,1.650737,1.661303,1.661909,1.663935,1.658688,1.658487
910.768552,1.632365,1.642941,1.650387,1.648326,1.651892,1.660454,1.651892,1.669385,1.660839,1.658919,1.661416,1.658728,1.660454,1.66354,1.668601,1.651327,1.655486,1.655866,1.653969,1.65378,1.64814,1.651703,1.655486,1.65739,1.645904,1.655676,1.64758,1.653213,1.647953,1.6572,1.652646,1.655296,1.656057,1.651703,1.651892,1.650387,1.648326,1.65208,1.65208,1.639448,1.649637,1.649824,1.649075,1.650951,1.659686,1.650012,1.66007,1.669189,1.653213,1.663733,1.665285,1.658919,1.651139,1.654348,1.655107,1.650387,1.670563,1.650575,1.6572,1.659686,1.655866,1.651327,1.654537,1.654537,1.650763,1.65378
913.314994,1.630919,1.637816,1.645884,1.646593,1.65087,1.651228,1.656276,1.657911,1.656639,1.65087,1.659187,1.661017,1.663222,1.661751,1.667853,1.646061,1.64944,1.647836,1.648548,1.641305,1.647658,1.653385,1.647658,1.637816,1.653205,1.64837,1.652485,1.64553,1.648192,1.650691,1.65519,1.643941,1.643941,1.655552,1.641305,1.645353,1.648905,1.651228,1.651946,1.646239,1.645,1.645353,1.648726,1.651587,1.654467,1.64677,1.651766,1.652485,1.672158,1.666737,1.658822,1.663222,1.649261,1.651228,1.647125,1.644647,1.659005,1.647303,1.64944,1.645177,1.647658,1.647658,1.649618,1.653925,1.649261,1.649261
915.859594,1.635816,1.64407,1.643903,1.653504,1.654356,1.656752,1.654698,1.654186,1.657783,1.654356,1.663496,1.662278,1.663148,1.659679,1.664019,1.652143,1.648761,1.651295,1.64407,1.649604,1.644904,1.648761,1.645572,1.642074,1.651126,1.656066,1.656923,1.643736,1.64357,1.653504,1.651465,1.652823,1.650787,1.646242,1.648088,1.655724,1.65521,1.653334,1.643237,1.651634,1.64893,1.645405,1.655039,1.650787,1.650449,1.65521,1.653163,1.66141,1.662452,1.670524,1.665242,1.66089,1.655039,1.647752,1.649942,1.64893,1.658988,1.650957,1.646744,1.652653,1.651465,1.649098,1.654698,1.652143,1.653163,1.649773
918.402353,1.634692,1.645292,1.646398,1.660713,1.661859,1.658918,1.66482,1.662187,1.666474,1.662023,1.661695,1.663501,1.664325,1.666308,1.665977,1.655511,1.655996,1.653416,1.647507,1.655027,1.647983,1.65632,1.651171,1.645292,1.65535,1.649734,1.658429,1.657455,1.654866,1.655673,1.65406,1.643717,1.649734,1.658104,1.655673,1.656644,1.649415,1.653095,1.651651,1.648142,1.646715,1.651331,1.652934,1.652773,1.654543,1.65957,1.661367,1.662679,1.666971,1.66515,1.664655,1.666639,1.656158,1.652613,1.656158,1.659081,1.665646,1.65535,1.655027,1.658104,1.661203,1.655188,1.655835,1.65632,1.650691,1.660876
920.943271,1.644659,1.654267,1.658845,1.665804,1.673669,1.667365,1.67161,1.670191,1.672401,1.671137,1.672876,1.673351,1.670506,1.6751,1.676695,1.658998,1.659306,1.666272,1.66596,1.658998,1.659459,1.657161,1.664403,1.66487,1.662852,1.667678,1.66596,1.665181,1.659306,1.661924,1.65655,1.662543,1.665648,1.662697,1.666272,1.664248,1.664714,1.665181,1.658692,1.658079,1.657008,1.665181,1.663317,1.664092,1.669404,1.661152,1.673351,1.677655,1.669876,1.672401,1.679904,1.678297,1.677175,1.663627,1.66674,1.65992,1.669247,1.662233,1.661461,1.663937,1.66596,1.668619,1.663472,1.664403,1.665492,1.664248
923.482347,1.666553,1.675662,1.675217,1.685726,1.684815,1.68527,1.686639,1.692464,1.69463,1.689695,1.69634,1.691077,1.689695,1.691539,1.694785,1.68089,1.68089,1.67954,1.681492,1.678343,1.681041,1.684361,1.679241,1.685726,1.686334,1.677299,1.686334,1.684361,1.687401,1.681944,1.675959,1.681642,1.683604,1.682547,1.681492,1.681492,1.686943,1.67954,1.67969,1.676257,1.676852,1.677299,1.68044,1.67984,1.681041,1.683604,1.693237,1.694941,1.695873,1.688317,1.692619,1.694785,1.685726,1.681642,1.678343,1.682547,1.691231,1.682245,1.686334,1.687401,1.675069,1.676108,1.685726,1.691077,1.684664,1.677895
