Wavelength (nm),Absorbance (AU) 2024-11-12 14:45:39,Absorbance (AU) 2024-11-12 15:00:45,Absorbance (AU) 2024-11-12 15:15:51,Absorbance (AU) 2024-11-12 15:30:57,Absorbance (AU) 2024-11-12 15:46:03,Absorbance (AU) 2024-11-12 16:01:09,Absorbance (AU) 2024-11-12 16:16:15,Absorbance (AU) 2024-11-12 16:31:21,Absorbance (AU) 2024-11-12 16:46:27,Absorbance (AU) 2024-11-12 17:01:33,Absorbance (AU) 2024-11-12 17:16:39,Absorbance (AU) 2024-11-12 17:31:45,Absorbance (AU) 2024-11-12 17:46:51,Absorbance (AU) 2024-11-12 18:01:57,Absorbance (AU) 2024-11-12 18:17:03,Absorbance (AU) 2024-11-12 18:32:09,Absorbance (AU) 2024-11-12 18:47:15,Absorbance (AU) 2024-11-12 19:02:21,Absorbance (AU) 2024-11-12 19:17:26,Absorbance (AU) 2024-11-12 19:32:32,Absorbance (AU) 2024-11-12 19:47:38,Absorbance (AU) 2024-11-12 20:02:44,Absorbance (AU) 2024-11-12 20:17:50,Absorbance (AU) 2024-11-12 20:32:56,Absorbance (AU) 2024-11-12 20:48:02,Absorbance (AU) 2024-11-12 21:03:08,Absorbance (AU) 2024-11-12 21:18:14,Absorbance (AU) 2024-11-12 21:33:20,Absorbance (AU) 2024-11-12 21:48:26,Absorbance (AU) 2024-11-12 22:03:32,Absorbance (AU) 2024-11-12 22:18:38,Absorbance (AU) 2024-11-12 22:33:45,Absorbance (AU) 2024-11-12 22:48:51,Absorbance (AU) 2024-11-12 23:03:57,Absorbance (AU) 2024-11-12 23:19:03,Absorbance (AU) 2024-11-12 23:34:09,Absorbance (AU) 2024-11-12 23:49:15,Absorbance (AU) 2024-11-13 00:04:21,Absorbance (AU) 2024-11-13 00:19:27,Absorbance (AU) 2024-11-13 00:34:33,Absorbance (AU) 2024-11-13 00:49:39,Absorbance (AU) 2024-11-13 01:04:45,Absorbance (AU) 2024-11-13 01:19:51
901.841506,0.017907171861181178,0.02606846300048811,0.037829347995952424,0.03897741152271642,0.03440872982267439,0.03733956576134078,0.042108176394940765,0.03295160584840156,0.03979895355973895,0.03587109210961682,0.03424634212991538,0.06513667194281161,0.08591967745962797,0.08685035101060137,0.09059312541306282,0.0928569495384609,0.09191230715370177,0.09191230715370177,0.0922894656659162,0.10050139382769627,0.09857544086949001,0.10477236475768001,0.0943734410563232,0.0974247581863914,0.10477236475768001,0.10555461944968034,0.10457767413679148,0.10869760705146733,0.11446237014441152,0.108500297274244,0.11768044022779679,0.11386171029162555,0.11127136467648617,0.12133416331487404,0.10909222660591383,0.11008139464836517,0.11426244121085337,0.11929995189482863,0.11848975953525685,0.12051960569474438,0.1182872114453639,0.12379005890482606,0.12255992847957092
904.394392,0.014397502372519145,0.024532764336170475,0.027871315610957563,0.038534774102131394,0.030163950456038844,0.03728281737408631,0.030624048918855944,0.03231602391115126,0.033242332201566784,0.03123867760542765,0.025894725630278167,0.0613057192770779,0.07399902392773926,0.07659024259499017,0.08147322305521101,0.09035303608237073,0.08340877958664475,0.08784563041783404,0.08376236569184577,0.09017406039949119,0.08838168441436094,0.09143300154442914,0.09125315280943806,0.10166168008402254,0.1055694613355776,0.09651329178187314,0.10351778887330013,0.09907831888577603,0.0977931861774897,0.10110641894104011,0.09761071828616381,0.11141279911856658,0.10594400069145722,0.11046466452536091,0.1031458686737553,0.10857450670373073,0.10613083384334117,0.11369932259886653,0.10876308595983794,0.11850722057748911,0.10147659303636167,0.11408171942375075,0.11773456945871646
905.670145,0.011529526185888556,0.019615734843597025,0.02137144264003967,0.030872868770663964,0.03510629845984877,0.027729008116765423,0.03192664266937436,0.030422373881074532,0.03525820952726839,0.03177647770617782,0.025499233023719942,0.05396335101845888,0.0748188198605387,0.0826649391875551,0.07246245221131009,0.0802596806200766,0.08647493860261021,0.08839478019603514,0.08387324331001991,0.08318178603762685,0.09173420452293375,0.09155784799638901,0.09350388115316215,0.09742563123850294,0.09742563123850294,0.10466148713950588,0.09688783113775276,0.1021130480257235,0.09868195322710609,0.09922149943207952,0.10999496248931596,0.10612559553067157,0.09976191868916469,0.10283942738258109,0.112597530834018,0.10520976386559544,0.11092301688395476,0.1096247883939944,0.11390536289720601,0.10943970134633371,0.11110810393161563,0.10851601221225299,0.10851601221225299
908.220269,0.007145931533507206,0.020749829536575098,0.02781107501525656,0.02596282369498357,0.02525390538035826,0.02511247093827785,0.02468816761203662,0.027098664492184912,0.024263864285795394,0.02482960205411703,0.01491871448314878,0.05133284500618557,0.06586392435178053,0.0709407223807782,0.07689668388616439,0.08163124548741196,0.07933773759021895,0.0786855676628483,0.08163124548741196,0.07787101004271844,0.09313894537051018,0.08959959211005342,0.08675780748677103,0.08825945711873587,0.08759157225335622,0.09195595975928204,0.09602874785993092,0.10118324752686164,0.09722570230494479,0.10256965428009428,0.10152897616305827,0.09859726717228015,0.10083751889066503,0.10256965428009428,0.0968834658771947,0.1058828870436447,0.10204931522157618,0.10728588178699805,0.10834227484204305,0.1055327931468902,0.10605749746596617,0.10975487315862388,0.1102865618945929
910.768552,0.007946520319851323,0.0152434898686668,0.016560925505082487,0.016165432898524262,0.01708912203260499,0.02187868591688377,0.021076351026316383,0.01921063866381113,0.01987590437285617,0.020809197080164564,0.014060504257438655,0.04492376945487495,0.07022045438870195,0.06840014073600043,0.06673872256761137,0.07327439067510495,0.07743710314324954,0.0854264030165696,0.07930194245364308,0.0807066833012195,0.07976989838546478,0.08164608737330922,0.08526838058436867,0.08305868568989005,0.09084805662965216,0.0868538432190479,0.0868538432190479,0.09020549027550899,0.08892559587989245,0.09585937575027922,0.08940490148916506,0.09472178884885461,0.09994962489316017,0.09863568146519101,0.09294076254117531,0.09602176344303824,0.09488417654161363,0.10358588693800534,0.099456350450102,0.09962048424708428,0.09929221665311973,0.09962048424708428,0.10209384087926818
913.314994,0.0,0.010251377894495076,0.016111303667604594,0.016111303667604594,0.021169767602258454,0.02091570943778064,0.027460108066390338,0.023084370883013586,0.024109334062040785,0.016865620692033442,0.014606161827193228,0.04116789927073951,0.0644146578465121,0.07483104259010118,0.07234633628046615,0.07074603175988965,0.06958749160778663,0.07016632515778227,0.07748075574882983,0.07955425451389762,0.0797026733728709,0.08554164589530182,0.09055383806804042,0.07851619555319642,0.08059493263093383,0.08448699894448009,0.08539148093210527,0.08735672123533374,0.09346983212080953,0.09393254973996143,0.09393254973996143,0.09362436234456395,0.0957877854771273,0.09563325525337288,0.09516879152999771,0.09594318875299343,0.09874481297914188,0.09609859202885958,0.10298697318944264,0.10520452555292564,0.10078164355552209,0.10346104048604565,0.10298697318944264
915.859594,0.010555200029334496,0.016690137217600428,0.019675102387186293,0.019675102387186293,0.022925475398701104,0.024500461408040942,0.022321323337468602,0.025594395703885085,0.024500461408040942,0.026691822208175755,0.018956580499333315,0.04829986197046117,0.06902262689157654,0.07424697072743575,0.08010602344843352,0.07466254353256084,0.07507811633768613,0.07619038472787407,0.0802465848384024,0.0812322606724072,0.08434731060662275,0.0836375192398859,0.08720131795946759,0.08080970345038924,0.090221205213518,0.08777491319679383,0.0895000641693302,0.09181277921297837,0.09736364453857886,0.09487020770782789,0.0950168804625779,0.10344445249592493,0.09721609873171712,0.10254782797730413,0.1000212151663121,0.09824717327552565,0.10569343473542595,0.10584359969862248,0.09780453585494062,0.10120856603809832,0.10825933489144038,0.09957683164150381,0.1061448026771269
918.402353,0.015019988528095253,0.0182764729043912,0.02579432463744323,0.02821704424715399,0.03499280168533983,0.030191015071498583,0.03428562947493778,0.03264254540089235,0.03217458946907085,0.030889456760784497,0.026139180221528314,0.05794970696005874,0.07550503882026216,0.07826912180561148,0.08520202862388652,0.08439532847276128,0.07985720359662551,0.08158584677760823,0.08426087844757373,0.09130553593613447,0.09075900531426816,0.09199000879163484,0.09322450447744766,0.10029884573780332,0.0973697559033602,0.09515307659198871,0.09862258568351681,0.10765081756965,0.10268664326304974,0.10779312506384195,0.10650973845977886,0.10423980296959945,0.10779312506384195,0.10807861310433757,0.10865133528955206,0.11514771605202342,0.1103729940536421,0.10979765271209281,0.11340423098514325,0.10836497419694491,0.11123644259202184,0.10922405747476657,0.11311437768408956
920.943271,0.025587411286992216,0.0324740463433522,0.03948902006011839,0.04196936110919516,0.04389706017162449,0.04276209242653487,0.048472726288559385,0.051243793690801565,0.04355656984809766,0.042421602103007855,0.03613213469098751,0.06783003770712072,0.0945436862180866,0.09117981643206305,0.09389413544705076,0.09806819759264611,0.09780540890705215,0.10096411144684816,0.09636661902712312,0.10017225318162018,0.10295205110497849,0.11087237986148162,0.10642243324861812,0.10978892219097668,0.11345836021606291,0.11182313361102207,0.1131859679572413,0.11537558265315304,0.11702652419620269,0.11510144429010816,0.1186844501561454,0.11965528410425293,0.11965528410425293,0.12314225423801328,0.11799299288375215,0.11702652419620269,0.11757829313073859,0.12300256590015594,0.12623722397366174,0.12328281562798196,0.1213254327937581,0.11910089601338222,0.1234225039658393
923.482347,0.04218413192865077,0.0558098562345088,0.057781207902518394,0.06476300563904352,0.06756899512575004,0.06599488216852173,0.06847173100915216,0.06621925656120482,0.06342287064772616,0.06554613338315557,0.05570072472055792,0.09044296044986627,0.11249538373695979,0.11555281223180933,0.11402060577593821,0.11542447357140291,0.11529700796310824,0.12109145482784715,0.1248735165753308,0.12330376887866057,0.1229126415326604,0.13041827053614996,0.12408776967488415,0.13416017188649967,0.13068455143019025,0.13577531829297365,0.13469797198724984,0.13766896832305017,0.13821113368435842,0.1356408682677861,0.1332216408665217,0.13807581060705934,0.1386188490204791,0.13469797198724984,0.1423057480877976,0.1392989566154214,0.1372621260390412,0.14381874739721337,0.14450845856538336,0.14630694591529475,0.14134713686925254,0.1442325740981154,0.1472786529155138
