Wavelength (nm),Absorbance (AU) 2024-10-04 00:02:11,Absorbance (AU) 2024-10-04 00:17:17,Absorbance (AU) 2024-10-04 00:32:23,Absorbance (AU) 2024-10-04 00:47:28,Absorbance (AU) 2024-10-04 01:02:34,Absorbance (AU) 2024-10-04 01:17:40,Absorbance (AU) 2024-10-04 01:32:46,Absorbance (AU) 2024-10-04 01:47:52,Absorbance (AU) 2024-10-04 02:02:58,Absorbance (AU) 2024-10-04 02:18:03,Absorbance (AU) 2024-10-04 02:33:09,Absorbance (AU) 2024-10-04 02:48:15,Absorbance (AU) 2024-10-04 03:03:21,Absorbance (AU) 2024-10-04 03:18:27,Absorbance (AU) 2024-10-04 03:33:33,Absorbance (AU) 2024-10-04 03:48:38,Absorbance (AU) 2024-10-04 04:03:44,Absorbance (AU) 2024-10-04 04:18:50,Absorbance (AU) 2024-10-04 04:33:56,Absorbance (AU) 2024-10-04 04:49:02,Absorbance (AU) 2024-10-04 05:04:07,Absorbance (AU) 2024-10-04 05:19:13,Absorbance (AU) 2024-10-04 05:34:19,Absorbance (AU) 2024-10-04 05:49:25,Absorbance (AU) 2024-10-04 06:04:31,Absorbance (AU) 2024-10-04 06:19:36,Absorbance (AU) 2024-10-04 06:34:42,Absorbance (AU) 2024-10-04 06:49:48,Absorbance (AU) 2024-10-04 07:04:54,Absorbance (AU) 2024-10-04 07:20:00,Absorbance (AU) 2024-10-04 07:35:06,Absorbance (AU) 2024-10-04 07:50:11,Absorbance (AU) 2024-10-04 08:05:17,Absorbance (AU) 2024-10-04 08:20:23,Absorbance (AU) 2024-10-04 08:35:29,Absorbance (AU) 2024-10-04 08:50:35,Absorbance (AU) 2024-10-04 09:05:41,Absorbance (AU) 2024-10-04 09:20:47,Absorbance (AU) 2024-10-04 09:35:52,Absorbance (AU) 2024-10-04 09:50:58,Absorbance (AU) 2024-10-04 10:06:04,Absorbance (AU) 2024-10-04 10:21:10,Absorbance (AU) 2024-10-04 10:36:16,Absorbance (AU) 2024-10-04 10:51:22,Absorbance (AU) 2024-10-04 11:06:27,Absorbance (AU) 2024-10-04 11:21:33,Absorbance (AU) 2024-10-04 11:36:39,Absorbance (AU) 2024-10-04 11:51:45,Absorbance (AU) 2024-10-04 12:06:51,Absorbance (AU) 2024-10-04 12:21:57,Absorbance (AU) 2024-10-04 12:37:02,Absorbance (AU) 2024-10-04 12:52:08,Absorbance (AU) 2024-10-04 13:07:14,Absorbance (AU) 2024-10-04 13:22:20,Absorbance (AU) 2024-10-04 13:37:26,Absorbance (AU) 2024-10-04 13:52:32,Absorbance (AU) 2024-10-04 14:07:38,Absorbance (AU) 2024-10-04 14:22:44,Absorbance (AU) 2024-10-04 14:37:49,Absorbance (AU) 2024-10-04 14:52:55,Absorbance (AU) 2024-10-04 15:08:01,Absorbance (AU) 2024-10-04 15:23:07,Absorbance (AU) 2024-10-04 15:38:13,Absorbance (AU) 2024-10-04 15:53:19,Absorbance (AU) 2024-10-04 16:08:25,Absorbance (AU) 2024-10-04 16:23:30,Absorbance (AU) 2024-10-04 16:38:36,Absorbance (AU) 2024-10-04 16:53:42
995.071968,1.88102,1.885232,1.881379,1.884387,1.888876,1.891813,1.888632,1.887901,1.889608,1.897125,1.896628,1.879704,1.897374,1.901874,1.905914,1.89837,1.897871,1.899868,1.902125,1.897747,1.904901,1.897125,1.904395,1.903007,1.899118,1.899118,1.88258,1.895512,1.895264,1.897871,1.893658,1.888266,1.891813,1.893535,1.896256,1.889975,1.890219,1.892058,1.888023,1.891077,1.882941,1.878989,1.886322,1.883181,1.891322,1.879704,1.875309,1.879346,1.883663,1.882219,1.882099,1.877679,1.890219,1.893042,1.884507,1.893165,1.893165,1.890709,1.888876,1.884145,1.891199,1.886565,1.896256,1.897622,1.893905,1.894029,1.903133,1.897996
997.556725,1.874669,1.876548,1.879263,1.875138,1.882831,1.88295,1.88295,1.881162,1.884266,1.887392,1.890784,1.874669,1.890663,1.900251,1.897649,1.887996,1.891758,1.894326,1.895062,1.890906,1.889813,1.894571,1.894571,1.894326,1.891393,1.891149,1.871167,1.89249,1.890906,1.891637,1.888964,1.884626,1.891758,1.889206,1.890298,1.883428,1.87879,1.887031,1.884986,1.883907,1.875021,1.876548,1.874903,1.881044,1.877373,1.873031,1.873849,1.870238,1.881044,1.879263,1.881877,1.879027,1.885466,1.887151,1.875373,1.884746,1.882592,1.885346,1.881519,1.881519,1.884866,1.884386,1.890055,1.884386,1.891393,1.890784,1.893713,1.897649
1000.03964,1.870731,1.864658,1.877358,1.869693,1.872233,1.873741,1.877475,1.874322,1.878413,1.881123,1.883612,1.869233,1.882188,1.889234,1.892619,1.88504,1.883612,1.885995,1.889475,1.887072,1.889475,1.885995,1.891528,1.883849,1.887072,1.878766,1.865797,1.879119,1.888392,1.887432,1.881714,1.88065,1.879825,1.877358,1.884921,1.879589,1.876421,1.879825,1.873741,1.871655,1.870039,1.8682,1.871192,1.875254,1.867626,1.859343,1.863862,1.871655,1.870039,1.873509,1.8705,1.867512,1.874788,1.874788,1.872697,1.878061,1.881596,1.879001,1.876655,1.874671,1.880769,1.878179,1.881005,1.882188,1.883612,1.877709,1.884683,1.884683
1002.520714,1.855786,1.866332,1.863615,1.861925,1.865085,1.868724,1.868838,1.871703,1.871358,1.877374,1.873431,1.863389,1.877141,1.882177,1.880062,1.878074,1.872854,1.879359,1.880766,1.880531,1.883002,1.879242,1.881706,1.88312,1.882059,1.879008,1.863841,1.877025,1.87505,1.876327,1.874356,1.876559,1.874009,1.871358,1.879242,1.869867,1.869867,1.87297,1.870325,1.868381,1.856673,1.861925,1.868153,1.868952,1.869638,1.855896,1.858677,1.862488,1.860354,1.865765,1.862375,1.863051,1.867697,1.868952,1.866332,1.872393,1.871473,1.866559,1.865651,1.867242,1.869867,1.869524,1.871243,1.872624,1.874935,1.872624,1.883593,1.878074
1004.999947,1.853515,1.856156,1.857483,1.861376,1.860818,1.863617,1.860372,1.862831,1.864516,1.871321,1.872352,1.863168,1.872008,1.87615,1.873154,1.870408,1.871436,1.865417,1.873959,1.878816,1.876497,1.873269,1.87018,1.878003,1.874649,1.86961,1.846873,1.865417,1.86666,1.870066,1.869269,1.863729,1.863841,1.864066,1.870636,1.861265,1.861935,1.862271,1.863504,1.862047,1.855164,1.852091,1.854834,1.858148,1.85693,1.849039,1.849365,1.854284,1.854064,1.858814,1.851654,1.855605,1.859481,1.867112,1.857372,1.865417,1.867339,1.862719,1.857262,1.865305,1.864854,1.862943,1.867792,1.865079,1.872122,1.863729,1.874189,1.874074
1007.477338,1.841496,1.848894,1.844804,1.850085,1.850628,1.853569,1.853241,1.858516,1.858185,1.861512,1.857853,1.849543,1.863185,1.870852,1.86734,1.86352,1.862069,1.865538,1.862962,1.865426,1.867679,1.863632,1.86734,1.866551,1.865089,1.862292,1.848678,1.858627,1.861623,1.863744,1.865426,1.854993,1.856861,1.857302,1.866101,1.858295,1.854664,1.859402,1.855981,1.854554,1.846522,1.845447,1.855102,1.857081,1.852805,1.842347,1.84352,1.847814,1.846306,1.849435,1.851824,1.84459,1.853023,1.856201,1.847167,1.855432,1.858627,1.84911,1.853351,1.854773,1.858185,1.858074,1.86464,1.860622,1.861957,1.861289,1.862962,1.867114
1009.952888,1.837488,1.841497,1.838329,1.843409,1.848658,1.843836,1.847259,1.844369,1.847259,1.856268,1.857806,1.845009,1.857256,1.858798,1.860234,1.851686,1.859018,1.858577,1.855501,1.854408,1.857916,1.860788,1.859792,1.857476,1.861342,1.851578,1.841073,1.857366,1.854189,1.859239,1.853099,1.846508,1.851144,1.854845,1.854189,1.848874,1.851035,1.852338,1.848443,1.847904,1.841073,1.836858,1.842134,1.845437,1.845544,1.832372,1.833723,1.837593,1.839277,1.840121,1.84065,1.841603,1.845116,1.852338,1.842452,1.853535,1.849953,1.850494,1.846079,1.847582,1.849521,1.847797,1.853208,1.851686,1.853317,1.853426,1.863567,1.858577
1012.426597,1.831468,1.832814,1.836563,1.833644,1.839186,1.839397,1.83866,1.840979,1.847044,1.848224,1.850055,1.832192,1.852326,1.848117,1.854283,1.847795,1.850811,1.850163,1.850486,1.848224,1.85146,1.848009,1.850811,1.85146,1.850919,1.850702,1.833852,1.842779,1.85211,1.851351,1.849515,1.841719,1.842249,1.845226,1.848654,1.84416,1.841613,1.847258,1.842991,1.83782,1.83406,1.834268,1.834789,1.843628,1.839291,1.82766,1.829714,1.835205,1.832918,1.837715,1.837086,1.833021,1.842037,1.84683,1.836354,1.844906,1.839818,1.839712,1.842249,1.840345,1.842991,1.843735,1.848654,1.844267,1.844906,1.850486,1.85211,1.8493
1014.898464,1.818806,1.830912,1.82947,1.825071,1.827828,1.830808,1.830808,1.837146,1.832876,1.845279,1.841986,1.824664,1.843364,1.844002,1.84347,1.843577,1.84294,1.844002,1.843789,1.843258,1.846347,1.844002,1.83998,1.847417,1.841669,1.842198,1.821725,1.842198,1.836936,1.841986,1.841458,1.835892,1.836205,1.837669,1.838928,1.836205,1.831944,1.834849,1.831944,1.834537,1.82375,1.827418,1.829675,1.835996,1.835058,1.825071,1.822838,1.824766,1.828135,1.828648,1.823648,1.82947,1.835162,1.836309,1.82947,1.836414,1.832048,1.831015,1.829675,1.832358,1.835058,1.834745,1.84241,1.841035,1.839033,1.838193,1.84464,1.846454
1017.36849,1.81373,1.819016,1.81982,1.821431,1.821936,1.825792,1.826098,1.82386,1.829374,1.835688,1.839458,1.822947,1.833089,1.83621,1.838513,1.834439,1.834231,1.835376,1.836106,1.831228,1.838093,1.834855,1.838408,1.836941,1.837779,1.833089,1.819719,1.82845,1.833193,1.838828,1.833297,1.827835,1.82804,1.82886,1.834335,1.826608,1.825588,1.8303,1.823961,1.82763,1.824977,1.817613,1.82457,1.82315,1.825588,1.815717,1.816714,1.819116,1.816116,1.822745,1.821431,1.817214,1.825894,1.829682,1.821835,1.826608,1.830918,1.8303,1.826506,1.826914,1.825792,1.827221,1.832261,1.830712,1.833815,1.829682,1.840617,1.839353
