Wavelength (nm),Absorbance (AU) 2024-09-25 00:00:05,Absorbance (AU) 2024-09-25 00:15:14,Absorbance (AU) 2024-09-25 00:30:24,Absorbance (AU) 2024-09-25 00:45:34,Absorbance (AU) 2024-09-25 01:00:43,Absorbance (AU) 2024-09-25 01:15:53,Absorbance (AU) 2024-09-25 01:31:02,Absorbance (AU) 2024-09-25 01:46:12,Absorbance (AU) 2024-09-25 02:01:22,Absorbance (AU) 2024-09-25 02:16:31,Absorbance (AU) 2024-09-25 02:31:41,Absorbance (AU) 2024-09-25 02:46:50,Absorbance (AU) 2024-09-25 03:02:00,Absorbance (AU) 2024-09-25 03:17:09,Absorbance (AU) 2024-09-25 03:32:19,Absorbance (AU) 2024-09-25 03:47:28,Absorbance (AU) 2024-09-25 04:02:38,Absorbance (AU) 2024-09-25 04:17:48,Absorbance (AU) 2024-09-25 04:32:57,Absorbance (AU) 2024-09-25 04:48:07,Absorbance (AU) 2024-09-25 05:03:17,Absorbance (AU) 2024-09-25 05:18:26,Absorbance (AU) 2024-09-25 05:33:36,Absorbance (AU) 2024-09-25 05:48:45,Absorbance (AU) 2024-09-25 06:03:55,Absorbance (AU) 2024-09-25 06:19:04,Absorbance (AU) 2024-09-25 06:34:14,Absorbance (AU) 2024-09-25 06:49:24,Absorbance (AU) 2024-09-25 07:04:33,Absorbance (AU) 2024-09-25 07:19:43,Absorbance (AU) 2024-09-25 07:34:53,Absorbance (AU) 2024-09-25 07:50:02,Absorbance (AU) 2024-09-25 08:05:12,Absorbance (AU) 2024-09-25 08:20:21,Absorbance (AU) 2024-09-25 08:35:31,Absorbance (AU) 2024-09-25 08:50:41,Absorbance (AU) 2024-09-25 09:05:50,Absorbance (AU) 2024-09-25 09:21:00,Absorbance (AU) 2024-09-25 09:36:09,Absorbance (AU) 2024-09-25 09:51:19,Absorbance (AU) 2024-09-25 10:06:29,Absorbance (AU) 2024-09-25 10:21:38,Absorbance (AU) 2024-09-25 10:36:48,Absorbance (AU) 2024-09-25 10:51:58,Absorbance (AU) 2024-09-25 11:07:07,Absorbance (AU) 2024-09-25 11:22:17,Absorbance (AU) 2024-09-25 11:37:27,Absorbance (AU) 2024-09-25 11:52:36,Absorbance (AU) 2024-09-25 12:07:46,Absorbance (AU) 2024-09-25 12:22:55,Absorbance (AU) 2024-09-25 12:38:05,Absorbance (AU) 2024-09-25 12:53:11,Absorbance (AU) 2024-09-25 13:08:20,Absorbance (AU) 2024-09-25 13:23:30,Absorbance (AU) 2024-09-25 13:38:40,Absorbance (AU) 2024-09-25 13:53:49,Absorbance (AU) 2024-09-25 14:08:59,Absorbance (AU) 2024-09-25 14:24:08,Absorbance (AU) 2024-09-25 14:39:18,Absorbance (AU) 2024-09-25 14:54:28,Absorbance (AU) 2024-09-25 15:09:37,Absorbance (AU) 2024-09-25 15:24:47,Absorbance (AU) 2024-09-25 15:39:57,Absorbance (AU) 2024-09-25 15:55:06,Absorbance (AU) 2024-09-25 16:10:16,Absorbance (AU) 2024-09-25 16:25:26,Absorbance (AU) 2024-09-25 16:40:36
901.841506,1.690152,1.692812,1.686311,1.685356,1.696712,1.690393,1.678964,1.692812,1.695978,1.686311,1.690876,1.687987,1.68967,1.696957,1.697202,1.688227,1.69966,1.689911,1.686072,1.702131,1.698675,1.697692,1.688707,1.688948,1.690393,1.698429,1.699413,1.703621,1.705866,1.716496,1.711655,1.709885,1.714961,1.715217,1.713941,1.721651,1.717779,1.715472,1.72373,1.715728,1.720874,1.721132,1.705616,1.720615,1.71855,1.703621,1.728972,1.719323,1.72713,1.732945,1.668744,1.728708,1.735347,1.724512,1.724512,1.726868,1.733744,1.708876,1.701141,1.714451,1.719323,1.710137,1.735079,1.730292,1.730028,1.736955,1.744268
904.394392,1.685744,1.680527,1.679626,1.674703,1.677829,1.674703,1.685288,1.688262,1.686429,1.689411,1.682334,1.681429,1.693109,1.683014,1.68506,1.691025,1.681429,1.678502,1.684605,1.688032,1.685288,1.686201,1.688721,1.692645,1.694271,1.698246,1.689641,1.70535,1.702495,1.703682,1.708225,1.696605,1.706546,1.702732,1.70991,1.71136,1.702257,1.700365,1.71574,1.713058,1.716474,1.706306,1.713058,1.715007,1.715251,1.713788,1.706785,1.716229,1.713545,1.720906,1.663285,1.717701,1.722145,1.723387,1.724384,1.71721,1.719177,1.721649,1.708946,1.703444,1.71967,1.710393,1.722145,1.730919,1.729654,1.72915,1.734479
905.670145,1.685373,1.680933,1.67132,1.67851,1.680271,1.68337,1.677413,1.682925,1.683147,1.688284,1.687611,1.689184,1.680933,1.680933,1.688959,1.678949,1.685597,1.686491,1.692801,1.68986,1.688284,1.685373,1.680271,1.68806,1.686491,1.68986,1.693028,1.698284,1.696907,1.698744,1.702907,1.700358,1.714445,1.703605,1.714445,1.706407,1.70407,1.7154,1.70852,1.721178,1.709698,1.70711,1.709698,1.710171,1.708755,1.70059,1.711354,1.719485,1.713491,1.719727,1.661282,1.721178,1.719727,1.725563,1.722635,1.726543,1.720694,1.71088,1.713968,1.703605,1.713253,1.711117,1.720452,1.725808,1.732721,1.721906,1.718521
908.220269,1.671513,1.684515,1.677756,1.674207,1.679436,1.673584,1.678595,1.675248,1.6765,1.679436,1.675873,1.679225,1.686008,1.677337,1.681545,1.686008,1.686436,1.680068,1.679225,1.676918,1.68409,1.684515,1.679225,1.684728,1.686222,1.687292,1.683877,1.686436,1.690949,1.695292,1.692465,1.6999,1.709489,1.6999,1.706568,1.703888,1.707689,1.702999,1.708813,1.709715,1.705226,1.708363,1.699239,1.707914,1.6999,1.704557,1.716307,1.716536,1.711977,1.708138,1.670893,1.708813,1.717224,1.710166,1.716766,1.722072,1.719526,1.704111,1.698139,1.701447,1.702555,1.70994,1.713795,1.718144,1.726974,1.718144,1.723001
910.768552,1.675111,1.672732,1.664508,1.670367,1.661031,1.671154,1.667233,1.665674,1.662187,1.673722,1.670563,1.661031,1.677903,1.677503,1.668014,1.678103,1.680712,1.671351,1.673722,1.674714,1.671351,1.665479,1.663153,1.674317,1.676704,1.665285,1.679506,1.683743,1.688637,1.683338,1.697963,1.687817,1.69193,1.688842,1.702174,1.690074,1.689663,1.702385,1.695873,1.698592,1.703021,1.686999,1.688227,1.700695,1.703657,1.699432,1.706639,1.703657,1.703233,1.704932,1.651892,1.710719,1.701962,1.706425,1.714837,1.718995,1.709211,1.694209,1.689869,1.707067,1.69193,1.704082,1.706639,1.717021,1.712882,1.712448,1.718556
913.314994,1.670843,1.665439,1.657911,1.658093,1.667481,1.663038,1.664329,1.66267,1.666366,1.665069,1.66396,1.65937,1.666737,1.66972,1.67461,1.666366,1.663222,1.666737,1.669159,1.665995,1.668972,1.670094,1.66972,1.66618,1.672723,1.666366,1.673476,1.688447,1.688838,1.68205,1.68611,1.682821,1.683979,1.6906,1.687472,1.692962,1.690208,1.695138,1.691976,1.681473,1.691386,1.692765,1.693554,1.692173,1.688838,1.694543,1.700124,1.695534,1.702538,1.70153,1.651946,1.695138,1.706998,1.707202,1.706998,1.711505,1.702941,1.69119,1.688447,1.696727,1.69613,1.695336,1.70153,1.710271,1.711299,1.710271,1.714813
915.859594,1.670701,1.666293,1.662799,1.665592,1.666118,1.664368,1.668051,1.662973,1.665592,1.668227,1.668051,1.67301,1.667875,1.669816,1.666118,1.671055,1.667875,1.678748,1.678027,1.670701,1.672832,1.670346,1.678388,1.675332,1.676049,1.673367,1.673902,1.685479,1.678568,1.688791,1.687132,1.68292,1.691757,1.684563,1.690828,1.693248,1.691385,1.696056,1.693434,1.693061,1.689901,1.691571,1.693434,1.692502,1.695493,1.694556,1.701728,1.697939,1.701158,1.706128,1.647415,1.701348,1.706705,1.705936,1.716832,1.710184,1.714278,1.691757,1.683102,1.692688,1.693995,1.703827,1.704592,1.710961,1.712519,1.719997,1.708441
918.402353,1.672648,1.671809,1.676023,1.664325,1.670803,1.66449,1.669967,1.661367,1.668134,1.671306,1.671641,1.671976,1.668134,1.679594,1.671473,1.672816,1.681306,1.676531,1.674332,1.671306,1.676362,1.680449,1.67789,1.67704,1.678401,1.678571,1.681992,1.679424,1.689265,1.687001,1.695066,1.685094,1.68787,1.692068,1.695243,1.69684,1.696662,1.696662,1.694712,1.701844,1.69862,1.696307,1.695952,1.695597,1.692772,1.698085,1.715539,1.703465,1.702024,1.715168,1.654704,1.711477,1.704006,1.710559,1.717398,1.708364,1.714983,1.702383,1.694359,1.703104,1.694712,1.702744,1.709094,1.714798,1.711293,1.713503,1.718518
920.943271,1.679421,1.682164,1.67351,1.675737,1.674622,1.677655,1.680226,1.676056,1.676695,1.685088,1.683137,1.681194,1.68623,1.683624,1.681679,1.681194,1.682974,1.683461,1.688195,1.68574,1.687539,1.683137,1.687211,1.689346,1.687211,1.686557,1.69149,1.696982,1.694311,1.696815,1.701359,1.696815,1.699502,1.701021,1.705439,1.703054,1.702375,1.70818,1.710765,1.70904,1.705951,1.70818,1.706978,1.704756,1.709212,1.697821,1.716158,1.712498,1.714586,1.718088,1.65762,1.71354,1.722151,1.720203,1.71721,1.723573,1.727149,1.70818,1.707321,1.700514,1.707321,1.710938,1.720203,1.72697,1.726611,1.730031,1.723751
923.482347,1.700093,1.701352,1.696807,1.691539,1.694941,1.695562,1.69432,1.699779,1.691539,1.703721,1.701509,1.704038,1.6979,1.708178,1.705785,1.70293,1.70025,1.699152,1.700879,1.697275,1.704038,1.705944,1.703404,1.700093,1.700879,1.697587,1.70706,1.710264,1.711875,1.712359,1.709942,1.710103,1.720349,1.719855,1.716254,1.720678,1.721833,1.723985,1.718706,1.72002,1.72916,1.727986,1.722163,1.720843,1.732193,1.729832,1.733209,1.735759,1.728992,1.728489,1.68074,1.731011,1.730505,1.739355,1.730842,1.737297,1.740215,1.72916,1.717887,1.726314,1.730674,1.729832,1.743154,1.74056,1.740043,1.740733,1.741596
